[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.863037	valid_1's auc: 0.85501
[94]	training's auc: 0.863072	valid_1's auc: 0.855018
[95]	training's auc: 0.863138	valid_1's auc: 0.855032
[96]	training's auc: 0.863194	valid_1's auc: 0.855044
[97]	training's auc: 0.863259	valid_1's auc: 0.855052
[98]	training's auc: 0.86338	valid_1's auc: 0.855094
[99]	training's auc: 0.863426	valid_1's auc: 0.85509
[100]	training's auc: 0.863528	valid_1's auc: 0.855099
[101]	training's auc: 0.863756	valid_1's auc: 0.855268
[102]	training's auc: 0.863844	valid_1's auc: 0.855272
[103]	training's auc: 0.863895	valid_1's auc: 0.855276
[104]	training's auc: 0.863953	valid_1's auc: 0.855292
[105]	training's auc: 0.864014	valid_1's auc: 0.855291
[106]	training's auc: 0.864059	valid_1's auc: 0.85529
[107]	training's auc: 0.864108	valid_1's auc: 0.855276
[108]	training's auc: 0.864151	valid_1's auc: 0.855275
[109]	training's auc: 0.864209	valid_1's auc: 0.855282
[110]	training's auc: 0.864416	valid_1's auc: 0.855394
[111]	training's auc: 0.864473	valid_1's auc: 0.855401
[112]	training's auc: 0.864561	valid_1's auc: 0.855413
[113]	training's auc: 0.864607	valid_1's auc: 0.855404
[114]	training's auc: 0.864694	valid_1's auc: 0.855428
[115]	training's auc: 0.864723	valid_1's auc: 0.855414
[116]	training's auc: 0.864777	valid_1's auc: 0.855409
[117]	training's auc: 0.864828	valid_1's auc: 0.85541
[118]	training's auc: 0.864881	valid_1's auc: 0.855427
[119]	training's auc: 0.864926	valid_1's auc: 0.855433
[120]	training's auc: 0.864958	valid_1's auc: 0.855444
[121]	training's auc: 0.865025	valid_1's auc: 0.855444
[122]	training's auc: 0.865079	valid_1's auc: 0.855458
[123]	training's auc: 0.865199	valid_1's auc: 0.855532
[124]	training's auc: 0.865244	valid_1's auc: 0.855528
[125]	training's auc: 0.865373	valid_1's auc: 0.855574
[126]	training's auc: 0.865431	valid_1's auc: 0.855593
[127]	training's auc: 0.865575	valid_1's auc: 0.855661
[128]	training's auc: 0.865675	valid_1's auc: 0.855703
[129]	training's auc: 0.865721	valid_1's auc: 0.855701
[130]	training's auc: 0.865854	valid_1's auc: 0.855746
[131]	training's auc: 0.865918	valid_1's auc: 0.855765
[132]	training's auc: 0.86595	valid_1's auc: 0.855761
[133]	training's auc: 0.865978	valid_1's auc: 0.855755
[134]	training's auc: 0.866021	valid_1's auc: 0.855736
[135]	training's auc: 0.866144	valid_1's auc: 0.85577
[136]	training's auc: 0.866205	valid_1's auc: 0.855782
[137]	training's auc: 0.866268	valid_1's auc: 0.855803
[138]	training's auc: 0.866295	valid_1's auc: 0.855798
[139]	training's auc: 0.866406	valid_1's auc: 0.855839
[140]	training's auc: 0.866428	valid_1's auc: 0.855834
[141]	training's auc: 0.866455	valid_1's auc: 0.855835
[142]	training's auc: 0.866531	valid_1's auc: 0.855852
[143]	training's auc: 0.866626	valid_1's auc: 0.855878
[144]	training's auc: 0.866667	valid_1's auc: 0.855871
[145]	training's auc: 0.866729	valid_1's auc: 0.855888
[146]	training's auc: 0.866755	valid_1's auc: 0.855877
[147]	training's auc: 0.866792	valid_1's auc: 0.855872
[148]	training's auc: 0.866826	valid_1's auc: 0.855859
[149]	training's auc: 0.866848	valid_1's auc: 0.855847
[150]	training's auc: 0.866905	valid_1's auc: 0.85584
[151]	training's auc: 0.866951	valid_1's auc: 0.855838
[152]	training's auc: 0.866996	valid_1's auc: 0.855834
[153]	training's auc: 0.86707	valid_1's auc: 0.855878
[154]	training's auc: 0.867225	valid_1's auc: 0.855941
[155]	training's auc: 0.867323	valid_1's auc: 0.855966
[156]	training's auc: 0.867363	valid_1's auc: 0.855958
[157]	training's auc: 0.867429	valid_1's auc: 0.855962
[158]	training's auc: 0.867456	valid_1's auc: 0.855969
[159]	training's auc: 0.867483	valid_1's auc: 0.855966
[160]	training's auc: 0.867499	valid_1's auc: 0.85596
[161]	training's auc: 0.867528	valid_1's auc: 0.855961
[162]	training's auc: 0.867561	valid_1's auc: 0.855957
[163]	training's auc: 0.86772	valid_1's auc: 0.856029
[164]	training's auc: 0.867824	valid_1's auc: 0.856063
[165]	training's auc: 0.867863	valid_1's auc: 0.856052
[166]	training's auc: 0.867993	valid_1's auc: 0.856103
[167]	training's auc: 0.868063	valid_1's auc: 0.856105
[168]	training's auc: 0.868193	valid_1's auc: 0.85614
[169]	training's auc: 0.8683	valid_1's auc: 0.856173
[170]	training's auc: 0.868324	valid_1's auc: 0.856172
[171]	training's auc: 0.868364	valid_1's auc: 0.85617
[172]	training's auc: 0.868399	valid_1's auc: 0.856163
[173]	training's auc: 0.868435	valid_1's auc: 0.856158
[174]	training's auc: 0.868469	valid_1's auc: 0.856153
[175]	training's auc: 0.868492	valid_1's auc: 0.856148
[176]	training's auc: 0.868524	valid_1's auc: 0.856146
[177]	training's auc: 0.86866	valid_1's auc: 0.856217
[178]	training's auc: 0.868696	valid_1's auc: 0.856216
[179]	training's auc: 0.868786	valid_1's auc: 0.856229
[180]	training's auc: 0.868802	valid_1's auc: 0.856224
[181]	training's auc: 0.868837	valid_1's auc: 0.856221
[182]	training's auc: 0.868937	valid_1's auc: 0.856272
[183]	training's auc: 0.868996	valid_1's auc: 0.856265
[184]	training's auc: 0.869013	valid_1's auc: 0.856256
[185]	training's auc: 0.869031	valid_1's auc: 0.856243
[186]	training's auc: 0.869077	valid_1's auc: 0.856241
[187]	training's auc: 0.869089	valid_1's auc: 0.856233
[188]	training's auc: 0.869123	valid_1's auc: 0.856213
[189]	training's auc: 0.869176	valid_1's auc: 0.856212
[190]	training's auc: 0.86922	valid_1's auc: 0.856224
[191]	training's auc: 0.869321	valid_1's auc: 0.856238
[192]	training's auc: 0.869377	valid_1's auc: 0.856239
[193]	training's auc: 0.869432	valid_1's auc: 0.856251
[194]	training's auc: 0.869601	valid_1's auc: 0.856361
[195]	training's auc: 0.869714	valid_1's auc: 0.856399
[196]	training's auc: 0.869742	valid_1's auc: 0.85639
[197]	training's auc: 0.869769	valid_1's auc: 0.856376
[198]	training's auc: 0.869782	valid_1's auc: 0.856362
[199]	training's auc: 0.869821	valid_1's auc: 0.856354
[200]	training's auc: 0.869857	valid_1's auc: 0.856345
[201]	training's auc: 0.869891	valid_1's auc: 0.856332
[202]	training's auc: 0.869911	valid_1's auc: 0.856335
[203]	training's auc: 0.869954	valid_1's auc: 0.856345
[204]	training's auc: 0.870052	valid_1's auc: 0.856357
[205]	training's auc: 0.870178	valid_1's auc: 0.856424
[206]	training's auc: 0.870318	valid_1's auc: 0.856498
[207]	training's auc: 0.870355	valid_1's auc: 0.856499
[208]	training's auc: 0.8704	valid_1's auc: 0.856503
