[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[128]	training's auc: 0.861526	valid_1's auc: 0.854438
[129]	training's auc: 0.861601	valid_1's auc: 0.854458
[130]	training's auc: 0.861742	valid_1's auc: 0.854537
[131]	training's auc: 0.861815	valid_1's auc: 0.854564
[132]	training's auc: 0.861877	valid_1's auc: 0.854574
[133]	training's auc: 0.861996	valid_1's auc: 0.854635
[134]	training's auc: 0.862068	valid_1's auc: 0.854682
[135]	training's auc: 0.862198	valid_1's auc: 0.854756
[136]	training's auc: 0.86225	valid_1's auc: 0.854785
[137]	training's auc: 0.86237	valid_1's auc: 0.854858
[138]	training's auc: 0.862434	valid_1's auc: 0.854849
[139]	training's auc: 0.862499	valid_1's auc: 0.854876
[140]	training's auc: 0.862551	valid_1's auc: 0.854888
[141]	training's auc: 0.862647	valid_1's auc: 0.854927
[142]	training's auc: 0.862721	valid_1's auc: 0.854966
[143]	training's auc: 0.862753	valid_1's auc: 0.854969
[144]	training's auc: 0.862819	valid_1's auc: 0.855034
[145]	training's auc: 0.862899	valid_1's auc: 0.855094
[146]	training's auc: 0.862977	valid_1's auc: 0.855127
[147]	training's auc: 0.863044	valid_1's auc: 0.855149
[148]	training's auc: 0.863102	valid_1's auc: 0.855166
[149]	training's auc: 0.863138	valid_1's auc: 0.855178
[150]	training's auc: 0.863214	valid_1's auc: 0.855251
[151]	training's auc: 0.863273	valid_1's auc: 0.855306
[152]	training's auc: 0.863329	valid_1's auc: 0.855311
[153]	training's auc: 0.863377	valid_1's auc: 0.855327
[154]	training's auc: 0.863444	valid_1's auc: 0.855357
[155]	training's auc: 0.86349	valid_1's auc: 0.855354
[156]	training's auc: 0.863511	valid_1's auc: 0.85535
[157]	training's auc: 0.863546	valid_1's auc: 0.855368
[158]	training's auc: 0.863593	valid_1's auc: 0.855395
[159]	training's auc: 0.863624	valid_1's auc: 0.85542
[160]	training's auc: 0.863724	valid_1's auc: 0.855462
[161]	training's auc: 0.863748	valid_1's auc: 0.855451
[162]	training's auc: 0.863799	valid_1's auc: 0.855459
[163]	training's auc: 0.863894	valid_1's auc: 0.855505
[164]	training's auc: 0.863941	valid_1's auc: 0.855501
[165]	training's auc: 0.863983	valid_1's auc: 0.855491
[166]	training's auc: 0.864003	valid_1's auc: 0.855479
[167]	training's auc: 0.864069	valid_1's auc: 0.8555
[168]	training's auc: 0.864183	valid_1's auc: 0.855558
[169]	training's auc: 0.864218	valid_1's auc: 0.855561
[170]	training's auc: 0.864264	valid_1's auc: 0.855576
[171]	training's auc: 0.864317	valid_1's auc: 0.855582
[172]	training's auc: 0.864346	valid_1's auc: 0.855616
[173]	training's auc: 0.864395	valid_1's auc: 0.855645
[174]	training's auc: 0.864412	valid_1's auc: 0.855634
[175]	training's auc: 0.864502	valid_1's auc: 0.855673
[176]	training's auc: 0.864602	valid_1's auc: 0.855736
[177]	training's auc: 0.864626	valid_1's auc: 0.85576
[178]	training's auc: 0.864657	valid_1's auc: 0.85577
[179]	training's auc: 0.864674	valid_1's auc: 0.855758
[180]	training's auc: 0.864754	valid_1's auc: 0.855803
[181]	training's auc: 0.86478	valid_1's auc: 0.855798
[182]	training's auc: 0.864814	valid_1's auc: 0.855818
[183]	training's auc: 0.864844	valid_1's auc: 0.855828
[184]	training's auc: 0.864862	valid_1's auc: 0.855824
[185]	training's auc: 0.864886	valid_1's auc: 0.855844
[186]	training's auc: 0.864939	valid_1's auc: 0.85585
[187]	training's auc: 0.864987	valid_1's auc: 0.85586
[188]	training's auc: 0.865028	valid_1's auc: 0.855899
[189]	training's auc: 0.865116	valid_1's auc: 0.855943
[190]	training's auc: 0.865185	valid_1's auc: 0.855983
[191]	training's auc: 0.865277	valid_1's auc: 0.856028
[192]	training's auc: 0.865344	valid_1's auc: 0.856067
[193]	training's auc: 0.865405	valid_1's auc: 0.856076
[194]	training's auc: 0.865476	valid_1's auc: 0.8561
[195]	training's auc: 0.865556	valid_1's auc: 0.856137
[196]	training's auc: 0.865616	valid_1's auc: 0.856162
[197]	training's auc: 0.865653	valid_1's auc: 0.856167
[198]	training's auc: 0.865724	valid_1's auc: 0.856209
[199]	training's auc: 0.86577	valid_1's auc: 0.85623
[200]	training's auc: 0.865823	valid_1's auc: 0.856243
[201]	training's auc: 0.865886	valid_1's auc: 0.856265
[202]	training's auc: 0.865909	valid_1's auc: 0.856274
[203]	training's auc: 0.865948	valid_1's auc: 0.856276
[204]	training's auc: 0.865966	valid_1's auc: 0.856272
[205]	training's auc: 0.866003	valid_1's auc: 0.856272
[206]	training's auc: 0.866057	valid_1's auc: 0.856335
[207]	training's auc: 0.866071	valid_1's auc: 0.856321
[208]	training's auc: 0.866117	valid_1's auc: 0.856362
[209]	training's auc: 0.866158	valid_1's auc: 0.856359
[210]	training's auc: 0.866211	valid_1's auc: 0.856378
[211]	training's auc: 0.866257	valid_1's auc: 0.856382
[212]	training's auc: 0.866292	valid_1's auc: 0.856367
[213]	training's auc: 0.866315	valid_1's auc: 0.856387
[214]	training's auc: 0.866343	valid_1's auc: 0.856387
[215]	training's auc: 0.86639	valid_1's auc: 0.856383
[216]	training's auc: 0.866414	valid_1's auc: 0.856387
