[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[119]	training's auc: 0.859481	valid_1's auc: 0.853196
[120]	training's auc: 0.859525	valid_1's auc: 0.853256
[121]	training's auc: 0.859611	valid_1's auc: 0.853284
[122]	training's auc: 0.859722	valid_1's auc: 0.853314
[123]	training's auc: 0.859764	valid_1's auc: 0.853359
[124]	training's auc: 0.859871	valid_1's auc: 0.853409
[125]	training's auc: 0.859979	valid_1's auc: 0.853466
[126]	training's auc: 0.860124	valid_1's auc: 0.85353
[127]	training's auc: 0.860245	valid_1's auc: 0.853618
[128]	training's auc: 0.860352	valid_1's auc: 0.853665
[129]	training's auc: 0.860464	valid_1's auc: 0.853727
[130]	training's auc: 0.860593	valid_1's auc: 0.853782
[131]	training's auc: 0.860721	valid_1's auc: 0.853835
[132]	training's auc: 0.860848	valid_1's auc: 0.853901
[133]	training's auc: 0.860944	valid_1's auc: 0.853946
[134]	training's auc: 0.861	valid_1's auc: 0.853992
[135]	training's auc: 0.861107	valid_1's auc: 0.854054
[136]	training's auc: 0.861224	valid_1's auc: 0.854122
[137]	training's auc: 0.861329	valid_1's auc: 0.854167
[138]	training's auc: 0.861414	valid_1's auc: 0.854186
[139]	training's auc: 0.861521	valid_1's auc: 0.85424
[140]	training's auc: 0.861608	valid_1's auc: 0.854283
[141]	training's auc: 0.861725	valid_1's auc: 0.854346
[142]	training's auc: 0.861796	valid_1's auc: 0.854383
[143]	training's auc: 0.861868	valid_1's auc: 0.854395
[144]	training's auc: 0.861919	valid_1's auc: 0.854447
[145]	training's auc: 0.861995	valid_1's auc: 0.854511
[146]	training's auc: 0.862072	valid_1's auc: 0.854534
[147]	training's auc: 0.862182	valid_1's auc: 0.854581
[148]	training's auc: 0.862272	valid_1's auc: 0.854631
[149]	training's auc: 0.862403	valid_1's auc: 0.854697
[150]	training's auc: 0.86248	valid_1's auc: 0.854697
[151]	training's auc: 0.862562	valid_1's auc: 0.854741
[152]	training's auc: 0.862661	valid_1's auc: 0.854771
[153]	training's auc: 0.862733	valid_1's auc: 0.854789
[154]	training's auc: 0.862819	valid_1's auc: 0.854822
[155]	training's auc: 0.862883	valid_1's auc: 0.854841
[156]	training's auc: 0.862926	valid_1's auc: 0.854858
[157]	training's auc: 0.862963	valid_1's auc: 0.854877
[158]	training's auc: 0.863052	valid_1's auc: 0.854928
[159]	training's auc: 0.86309	valid_1's auc: 0.85498
[160]	training's auc: 0.863185	valid_1's auc: 0.855038
[161]	training's auc: 0.863269	valid_1's auc: 0.855067
[162]	training's auc: 0.863378	valid_1's auc: 0.855104
[163]	training's auc: 0.863476	valid_1's auc: 0.855173
[164]	training's auc: 0.863582	valid_1's auc: 0.855213
[165]	training's auc: 0.863675	valid_1's auc: 0.855246
[166]	training's auc: 0.863731	valid_1's auc: 0.855263
[167]	training's auc: 0.863782	valid_1's auc: 0.855277
[168]	training's auc: 0.863894	valid_1's auc: 0.855325
[169]	training's auc: 0.86393	valid_1's auc: 0.855348
[170]	training's auc: 0.864004	valid_1's auc: 0.855402
[171]	training's auc: 0.864114	valid_1's auc: 0.855463
[172]	training's auc: 0.864207	valid_1's auc: 0.855504
[173]	training's auc: 0.864273	valid_1's auc: 0.855536
[174]	training's auc: 0.864354	valid_1's auc: 0.855565
[175]	training's auc: 0.864452	valid_1's auc: 0.855605
[176]	training's auc: 0.864525	valid_1's auc: 0.85561
[177]	training's auc: 0.864584	valid_1's auc: 0.855641
[178]	training's auc: 0.864693	valid_1's auc: 0.855686
[179]	training's auc: 0.864755	valid_1's auc: 0.855701
[180]	training's auc: 0.864857	valid_1's auc: 0.855752
[181]	training's auc: 0.864891	valid_1's auc: 0.855768
[182]	training's auc: 0.864932	valid_1's auc: 0.855793
[183]	training's auc: 0.864989	valid_1's auc: 0.855798
[184]	training's auc: 0.865049	valid_1's auc: 0.855825
[185]	training's auc: 0.865071	valid_1's auc: 0.85585
[186]	training's auc: 0.865125	valid_1's auc: 0.855856
[187]	training's auc: 0.865202	valid_1's auc: 0.85587
[188]	training's auc: 0.86526	valid_1's auc: 0.85588
[189]	training's auc: 0.865325	valid_1's auc: 0.855912
[190]	training's auc: 0.865396	valid_1's auc: 0.855922
[191]	training's auc: 0.865447	valid_1's auc: 0.855937
[192]	training's auc: 0.865527	valid_1's auc: 0.856001
[193]	training's auc: 0.86557	valid_1's auc: 0.856009
[194]	training's auc: 0.865631	valid_1's auc: 0.856
[195]	training's auc: 0.865679	valid_1's auc: 0.85599
[196]	training's auc: 0.865762	valid_1's auc: 0.856042
[197]	training's auc: 0.865806	valid_1's auc: 0.856051
[198]	training's auc: 0.865874	valid_1's auc: 0.856057
[199]	training's auc: 0.865924	valid_1's auc: 0.856084
[200]	training's auc: 0.865973	valid_1's auc: 0.856103
[201]	training's auc: 0.866028	valid_1's auc: 0.856108
[202]	training's auc: 0.866069	valid_1's auc: 0.856121
[203]	training's auc: 0.866137	valid_1's auc: 0.856146
[204]	training's auc: 0.866214	valid_1's auc: 0.856166
[205]	training's auc: 0.866325	valid_1's auc: 0.856216
[206]	training's auc: 0.866385	valid_1's auc: 0.856232
[207]	training's auc: 0.866438	valid_1's auc: 0.856248
[208]	training's auc: 0.866528	valid_1's auc: 0.856275
[209]	training's auc: 0.866593	valid_1's auc: 0.856302
[210]	training's auc: 0.866652	valid_1's auc: 0.856339
[211]	training's auc: 0.866692	valid_1's auc: 0.85634
[212]	training's auc: 0.866763	valid_1's auc: 0.856363
[213]	training's auc: 0.866806	valid_1's auc: 0.85636
[214]	training's auc: 0.866887	valid_1's auc: 0.856394
[215]	training's auc: 0.866955	valid_1's auc: 0.856413
[216]	training's auc: 0.866995	valid_1's auc: 0.856424
[217]	training's auc: 0.867066	valid_1's auc: 0.856461
[218]	training's auc: 0.86711	valid_1's auc: 0.856475
[219]	training's auc: 0.867181	valid_1's auc: 0.856509
[220]	training's auc: 0.867236	valid_1's auc: 0.856528
[221]	training's auc: 0.867323	valid_1's auc: 0.856568
[222]	training's auc: 0.867387	valid_1's auc: 0.856584
[223]	training's auc: 0.867435	valid_1's auc: 0.856607
[224]	training's auc: 0.867472	valid_1's auc: 0.85661
[225]	training's auc: 0.86751	valid_1's auc: 0.856619
