[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.861022	valid_1's auc: 0.855802
[94]	training's auc: 0.861143	valid_1's auc: 0.855796
[95]	training's auc: 0.861242	valid_1's auc: 0.855881
[96]	training's auc: 0.861278	valid_1's auc: 0.855874
[97]	training's auc: 0.861404	valid_1's auc: 0.855933
[98]	training's auc: 0.861496	valid_1's auc: 0.855986
[99]	training's auc: 0.861537	valid_1's auc: 0.855973
[100]	training's auc: 0.861645	valid_1's auc: 0.856013
[101]	training's auc: 0.861713	valid_1's auc: 0.85608
[102]	training's auc: 0.86177	valid_1's auc: 0.856091
[103]	training's auc: 0.861957	valid_1's auc: 0.856237
[104]	training's auc: 0.862148	valid_1's auc: 0.856346
[105]	training's auc: 0.862223	valid_1's auc: 0.856357
[106]	training's auc: 0.862319	valid_1's auc: 0.856374
[107]	training's auc: 0.862378	valid_1's auc: 0.856381
[108]	training's auc: 0.862526	valid_1's auc: 0.856446
[109]	training's auc: 0.862569	valid_1's auc: 0.856419
[110]	training's auc: 0.862598	valid_1's auc: 0.856401
[111]	training's auc: 0.862658	valid_1's auc: 0.856463
[112]	training's auc: 0.862728	valid_1's auc: 0.85649
[113]	training's auc: 0.862779	valid_1's auc: 0.856531
[114]	training's auc: 0.862835	valid_1's auc: 0.856556
[115]	training's auc: 0.862933	valid_1's auc: 0.856647
[116]	training's auc: 0.863039	valid_1's auc: 0.856683
[117]	training's auc: 0.863089	valid_1's auc: 0.856707
[118]	training's auc: 0.863143	valid_1's auc: 0.856701
[119]	training's auc: 0.863215	valid_1's auc: 0.856712
[120]	training's auc: 0.863258	valid_1's auc: 0.856766
[121]	training's auc: 0.863346	valid_1's auc: 0.856815
[122]	training's auc: 0.863423	valid_1's auc: 0.856837
[123]	training's auc: 0.863461	valid_1's auc: 0.856866
[124]	training's auc: 0.863496	valid_1's auc: 0.856901
[125]	training's auc: 0.863543	valid_1's auc: 0.856894
[126]	training's auc: 0.863594	valid_1's auc: 0.856883
[127]	training's auc: 0.863702	valid_1's auc: 0.856912
[128]	training's auc: 0.863731	valid_1's auc: 0.856901
[129]	training's auc: 0.863786	valid_1's auc: 0.856932
[130]	training's auc: 0.863836	valid_1's auc: 0.856921
[131]	training's auc: 0.863891	valid_1's auc: 0.856931
[132]	training's auc: 0.863926	valid_1's auc: 0.856939
[133]	training's auc: 0.864041	valid_1's auc: 0.857015
[134]	training's auc: 0.864066	valid_1's auc: 0.857013
[135]	training's auc: 0.864165	valid_1's auc: 0.857075
[136]	training's auc: 0.864191	valid_1's auc: 0.857086
[137]	training's auc: 0.864231	valid_1's auc: 0.857116
[138]	training's auc: 0.864337	valid_1's auc: 0.857122
[139]	training's auc: 0.864468	valid_1's auc: 0.857199
[140]	training's auc: 0.864548	valid_1's auc: 0.857183
[141]	training's auc: 0.864687	valid_1's auc: 0.857277
[142]	training's auc: 0.864812	valid_1's auc: 0.857354
[143]	training's auc: 0.86494	valid_1's auc: 0.85736
[144]	training's auc: 0.864993	valid_1's auc: 0.857397
[145]	training's auc: 0.865062	valid_1's auc: 0.857482
[146]	training's auc: 0.865139	valid_1's auc: 0.857515
[147]	training's auc: 0.865195	valid_1's auc: 0.857512
[148]	training's auc: 0.865237	valid_1's auc: 0.857519
[149]	training's auc: 0.865281	valid_1's auc: 0.857536
[150]	training's auc: 0.865302	valid_1's auc: 0.857522
[151]	training's auc: 0.865373	valid_1's auc: 0.857566
[152]	training's auc: 0.865397	valid_1's auc: 0.857554
[153]	training's auc: 0.865494	valid_1's auc: 0.85758
[154]	training's auc: 0.865585	valid_1's auc: 0.857565
[155]	training's auc: 0.865618	valid_1's auc: 0.857564
[156]	training's auc: 0.865681	valid_1's auc: 0.857554
[157]	training's auc: 0.865751	valid_1's auc: 0.857562
[158]	training's auc: 0.865848	valid_1's auc: 0.857619
[159]	training's auc: 0.865892	valid_1's auc: 0.857667
[160]	training's auc: 0.865926	valid_1's auc: 0.857648
[161]	training's auc: 0.865986	valid_1's auc: 0.857642
[162]	training's auc: 0.866017	valid_1's auc: 0.857651
[163]	training's auc: 0.866035	valid_1's auc: 0.857633
[164]	training's auc: 0.866081	valid_1's auc: 0.857612
[165]	training's auc: 0.866109	valid_1's auc: 0.85762
[166]	training's auc: 0.866151	valid_1's auc: 0.857629
[167]	training's auc: 0.866256	valid_1's auc: 0.857637
[168]	training's auc: 0.866277	valid_1's auc: 0.857632
[169]	training's auc: 0.866336	valid_1's auc: 0.857654
[170]	training's auc: 0.866396	valid_1's auc: 0.857697
[171]	training's auc: 0.866436	valid_1's auc: 0.857744
[172]	training's auc: 0.866493	valid_1's auc: 0.857782
[173]	training's auc: 0.866549	valid_1's auc: 0.857793
[174]	training's auc: 0.866586	valid_1's auc: 0.857789
[175]	training's auc: 0.866735	valid_1's auc: 0.85787
[176]	training's auc: 0.866763	valid_1's auc: 0.857886
[177]	training's auc: 0.866832	valid_1's auc: 0.857911
[178]	training's auc: 0.866879	valid_1's auc: 0.857936
[179]	training's auc: 0.866909	valid_1's auc: 0.857941
[180]	training's auc: 0.867009	valid_1's auc: 0.857959
[181]	training's auc: 0.867026	valid_1's auc: 0.857938
[182]	training's auc: 0.867105	valid_1's auc: 0.857998
[183]	training's auc: 0.86713	valid_1's auc: 0.857998
[184]	training's auc: 0.867143	valid_1's auc: 0.857996
[185]	training's auc: 0.867193	valid_1's auc: 0.858055
[186]	training's auc: 0.867243	valid_1's auc: 0.85807
[187]	training's auc: 0.867278	valid_1's auc: 0.858056
[188]	training's auc: 0.867329	valid_1's auc: 0.858053
[189]	training's auc: 0.867367	valid_1's auc: 0.858062
[190]	training's auc: 0.86739	valid_1's auc: 0.858051
[191]	training's auc: 0.867469	valid_1's auc: 0.858073
[192]	training's auc: 0.867539	valid_1's auc: 0.858132
[193]	training's auc: 0.867605	valid_1's auc: 0.85812
[194]	training's auc: 0.86771	valid_1's auc: 0.858179
[195]	training's auc: 0.867745	valid_1's auc: 0.858189
[196]	training's auc: 0.867845	valid_1's auc: 0.858231
[197]	training's auc: 0.867875	valid_1's auc: 0.858234
[198]	training's auc: 0.867992	valid_1's auc: 0.858237
[199]	training's auc: 0.868065	valid_1's auc: 0.85826
[200]	training's auc: 0.868077	valid_1's auc: 0.858254
[201]	training's auc: 0.868121	valid_1's auc: 0.858249
[202]	training's auc: 0.868136	valid_1's auc: 0.858246
[203]	training's auc: 0.868175	valid_1's auc: 0.858264
[204]	training's auc: 0.868185	valid_1's auc: 0.858253
[205]	training's auc: 0.868239	valid_1's auc: 0.858235
[206]	training's auc: 0.868308	valid_1's auc: 0.858266
[207]	training's auc: 0.868335	valid_1's auc: 0.858266
[208]	training's auc: 0.868345	valid_1's auc: 0.858279
[209]	training's auc: 0.868383	valid_1's auc: 0.858255
[210]	training's auc: 0.868453	valid_1's auc: 0.858297
[211]	training's auc: 0.868482	valid_1's auc: 0.85828
[212]	training's auc: 0.868481	valid_1's auc: 0.858282
[213]	training's auc: 0.868562	valid_1's auc: 0.858274
[214]	training's auc: 0.868635	valid_1's auc: 0.858296
[215]	training's auc: 0.868709	valid_1's auc: 0.858291
[216]	training's auc: 0.868776	valid_1's auc: 0.858304
[217]	training's auc: 0.868787	valid_1's auc: 0.858306
[218]	training's auc: 0.868792	valid_1's auc: 0.858306
