[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.849299	valid_1's auc: 0.847363
[94]	training's auc: 0.849437	valid_1's auc: 0.847472
[95]	training's auc: 0.849581	valid_1's auc: 0.847595
[96]	training's auc: 0.849667	valid_1's auc: 0.847667
[97]	training's auc: 0.849766	valid_1's auc: 0.847759
[98]	training's auc: 0.849927	valid_1's auc: 0.847851
[99]	training's auc: 0.850038	valid_1's auc: 0.84793
[100]	training's auc: 0.850182	valid_1's auc: 0.848018
[101]	training's auc: 0.850305	valid_1's auc: 0.848079
[102]	training's auc: 0.850403	valid_1's auc: 0.848133
[103]	training's auc: 0.850517	valid_1's auc: 0.848212
[104]	training's auc: 0.850632	valid_1's auc: 0.848304
[105]	training's auc: 0.850727	valid_1's auc: 0.848366
[106]	training's auc: 0.850786	valid_1's auc: 0.848422
[107]	training's auc: 0.850889	valid_1's auc: 0.84851
[108]	training's auc: 0.851027	valid_1's auc: 0.848619
[109]	training's auc: 0.85117	valid_1's auc: 0.848721
[110]	training's auc: 0.851273	valid_1's auc: 0.84881
[111]	training's auc: 0.851351	valid_1's auc: 0.84887
[112]	training's auc: 0.851511	valid_1's auc: 0.848974
[113]	training's auc: 0.851586	valid_1's auc: 0.849046
[114]	training's auc: 0.851736	valid_1's auc: 0.849134
[115]	training's auc: 0.851824	valid_1's auc: 0.849197
[116]	training's auc: 0.851982	valid_1's auc: 0.849329
[117]	training's auc: 0.852084	valid_1's auc: 0.84939
[118]	training's auc: 0.852156	valid_1's auc: 0.84943
[119]	training's auc: 0.852249	valid_1's auc: 0.849491
[120]	training's auc: 0.852393	valid_1's auc: 0.849618
[121]	training's auc: 0.852491	valid_1's auc: 0.849676
[122]	training's auc: 0.852571	valid_1's auc: 0.849732
[123]	training's auc: 0.852634	valid_1's auc: 0.849793
[124]	training's auc: 0.85278	valid_1's auc: 0.849895
[125]	training's auc: 0.852869	valid_1's auc: 0.849953
[126]	training's auc: 0.852994	valid_1's auc: 0.850042
[127]	training's auc: 0.853041	valid_1's auc: 0.850084
[128]	training's auc: 0.853131	valid_1's auc: 0.850141
[129]	training's auc: 0.853268	valid_1's auc: 0.850246
[130]	training's auc: 0.853402	valid_1's auc: 0.850359
[131]	training's auc: 0.853472	valid_1's auc: 0.850405
[132]	training's auc: 0.85352	valid_1's auc: 0.850451
[133]	training's auc: 0.853646	valid_1's auc: 0.850528
[134]	training's auc: 0.853773	valid_1's auc: 0.850638
[135]	training's auc: 0.853835	valid_1's auc: 0.850697
[136]	training's auc: 0.853897	valid_1's auc: 0.850726
[137]	training's auc: 0.853947	valid_1's auc: 0.850771
[138]	training's auc: 0.854046	valid_1's auc: 0.85083
[139]	training's auc: 0.854087	valid_1's auc: 0.850873
[140]	training's auc: 0.854193	valid_1's auc: 0.850911
[141]	training's auc: 0.854349	valid_1's auc: 0.851047
[142]	training's auc: 0.854429	valid_1's auc: 0.851094
[143]	training's auc: 0.854461	valid_1's auc: 0.85113
[144]	training's auc: 0.854566	valid_1's auc: 0.851198
[145]	training's auc: 0.854678	valid_1's auc: 0.851248
[146]	training's auc: 0.85475	valid_1's auc: 0.85129
[147]	training's auc: 0.854846	valid_1's auc: 0.851358
[148]	training's auc: 0.854944	valid_1's auc: 0.851435
[149]	training's auc: 0.855067	valid_1's auc: 0.851505
[150]	training's auc: 0.855169	valid_1's auc: 0.851548
[151]	training's auc: 0.85526	valid_1's auc: 0.851598
[152]	training's auc: 0.855363	valid_1's auc: 0.851653
[153]	training's auc: 0.855415	valid_1's auc: 0.851709
[154]	training's auc: 0.855471	valid_1's auc: 0.851748
[155]	training's auc: 0.855521	valid_1's auc: 0.851799
[156]	training's auc: 0.855555	valid_1's auc: 0.851837
[157]	training's auc: 0.855658	valid_1's auc: 0.851888
[158]	training's auc: 0.855744	valid_1's auc: 0.851912
[159]	training's auc: 0.855775	valid_1's auc: 0.851936
[160]	training's auc: 0.855853	valid_1's auc: 0.85196
[161]	training's auc: 0.855886	valid_1's auc: 0.851994
[162]	training's auc: 0.855974	valid_1's auc: 0.852056
[163]	training's auc: 0.856081	valid_1's auc: 0.852114
[164]	training's auc: 0.856132	valid_1's auc: 0.852136
[165]	training's auc: 0.8562	valid_1's auc: 0.852182
[166]	training's auc: 0.856284	valid_1's auc: 0.852212
[167]	training's auc: 0.856367	valid_1's auc: 0.852248
[168]	training's auc: 0.856439	valid_1's auc: 0.852263
[169]	training's auc: 0.856471	valid_1's auc: 0.852294
[170]	training's auc: 0.856568	valid_1's auc: 0.852326
[171]	training's auc: 0.856626	valid_1's auc: 0.852359
[172]	training's auc: 0.856699	valid_1's auc: 0.852407
[173]	training's auc: 0.856791	valid_1's auc: 0.852464
[174]	training's auc: 0.856861	valid_1's auc: 0.852488
[175]	training's auc: 0.856937	valid_1's auc: 0.852545
[176]	training's auc: 0.856987	valid_1's auc: 0.852551
[177]	training's auc: 0.857072	valid_1's auc: 0.852596
[178]	training's auc: 0.857127	valid_1's auc: 0.852634
[179]	training's auc: 0.857213	valid_1's auc: 0.852678
[180]	training's auc: 0.857272	valid_1's auc: 0.852705
[181]	training's auc: 0.857343	valid_1's auc: 0.852723
[182]	training's auc: 0.857421	valid_1's auc: 0.852752
[183]	training's auc: 0.857516	valid_1's auc: 0.852807
[184]	training's auc: 0.857586	valid_1's auc: 0.852846
[185]	training's auc: 0.857661	valid_1's auc: 0.852868
[186]	training's auc: 0.857707	valid_1's auc: 0.852871
[187]	training's auc: 0.857764	valid_1's auc: 0.852896
[188]	training's auc: 0.857858	valid_1's auc: 0.852945
[189]	training's auc: 0.857898	valid_1's auc: 0.852973
[190]	training's auc: 0.857969	valid_1's auc: 0.853022
[191]	training's auc: 0.858041	valid_1's auc: 0.853067
[192]	training's auc: 0.858137	valid_1's auc: 0.85313
[193]	training's auc: 0.858215	valid_1's auc: 0.853168
[194]	training's auc: 0.858252	valid_1's auc: 0.853193
