[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[170]	training's auc: 0.868788	valid_1's auc: 0.860188
[171]	training's auc: 0.868851	valid_1's auc: 0.860194
[172]	training's auc: 0.868881	valid_1's auc: 0.860228
[173]	training's auc: 0.868958	valid_1's auc: 0.860276
[174]	training's auc: 0.868974	valid_1's auc: 0.860248
[175]	training's auc: 0.869	valid_1's auc: 0.860257
[176]	training's auc: 0.869046	valid_1's auc: 0.860248
[177]	training's auc: 0.869072	valid_1's auc: 0.860262
[178]	training's auc: 0.869139	valid_1's auc: 0.860287
[179]	training's auc: 0.869178	valid_1's auc: 0.860284
[180]	training's auc: 0.869275	valid_1's auc: 0.860313
[181]	training's auc: 0.86935	valid_1's auc: 0.860349
[182]	training's auc: 0.869398	valid_1's auc: 0.860357
[183]	training's auc: 0.869426	valid_1's auc: 0.860368
[184]	training's auc: 0.869446	valid_1's auc: 0.860357
[185]	training's auc: 0.869481	valid_1's auc: 0.860386
[186]	training's auc: 0.869538	valid_1's auc: 0.860395
[187]	training's auc: 0.869658	valid_1's auc: 0.860444
[188]	training's auc: 0.869717	valid_1's auc: 0.86047
[189]	training's auc: 0.869801	valid_1's auc: 0.860521
[190]	training's auc: 0.869863	valid_1's auc: 0.860521
[191]	training's auc: 0.869919	valid_1's auc: 0.860555
[192]	training's auc: 0.869999	valid_1's auc: 0.860588
[193]	training's auc: 0.870101	valid_1's auc: 0.860611
[194]	training's auc: 0.8702	valid_1's auc: 0.860634
[195]	training's auc: 0.870279	valid_1's auc: 0.860643
[196]	training's auc: 0.870344	valid_1's auc: 0.860637
[197]	training's auc: 0.870389	valid_1's auc: 0.860655
[198]	training's auc: 0.870442	valid_1's auc: 0.860668
[199]	training's auc: 0.870487	valid_1's auc: 0.860681
[200]	training's auc: 0.870527	valid_1's auc: 0.860664
[201]	training's auc: 0.870571	valid_1's auc: 0.860651
[202]	training's auc: 0.870613	valid_1's auc: 0.860685
[203]	training's auc: 0.870683	valid_1's auc: 0.86071
[204]	training's auc: 0.870697	valid_1's auc: 0.860706
[205]	training's auc: 0.870808	valid_1's auc: 0.860719
[206]	training's auc: 0.870847	valid_1's auc: 0.860764
[207]	training's auc: 0.870936	valid_1's auc: 0.860779
[208]	training's auc: 0.870966	valid_1's auc: 0.860805
[209]	training's auc: 0.871006	valid_1's auc: 0.860807
[210]	training's auc: 0.871075	valid_1's auc: 0.860808
[211]	training's auc: 0.871129	valid_1's auc: 0.860802
[212]	training's auc: 0.871185	valid_1's auc: 0.860799
[213]	training's auc: 0.871208	valid_1's auc: 0.860816
[214]	training's auc: 0.87127	valid_1's auc: 0.860799
[215]	training's auc: 0.871336	valid_1's auc: 0.860824
[216]	training's auc: 0.871386	valid_1's auc: 0.860815
[217]	training's auc: 0.871443	valid_1's auc: 0.860796
[218]	training's auc: 0.871509	valid_1's auc: 0.860815
[219]	training's auc: 0.871547	valid_1's auc: 0.86084
[220]	training's auc: 0.87159	valid_1's auc: 0.860816
[221]	training's auc: 0.871637	valid_1's auc: 0.860839
[222]	training's auc: 0.871655	valid_1's auc: 0.860829
[223]	training's auc: 0.87173	valid_1's auc: 0.860856
[224]	training's auc: 0.871743	valid_1's auc: 0.860842
[225]	training's auc: 0.87178	valid_1's auc: 0.860888
[226]	training's auc: 0.871847	valid_1's auc: 0.860913
[227]	training's auc: 0.871888	valid_1's auc: 0.860951
[228]	training's auc: 0.871946	valid_1's auc: 0.860953
[229]	training's auc: 0.871988	valid_1's auc: 0.86096
[230]	training's auc: 0.872017	valid_1's auc: 0.860977
[231]	training's auc: 0.87202	valid_1's auc: 0.860962
[232]	training's auc: 0.872042	valid_1's auc: 0.860981
[233]	training's auc: 0.872111	valid_1's auc: 0.860978
[234]	training's auc: 0.872193	valid_1's auc: 0.861013
[235]	training's auc: 0.872233	valid_1's auc: 0.861022
[236]	training's auc: 0.872286	valid_1's auc: 0.861004
[237]	training's auc: 0.872309	valid_1's auc: 0.861033
[238]	training's auc: 0.872333	valid_1's auc: 0.861044
[239]	training's auc: 0.872365	valid_1's auc: 0.861027
[240]	training's auc: 0.87244	valid_1's auc: 0.861039
[241]	training's auc: 0.872458	valid_1's auc: 0.861046
[242]	training's auc: 0.872495	valid_1's auc: 0.861045
[243]	training's auc: 0.872529	valid_1's auc: 0.861046
[244]	training's auc: 0.872565	valid_1's auc: 0.861053
[245]	training's auc: 0.872654	valid_1's auc: 0.861112
[246]	training's auc: 0.872692	valid_1's auc: 0.861131
[247]	training's auc: 0.872708	valid_1's auc: 0.861124
[248]	training's auc: 0.872716	valid_1's auc: 0.861122
[249]	training's auc: 0.872765	valid_1's auc: 0.861118
[250]	training's auc: 0.872807	valid_1's auc: 0.861114
[251]	training's auc: 0.872849	valid_1's auc: 0.861125
[252]	training's auc: 0.872895	valid_1's auc: 0.861137
[253]	training's auc: 0.87294	valid_1's auc: 0.861131
[254]	training's auc: 0.872953	valid_1's auc: 0.861135
[255]	training's auc: 0.872983	valid_1's auc: 0.861172
[256]	training's auc: 0.873037	valid_1's auc: 0.861181
[257]	training's auc: 0.873079	valid_1's auc: 0.861176
[258]	training's auc: 0.873105	valid_1's auc: 0.861193
[259]	training's auc: 0.873162	valid_1's auc: 0.861201
[260]	training's auc: 0.873188	valid_1's auc: 0.861221
[261]	training's auc: 0.873228	valid_1's auc: 0.861219
[262]	training's auc: 0.873257	valid_1's auc: 0.861214
[263]	training's auc: 0.873263	valid_1's auc: 0.861201
[264]	training's auc: 0.873332	valid_1's auc: 0.861234
[265]	training's auc: 0.873348	valid_1's auc: 0.861249
[266]	training's auc: 0.873421	valid_1's auc: 0.861293
[267]	training's auc: 0.873444	valid_1's auc: 0.861305
[268]	training's auc: 0.873484	valid_1's auc: 0.861323
[269]	training's auc: 0.873513	valid_1's auc: 0.861324
[270]	training's auc: 0.873546	valid_1's auc: 0.861323
[271]	training's auc: 0.87358	valid_1's auc: 0.861316
[272]	training's auc: 0.873616	valid_1's auc: 0.8613
[273]	training's auc: 0.873637	valid_1's auc: 0.861315
[274]	training's auc: 0.873642	valid_1's auc: 0.861309
[275]	training's auc: 0.873673	valid_1's auc: 0.86131
[276]	training's auc: 0.873685	valid_1's auc: 0.86131
[277]	training's auc: 0.873737	valid_1's auc: 0.861337
[278]	training's auc: 0.873738	valid_1's auc: 0.86133
[279]	training's auc: 0.873766	valid_1's auc: 0.861322
[280]	training's auc: 0.873774	valid_1's auc: 0.861317
[281]	training's auc: 0.873804	valid_1's auc: 0.86131
[282]	training's auc: 0.873847	valid_1's auc: 0.861314
[283]	training's auc: 0.873883	valid_1's auc: 0.86132
[284]	training's auc: 0.873914	valid_1's auc: 0.861312
[285]	training's auc: 0.873967	valid_1's auc: 0.861292
[286]	training's auc: 0.874076	valid_1's auc: 0.86133
[287]	training's auc: 0.874089	valid_1's auc: 0.861335
[288]	training's auc: 0.874142	valid_1's auc: 0.861355
[289]	training's auc: 0.874234	valid_1's auc: 0.861434
[290]	training's auc: 0.874284	valid_1's auc: 0.861432
[291]	training's auc: 0.874331	valid_1's auc: 0.86143
[292]	training's auc: 0.874338	valid_1's auc: 0.861435
[293]	training's auc: 0.87436	valid_1's auc: 0.861446
[294]	training's auc: 0.874408	valid_1's auc: 0.861462
[295]	training's auc: 0.874448	valid_1's auc: 0.861452
[296]	training's auc: 0.874489	valid_1's auc: 0.861445
[297]	training's auc: 0.874537	valid_1's auc: 0.861453
[298]	training's auc: 0.874589	valid_1's auc: 0.861469
[299]	training's auc: 0.874595	valid_1's auc: 0.861453
[300]	training's auc: 0.874615	valid_1's auc: 0.861488
[301]	training's auc: 0.874653	valid_1's auc: 0.86149
[302]	training's auc: 0.874725	valid_1's auc: 0.861505
[303]	training's auc: 0.87475	valid_1's auc: 0.861521
[304]	training's auc: 0.874775	valid_1's auc: 0.861537
[305]	training's auc: 0.874778	valid_1's auc: 0.861529
