[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[137]	training's auc: 0.866647	valid_1's auc: 0.858548
[138]	training's auc: 0.866771	valid_1's auc: 0.85862
[139]	training's auc: 0.866909	valid_1's auc: 0.8587
[140]	training's auc: 0.867001	valid_1's auc: 0.858712
[141]	training's auc: 0.867062	valid_1's auc: 0.858728
[142]	training's auc: 0.867124	valid_1's auc: 0.858726
[143]	training's auc: 0.867154	valid_1's auc: 0.85872
[144]	training's auc: 0.86719	valid_1's auc: 0.858753
[145]	training's auc: 0.867263	valid_1's auc: 0.85881
[146]	training's auc: 0.867329	valid_1's auc: 0.858809
[147]	training's auc: 0.867396	valid_1's auc: 0.858837
[148]	training's auc: 0.86745	valid_1's auc: 0.858846
[149]	training's auc: 0.867478	valid_1's auc: 0.858859
[150]	training's auc: 0.867551	valid_1's auc: 0.858847
[151]	training's auc: 0.867636	valid_1's auc: 0.85889
[152]	training's auc: 0.867678	valid_1's auc: 0.858879
[153]	training's auc: 0.867769	valid_1's auc: 0.858921
[154]	training's auc: 0.867899	valid_1's auc: 0.858981
[155]	training's auc: 0.868025	valid_1's auc: 0.859019
[156]	training's auc: 0.868062	valid_1's auc: 0.859021
[157]	training's auc: 0.868112	valid_1's auc: 0.859046
[158]	training's auc: 0.868192	valid_1's auc: 0.859103
[159]	training's auc: 0.868228	valid_1's auc: 0.859157
[160]	training's auc: 0.868325	valid_1's auc: 0.859202
[161]	training's auc: 0.86838	valid_1's auc: 0.859199
[162]	training's auc: 0.868431	valid_1's auc: 0.859205
[163]	training's auc: 0.868489	valid_1's auc: 0.859232
[164]	training's auc: 0.868544	valid_1's auc: 0.859233
[165]	training's auc: 0.868607	valid_1's auc: 0.859244
[166]	training's auc: 0.868655	valid_1's auc: 0.859237
[167]	training's auc: 0.868674	valid_1's auc: 0.859229
[168]	training's auc: 0.868699	valid_1's auc: 0.859225
[169]	training's auc: 0.868749	valid_1's auc: 0.85921
[170]	training's auc: 0.868805	valid_1's auc: 0.859236
[171]	training's auc: 0.868857	valid_1's auc: 0.859244
[172]	training's auc: 0.868922	valid_1's auc: 0.859249
[173]	training's auc: 0.869	valid_1's auc: 0.859275
[174]	training's auc: 0.869037	valid_1's auc: 0.859268
[175]	training's auc: 0.869141	valid_1's auc: 0.859314
[176]	training's auc: 0.869291	valid_1's auc: 0.859339
[177]	training's auc: 0.869358	valid_1's auc: 0.859368
[178]	training's auc: 0.869443	valid_1's auc: 0.859382
[179]	training's auc: 0.869502	valid_1's auc: 0.859386
[180]	training's auc: 0.869576	valid_1's auc: 0.859394
[181]	training's auc: 0.869592	valid_1's auc: 0.859385
[182]	training's auc: 0.869643	valid_1's auc: 0.8594
[183]	training's auc: 0.869668	valid_1's auc: 0.859401
[184]	training's auc: 0.869689	valid_1's auc: 0.859391
[185]	training's auc: 0.869734	valid_1's auc: 0.859431
[186]	training's auc: 0.869794	valid_1's auc: 0.859427
[187]	training's auc: 0.869851	valid_1's auc: 0.859411
[188]	training's auc: 0.869919	valid_1's auc: 0.859406
[189]	training's auc: 0.869974	valid_1's auc: 0.859426
[190]	training's auc: 0.870004	valid_1's auc: 0.859409
[191]	training's auc: 0.870064	valid_1's auc: 0.859429
[192]	training's auc: 0.870141	valid_1's auc: 0.859467
[193]	training's auc: 0.87023	valid_1's auc: 0.859503
[194]	training's auc: 0.870295	valid_1's auc: 0.859486
[195]	training's auc: 0.870381	valid_1's auc: 0.859528
[196]	training's auc: 0.870449	valid_1's auc: 0.859519
[197]	training's auc: 0.870482	valid_1's auc: 0.859514
[198]	training's auc: 0.870552	valid_1's auc: 0.859518
[199]	training's auc: 0.870609	valid_1's auc: 0.859523
[200]	training's auc: 0.870637	valid_1's auc: 0.85952
[201]	training's auc: 0.870689	valid_1's auc: 0.859523
[202]	training's auc: 0.870707	valid_1's auc: 0.859524
[203]	training's auc: 0.87075	valid_1's auc: 0.859529
[204]	training's auc: 0.870763	valid_1's auc: 0.859526
[205]	training's auc: 0.870816	valid_1's auc: 0.859533
[206]	training's auc: 0.870869	valid_1's auc: 0.859567
[207]	training's auc: 0.870901	valid_1's auc: 0.859568
[208]	training's auc: 0.870913	valid_1's auc: 0.859569
[209]	training's auc: 0.870954	valid_1's auc: 0.859567
[210]	training's auc: 0.871003	valid_1's auc: 0.859575
[211]	training's auc: 0.871032	valid_1's auc: 0.85957
[212]	training's auc: 0.871043	valid_1's auc: 0.859552
[213]	training's auc: 0.871057	valid_1's auc: 0.859548
[214]	training's auc: 0.871133	valid_1's auc: 0.859563
[215]	training's auc: 0.87123	valid_1's auc: 0.859583
[216]	training's auc: 0.871266	valid_1's auc: 0.859584
[217]	training's auc: 0.871359	valid_1's auc: 0.859617
[218]	training's auc: 0.871447	valid_1's auc: 0.859619
[219]	training's auc: 0.871516	valid_1's auc: 0.859667
[220]	training's auc: 0.87162	valid_1's auc: 0.859706
[221]	training's auc: 0.871665	valid_1's auc: 0.859715
[222]	training's auc: 0.871682	valid_1's auc: 0.859702
[223]	training's auc: 0.871746	valid_1's auc: 0.859706
[224]	training's auc: 0.871769	valid_1's auc: 0.859692
[225]	training's auc: 0.871834	valid_1's auc: 0.859706
[226]	training's auc: 0.871919	valid_1's auc: 0.859739
[227]	training's auc: 0.871967	valid_1's auc: 0.859787
[228]	training's auc: 0.872004	valid_1's auc: 0.859804
[229]	training's auc: 0.872038	valid_1's auc: 0.859801
[230]	training's auc: 0.872083	valid_1's auc: 0.859839
[231]	training's auc: 0.872088	valid_1's auc: 0.859829
[232]	training's auc: 0.872125	valid_1's auc: 0.859829
[233]	training's auc: 0.872169	valid_1's auc: 0.859825
[234]	training's auc: 0.872225	valid_1's auc: 0.859848
[235]	training's auc: 0.872262	valid_1's auc: 0.859846
[236]	training's auc: 0.872323	valid_1's auc: 0.859852
[237]	training's auc: 0.872349	valid_1's auc: 0.859882
[238]	training's auc: 0.872394	valid_1's auc: 0.859863
[239]	training's auc: 0.872485	valid_1's auc: 0.859863
[240]	training's auc: 0.872573	valid_1's auc: 0.859911
[241]	training's auc: 0.87259	valid_1's auc: 0.859915
[242]	training's auc: 0.872626	valid_1's auc: 0.859912
[243]	training's auc: 0.872651	valid_1's auc: 0.859908
[244]	training's auc: 0.872723	valid_1's auc: 0.85991
[245]	training's auc: 0.87273	valid_1's auc: 0.859902
[246]	training's auc: 0.872783	valid_1's auc: 0.859928
[247]	training's auc: 0.87284	valid_1's auc: 0.859967
[248]	training's auc: 0.872845	valid_1's auc: 0.859957
[249]	training's auc: 0.872896	valid_1's auc: 0.85995
[250]	training's auc: 0.872948	valid_1's auc: 0.859945
[251]	training's auc: 0.873022	valid_1's auc: 0.859946
[252]	training's auc: 0.873089	valid_1's auc: 0.859946
[253]	training's auc: 0.873133	valid_1's auc: 0.859947
[254]	training's auc: 0.873141	valid_1's auc: 0.85994
[255]	training's auc: 0.87317	valid_1's auc: 0.859967
[256]	training's auc: 0.873242	valid_1's auc: 0.859968
[257]	training's auc: 0.873279	valid_1's auc: 0.859973
[258]	training's auc: 0.873313	valid_1's auc: 0.860017
[259]	training's auc: 0.873357	valid_1's auc: 0.860024
[260]	training's auc: 0.873386	valid_1's auc: 0.860055
[261]	training's auc: 0.873441	valid_1's auc: 0.860092
[262]	training's auc: 0.873487	valid_1's auc: 0.860082
[263]	training's auc: 0.873494	valid_1's auc: 0.860074
[264]	training's auc: 0.87354	valid_1's auc: 0.860084
[265]	training's auc: 0.873585	valid_1's auc: 0.860107
[266]	training's auc: 0.873643	valid_1's auc: 0.860138
[267]	training's auc: 0.873691	valid_1's auc: 0.860126
[268]	training's auc: 0.873715	valid_1's auc: 0.860121
[269]	training's auc: 0.87376	valid_1's auc: 0.860124
[270]	training's auc: 0.873803	valid_1's auc: 0.860144
[271]	training's auc: 0.873847	valid_1's auc: 0.860135
[272]	training's auc: 0.873896	valid_1's auc: 0.860157
[273]	training's auc: 0.873921	valid_1's auc: 0.86019
[274]	training's auc: 0.873924	valid_1's auc: 0.860184
[275]	training's auc: 0.873971	valid_1's auc: 0.860197
[276]	training's auc: 0.873978	valid_1's auc: 0.860193
[277]	training's auc: 0.874011	valid_1's auc: 0.860186
[278]	training's auc: 0.874031	valid_1's auc: 0.860185
[279]	training's auc: 0.874085	valid_1's auc: 0.860203
[280]	training's auc: 0.874105	valid_1's auc: 0.860194
[281]	training's auc: 0.874139	valid_1's auc: 0.860203
[282]	training's auc: 0.874189	valid_1's auc: 0.860217
[283]	training's auc: 0.874231	valid_1's auc: 0.860248
[284]	training's auc: 0.874263	valid_1's auc: 0.860245
[285]	training's auc: 0.874276	valid_1's auc: 0.860239
[286]	training's auc: 0.87428	valid_1's auc: 0.860241
[287]	training's auc: 0.874288	valid_1's auc: 0.860239
[288]	training's auc: 0.874346	valid_1's auc: 0.86027
[289]	training's auc: 0.874395	valid_1's auc: 0.860301
[290]	training's auc: 0.874451	valid_1's auc: 0.860298
[291]	training's auc: 0.874512	valid_1's auc: 0.860319
[292]	training's auc: 0.87454	valid_1's auc: 0.860331
[293]	training's auc: 0.874581	valid_1's auc: 0.860319
[294]	training's auc: 0.874628	valid_1's auc: 0.860335
[295]	training's auc: 0.874674	valid_1's auc: 0.860337
[296]	training's auc: 0.874714	valid_1's auc: 0.860331
[297]	training's auc: 0.87477	valid_1's auc: 0.860356
[298]	training's auc: 0.87485	valid_1's auc: 0.860382
[299]	training's auc: 0.874876	valid_1's auc: 0.860378
[300]	training's auc: 0.874898	valid_1's auc: 0.860397
[301]	training's auc: 0.874928	valid_1's auc: 0.860392
[302]	training's auc: 0.874937	valid_1's auc: 0.86039
[303]	training's auc: 0.874962	valid_1's auc: 0.860427
[304]	training's auc: 0.874995	valid_1's auc: 0.86046
[305]	training's auc: 0.874998	valid_1's auc: 0.860457
[306]	training's auc: 0.875044	valid_1's auc: 0.860466
[307]	training's auc: 0.875052	valid_1's auc: 0.860466
[308]	training's auc: 0.875058	valid_1's auc: 0.860465
[309]	training's auc: 0.875087	valid_1's auc: 0.860459
[310]	training's auc: 0.875091	valid_1's auc: 0.860454
[311]	training's auc: 0.875115	valid_1's auc: 0.860442
[312]	training's auc: 0.875161	valid_1's auc: 0.860435
[313]	training's auc: 0.875178	valid_1's auc: 0.86043
[314]	training's auc: 0.875213	valid_1's auc: 0.86045
[315]	training's auc: 0.875236	valid_1's auc: 0.860469
[316]	training's auc: 0.875313	valid_1's auc: 0.860482
[317]	training's auc: 0.875378	valid_1's auc: 0.860485
[318]	training's auc: 0.875411	valid_1's auc: 0.86048
[319]	training's auc: 0.875463	valid_1's auc: 0.860477
[320]	training's auc: 0.87551	valid_1's auc: 0.860474
[321]	training's auc: 0.875541	valid_1's auc: 0.860474
[322]	training's auc: 0.875553	valid_1's auc: 0.860469
[323]	training's auc: 0.87556	valid_1's auc: 0.86047
[324]	training's auc: 0.875599	valid_1's auc: 0.860487
[325]	training's auc: 0.875626	valid_1's auc: 0.860488
[326]	training's auc: 0.875655	valid_1's auc: 0.860488
[327]	training's auc: 0.875689	valid_1's auc: 0.86048
[328]	training's auc: 0.875693	valid_1's auc: 0.860471
[329]	training's auc: 0.875729	valid_1's auc: 0.860468
[330]	training's auc: 0.875765	valid_1's auc: 0.860473
[331]	training's auc: 0.875817	valid_1's auc: 0.860473
[332]	training's auc: 0.875826	valid_1's auc: 0.860467
[333]	training's auc: 0.875877	valid_1's auc: 0.860462
[334]	training's auc: 0.875911	valid_1's auc: 0.860471
[335]	training's auc: 0.875946	valid_1's auc: 0.86047
[336]	training's auc: 0.875998	valid_1's auc: 0.860484
[337]	training's auc: 0.875999	valid_1's auc: 0.860479
[338]	training's auc: 0.876029	valid_1's auc: 0.860483
[339]	training's auc: 0.876086	valid_1's auc: 0.860491
[340]	training's auc: 0.876121	valid_1's auc: 0.860502
[341]	training's auc: 0.876146	valid_1's auc: 0.860507
[342]	training's auc: 0.876155	valid_1's auc: 0.860514
[343]	training's auc: 0.876189	valid_1's auc: 0.860523
[344]	training's auc: 0.876198	valid_1's auc: 0.860516
[345]	training's auc: 0.876238	valid_1's auc: 0.860524
[346]	training's auc: 0.876274	valid_1's auc: 0.860517
[347]	training's auc: 0.876299	valid_1's auc: 0.860547
[348]	training's auc: 0.876304	valid_1's auc: 0.86055
[349]	training's auc: 0.876335	valid_1's auc: 0.86054
[350]	training's auc: 0.876338	valid_1's auc: 0.86054
[351]	training's auc: 0.876339	valid_1's auc: 0.860539
[352]	training's auc: 0.876378	valid_1's auc: 0.860538
[353]	training's auc: 0.876381	valid_1's auc: 0.860538
[354]	training's auc: 0.876401	valid_1's auc: 0.860553
[355]	training's auc: 0.876425	valid_1's auc: 0.86057
[356]	training's auc: 0.876442	valid_1's auc: 0.860595
[357]	training's auc: 0.876442	valid_1's auc: 0.86059
[358]	training's auc: 0.876468	valid_1's auc: 0.860583
[359]	training's auc: 0.876502	valid_1's auc: 0.860592
[360]	training's auc: 0.876545	valid_1's auc: 0.860605
[361]	training's auc: 0.876568	valid_1's auc: 0.86061
[362]	training's auc: 0.876581	valid_1's auc: 0.860617
[363]	training's auc: 0.876585	valid_1's auc: 0.860613
[364]	training's auc: 0.876611	valid_1's auc: 0.860613
[365]	training's auc: 0.876617	valid_1's auc: 0.860612
[366]	training's auc: 0.876641	valid_1's auc: 0.860629
[367]	training's auc: 0.876682	valid_1's auc: 0.860634
[368]	training's auc: 0.876713	valid_1's auc: 0.860637
[369]	training's auc: 0.87674	valid_1's auc: 0.860643
[370]	training's auc: 0.876755	valid_1's auc: 0.860657
[371]	training's auc: 0.876757	valid_1's auc: 0.860651
[372]	training's auc: 0.876757	valid_1's auc: 0.860641
[373]	training's auc: 0.876791	valid_1's auc: 0.860642
[374]	training's auc: 0.876821	valid_1's auc: 0.860678
[375]	training's auc: 0.876845	valid_1's auc: 0.860691
[376]	training's auc: 0.876878	valid_1's auc: 0.860687
[377]	training's auc: 0.876913	valid_1's auc: 0.860687
[378]	training's auc: 0.876941	valid_1's auc: 0.860688
[379]	training's auc: 0.876961	valid_1's auc: 0.860701
[380]	training's auc: 0.877021	valid_1's auc: 0.860726
[381]	training's auc: 0.877033	valid_1's auc: 0.86074
[382]	training's auc: 0.877058	valid_1's auc: 0.860738
[383]	training's auc: 0.877086	valid_1's auc: 0.860733
[384]	training's auc: 0.877096	valid_1's auc: 0.860737
[385]	training's auc: 0.8771	valid_1's auc: 0.860739
[386]	training's auc: 0.877125	valid_1's auc: 0.860775
[387]	training's auc: 0.87713	valid_1's auc: 0.860771
[388]	training's auc: 0.877167	valid_1's auc: 0.860775
[389]	training's auc: 0.877167	valid_1's auc: 0.860774
[390]	training's auc: 0.877169	valid_1's auc: 0.860774
[391]	training's auc: 0.877192	valid_1's auc: 0.860775
[392]	training's auc: 0.877191	valid_1's auc: 0.860775
[393]	training's auc: 0.877197	valid_1's auc: 0.860781
[394]	training's auc: 0.877228	valid_1's auc: 0.860782
[395]	training's auc: 0.877254	valid_1's auc: 0.86078
[396]	training's auc: 0.877257	valid_1's auc: 0.860782
[397]	training's auc: 0.877283	valid_1's auc: 0.860799
[398]	training's auc: 0.877304	valid_1's auc: 0.860798
[399]	training's auc: 0.877329	valid_1's auc: 0.860797
[400]	training's auc: 0.877333	valid_1's auc: 0.860792
[401]	training's auc: 0.877339	valid_1's auc: 0.86079
[402]	training's auc: 0.877347	valid_1's auc: 0.860793
[403]	training's auc: 0.87738	valid_1's auc: 0.860807
[404]	training's auc: 0.877407	valid_1's auc: 0.860845
[405]	training's auc: 0.877437	valid_1's auc: 0.860858
[406]	training's auc: 0.877476	valid_1's auc: 0.860858
[407]	training's auc: 0.877509	valid_1's auc: 0.860865
[408]	training's auc: 0.877543	valid_1's auc: 0.860861
[409]	training's auc: 0.877545	valid_1's auc: 0.86086
[410]	training's auc: 0.877592	valid_1's auc: 0.860873
[411]	training's auc: 0.877598	valid_1's auc: 0.860878
[412]	training's auc: 0.877629	valid_1's auc: 0.860878
[413]	training's auc: 0.877657	valid_1's auc: 0.860874
[414]	training's auc: 0.877678	valid_1's auc: 0.860899
[415]	training's auc: 0.877686	valid_1's auc: 0.860905
[416]	training's auc: 0.877707	valid_1's auc: 0.860907
[417]	training's auc: 0.87774	valid_1's auc: 0.8609
[418]	training's auc: 0.877772	valid_1's auc: 0.8609
[419]	training's auc: 0.877788	valid_1's auc: 0.860914
[420]	training's auc: 0.877809	valid_1's auc: 0.860903
