[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[233]	training's auc: 0.874433	valid_1's auc: 0.862187
[234]	training's auc: 0.87451	valid_1's auc: 0.862204
[235]	training's auc: 0.874562	valid_1's auc: 0.862201
[236]	training's auc: 0.8746	valid_1's auc: 0.862206
[237]	training's auc: 0.874618	valid_1's auc: 0.86222
[238]	training's auc: 0.874676	valid_1's auc: 0.86224
[239]	training's auc: 0.874679	valid_1's auc: 0.862238
[240]	training's auc: 0.87475	valid_1's auc: 0.862252
[241]	training's auc: 0.874764	valid_1's auc: 0.862257
[242]	training's auc: 0.874795	valid_1's auc: 0.862253
[243]	training's auc: 0.874828	valid_1's auc: 0.86226
[244]	training's auc: 0.874866	valid_1's auc: 0.862251
[245]	training's auc: 0.874919	valid_1's auc: 0.862266
[246]	training's auc: 0.874981	valid_1's auc: 0.862278
[247]	training's auc: 0.875027	valid_1's auc: 0.86227
[248]	training's auc: 0.87507	valid_1's auc: 0.86227
[249]	training's auc: 0.875113	valid_1's auc: 0.862275
[250]	training's auc: 0.875158	valid_1's auc: 0.862257
[251]	training's auc: 0.87521	valid_1's auc: 0.862258
[252]	training's auc: 0.875259	valid_1's auc: 0.86224
[253]	training's auc: 0.875312	valid_1's auc: 0.862241
[254]	training's auc: 0.875324	valid_1's auc: 0.862225
[255]	training's auc: 0.875355	valid_1's auc: 0.862236
[256]	training's auc: 0.875411	valid_1's auc: 0.862236
[257]	training's auc: 0.875458	valid_1's auc: 0.862247
[258]	training's auc: 0.875482	valid_1's auc: 0.862263
[259]	training's auc: 0.875525	valid_1's auc: 0.862279
[260]	training's auc: 0.875551	valid_1's auc: 0.862305
[261]	training's auc: 0.8756	valid_1's auc: 0.862343
[262]	training's auc: 0.875659	valid_1's auc: 0.862344
[263]	training's auc: 0.875663	valid_1's auc: 0.862343
[264]	training's auc: 0.87575	valid_1's auc: 0.862381
[265]	training's auc: 0.87577	valid_1's auc: 0.862409
[266]	training's auc: 0.875839	valid_1's auc: 0.862433
[267]	training's auc: 0.875881	valid_1's auc: 0.86242
[268]	training's auc: 0.875913	valid_1's auc: 0.862423
[269]	training's auc: 0.875942	valid_1's auc: 0.862414
[270]	training's auc: 0.875987	valid_1's auc: 0.862441
[271]	training's auc: 0.876018	valid_1's auc: 0.862436
[272]	training's auc: 0.876042	valid_1's auc: 0.862448
[273]	training's auc: 0.876068	valid_1's auc: 0.862476
[274]	training's auc: 0.876074	valid_1's auc: 0.86247
[275]	training's auc: 0.876118	valid_1's auc: 0.86246
[276]	training's auc: 0.876129	valid_1's auc: 0.862451
[277]	training's auc: 0.876168	valid_1's auc: 0.862466
[278]	training's auc: 0.876198	valid_1's auc: 0.862456
[279]	training's auc: 0.876233	valid_1's auc: 0.862455
[280]	training's auc: 0.876241	valid_1's auc: 0.862447
[281]	training's auc: 0.876269	valid_1's auc: 0.862446
[282]	training's auc: 0.876317	valid_1's auc: 0.862434
[283]	training's auc: 0.876363	valid_1's auc: 0.862457
[284]	training's auc: 0.876375	valid_1's auc: 0.862442
[285]	training's auc: 0.87645	valid_1's auc: 0.862428
[286]	training's auc: 0.876507	valid_1's auc: 0.862406
[287]	training's auc: 0.876549	valid_1's auc: 0.862387
[288]	training's auc: 0.876607	valid_1's auc: 0.86241
[289]	training's auc: 0.876611	valid_1's auc: 0.86241
[290]	training's auc: 0.876616	valid_1's auc: 0.862411
[291]	training's auc: 0.876665	valid_1's auc: 0.862394
[292]	training's auc: 0.876672	valid_1's auc: 0.8624
[293]	training's auc: 0.87669	valid_1's auc: 0.862416
[294]	training's auc: 0.876739	valid_1's auc: 0.862429
[295]	training's auc: 0.876761	valid_1's auc: 0.862437
[296]	training's auc: 0.876811	valid_1's auc: 0.86242
[297]	training's auc: 0.876847	valid_1's auc: 0.862444
[298]	training's auc: 0.876862	valid_1's auc: 0.862454
[299]	training's auc: 0.876892	valid_1's auc: 0.862449
[300]	training's auc: 0.876902	valid_1's auc: 0.862448
[301]	training's auc: 0.876931	valid_1's auc: 0.862453
[302]	training's auc: 0.877001	valid_1's auc: 0.862441
[303]	training's auc: 0.877022	valid_1's auc: 0.862455
[304]	training's auc: 0.877044	valid_1's auc: 0.862464
[305]	training's auc: 0.877046	valid_1's auc: 0.862468
[306]	training's auc: 0.877102	valid_1's auc: 0.862488
[307]	training's auc: 0.877111	valid_1's auc: 0.862491
[308]	training's auc: 0.87712	valid_1's auc: 0.862492
[309]	training's auc: 0.877127	valid_1's auc: 0.862475
[310]	training's auc: 0.877133	valid_1's auc: 0.86248
[311]	training's auc: 0.877138	valid_1's auc: 0.862482
[312]	training's auc: 0.877185	valid_1's auc: 0.86247
[313]	training's auc: 0.877251	valid_1's auc: 0.86245
[314]	training's auc: 0.877253	valid_1's auc: 0.862445
[315]	training's auc: 0.877272	valid_1's auc: 0.862459
[316]	training's auc: 0.87728	valid_1's auc: 0.862451
[317]	training's auc: 0.877345	valid_1's auc: 0.862428
[318]	training's auc: 0.877398	valid_1's auc: 0.862419
[319]	training's auc: 0.877411	valid_1's auc: 0.862417
[320]	training's auc: 0.877442	valid_1's auc: 0.86244
[321]	training's auc: 0.877468	valid_1's auc: 0.862449
[322]	training's auc: 0.877532	valid_1's auc: 0.862454
[323]	training's auc: 0.877637	valid_1's auc: 0.862524
[324]	training's auc: 0.87765	valid_1's auc: 0.862521
[325]	training's auc: 0.877709	valid_1's auc: 0.862515
[326]	training's auc: 0.877717	valid_1's auc: 0.862517
[327]	training's auc: 0.87772	valid_1's auc: 0.862517
[328]	training's auc: 0.877738	valid_1's auc: 0.862523
[329]	training's auc: 0.877791	valid_1's auc: 0.862517
[330]	training's auc: 0.877821	valid_1's auc: 0.862508
[331]	training's auc: 0.877832	valid_1's auc: 0.862505
[332]	training's auc: 0.877833	valid_1's auc: 0.862505
[333]	training's auc: 0.877868	valid_1's auc: 0.862505
[334]	training's auc: 0.877913	valid_1's auc: 0.862508
[335]	training's auc: 0.877935	valid_1's auc: 0.862509
[336]	training's auc: 0.877968	valid_1's auc: 0.862512
[337]	training's auc: 0.877968	valid_1's auc: 0.86251
[338]	training's auc: 0.878009	valid_1's auc: 0.86252
[339]	training's auc: 0.878049	valid_1's auc: 0.862533
[340]	training's auc: 0.878088	valid_1's auc: 0.862544
[341]	training's auc: 0.878122	valid_1's auc: 0.862546
[342]	training's auc: 0.878177	valid_1's auc: 0.862564
[343]	training's auc: 0.878185	valid_1's auc: 0.862568
[344]	training's auc: 0.878194	valid_1's auc: 0.862571
[345]	training's auc: 0.878236	valid_1's auc: 0.862579
[346]	training's auc: 0.878257	valid_1's auc: 0.862576
[347]	training's auc: 0.878289	valid_1's auc: 0.862604
[348]	training's auc: 0.87831	valid_1's auc: 0.862579
[349]	training's auc: 0.878352	valid_1's auc: 0.862585
[350]	training's auc: 0.878354	valid_1's auc: 0.862582
[351]	training's auc: 0.878383	valid_1's auc: 0.862586
[352]	training's auc: 0.878411	valid_1's auc: 0.862588
[353]	training's auc: 0.878422	valid_1's auc: 0.862576
[354]	training's auc: 0.87844	valid_1's auc: 0.862589
[355]	training's auc: 0.878453	valid_1's auc: 0.862588
[356]	training's auc: 0.878471	valid_1's auc: 0.862621
[357]	training's auc: 0.87847	valid_1's auc: 0.862616
[358]	training's auc: 0.878516	valid_1's auc: 0.862604
[359]	training's auc: 0.878557	valid_1's auc: 0.862623
[360]	training's auc: 0.87858	valid_1's auc: 0.862628
[361]	training's auc: 0.878616	valid_1's auc: 0.862628
[362]	training's auc: 0.87863	valid_1's auc: 0.862636
[363]	training's auc: 0.878636	valid_1's auc: 0.86264
[364]	training's auc: 0.878662	valid_1's auc: 0.86264
[365]	training's auc: 0.87867	valid_1's auc: 0.862652
[366]	training's auc: 0.878709	valid_1's auc: 0.862653
[367]	training's auc: 0.878762	valid_1's auc: 0.862657
[368]	training's auc: 0.878781	valid_1's auc: 0.86266
[369]	training's auc: 0.878815	valid_1's auc: 0.862677
[370]	training's auc: 0.878821	valid_1's auc: 0.862683
[371]	training's auc: 0.878825	valid_1's auc: 0.862689
[372]	training's auc: 0.878827	valid_1's auc: 0.86269
[373]	training's auc: 0.878851	valid_1's auc: 0.862691
[374]	training's auc: 0.87887	valid_1's auc: 0.862718
[375]	training's auc: 0.878908	valid_1's auc: 0.862714
[376]	training's auc: 0.878932	valid_1's auc: 0.862703
[377]	training's auc: 0.878967	valid_1's auc: 0.862698
[378]	training's auc: 0.878998	valid_1's auc: 0.862703
[379]	training's auc: 0.879002	valid_1's auc: 0.8627
