iter	Logloss
885	0.4371802696
890	0.4371304864
895	0.4370773382
900	0.4370114226
905	0.4369764359
910	0.4369416965
915	0.4369046808
920	0.4368129334
925	0.4367573109
930	0.4366620499
935	0.4366009839
940	0.436545213
945	0.4364817717
950	0.4363862138
955	0.4363403401
960	0.4362908538
965	0.4362260764
970	0.4361843595
975	0.436112555
980	0.4360312986
985	0.4359792391
990	0.435952863
995	0.4359247053
1000	0.435861462
1005	0.4358151429
1010	0.4357774839
1015	0.4357383897
1020	0.4357094898
1025	0.4356791053
1030	0.4356361017
1035	0.4355334178
1040	0.4354689373
1045	0.435407228
1050	0.4353708556
1055	0.4353240417
1060	0.4352719822
1065	0.4352383315
1070	0.435208145
1075	0.435134361
1080	0.4350780457
1085	0.435032172
1090	0.4349624459
1095	0.4348886125
1100	0.4348131955
1105	0.4347838996
1110	0.4347383723
1115	0.4346485548
1120	0.4345766514
1125	0.4345154369
1130	0.4344565483
1135	0.4343942947
1140	0.4343370391
1145	0.4342957676
1150	0.4342735483
1155	0.43417611
1160	0.4341074726
1165	0.4340224553
1170	0.4339566881
1175	0.4339123979
1180	0.4338837454
1185	0.4338418801
1190	0.4337726489
1195	0.4337220245
1200	0.4336645215
1205	0.4335841064
1210	0.4335341253
1215	0.4334830555
1220	0.4334676653
1225	0.4334121418
1230	0.4333514717
1235	0.4332873375
1240	0.4332525982
1245	0.4332238467
1250	0.4331805463
1255	0.4331073067
1260	0.4330383229
1265	0.4329988329
1270	0.4328989203
1275	0.4328581931
1280	0.4328059357
1285	0.4327327455
1290	0.4326674237
1295	0.4326057144
1300	0.4325419267
1305	0.4325019418
1310	0.4324530495
1315	0.4323885689
1320	0.4323428931
1325	0.4322552036
1330	0.4322007193
1335	0.4321719678
1340	0.4321107533
1345	0.4320685911
1350	0.4320319713
1355	0.431959375
1360	0.4318870261
1365	0.4318499115
1370	0.4317978025
1375	0.4317486627
1380	0.4316563709
1385	0.4315889212
1390	0.4315115742
1395	0.4314769339
1400	0.4314319509
1405	0.4314108203
1410	0.4313720231
1415	0.4313457954
1420	0.4312901234
1425	0.4312364309
1430	0.4311796702
1435	0.4311374585
1440	0.4310897043
1445	0.4310622889
1450	0.4310290836
1455	0.4309838038
1460	0.4309500047
1465	0.4309098714
1470	0.4308543973
1475	0.430833811
1480	0.4308013976
1485	0.4307680933
1490	0.4307147472
1495	0.4306892618
1500	0.4306633805
1505	0.4306415076
1510	0.4305902894
1515	0.4305532242
1520	0.4305238789
1525	0.4304959192
1530	0.430403281
1535	0.4303747274
1540	0.4303547845
1545	0.4303210844
1550	0.4303035168
1555	0.4302280503
1560	0.4301910346
1565	0.4301492188
1570	0.4301221993
1575	0.4300776617
1580	0.4300440605
1585	0.4299858648
1590	0.4299710189
1595	0.4299501852
1600	0.4299340032
1605	0.4299170294
1610	0.4299039651
1615	0.4298314183
1620	0.4298030627
1625	0.4297795072
1630	0.4297400172
1635	0.4296928074
1640	0.4296731119
1645	0.429604623
1650	0.4295825521
1655	0.4295366784
1660	0.4295205459
1665	0.4294855591
1670	0.4294724453
1675	0.4294500775
1680	0.4294324109
1685	0.4294086576
1690	0.4293936137
1695	0.4293724831
1700	0.4293464039
1705	0.4293196813
1710	0.4293010745
1715	0.4292703931
1720	0.4292179377
1725	0.4291989845
1730	0.4291515767
1735	0.4291370277
1740	0.4291078803
1745	0.4290945686
1750	0.4290493876
1755	0.4290298406
1760	0.4289838679
1765	0.4289644198
1770	0.4289157254
1775	0.4289050364
1780	0.428861538
1785	0.4288161591
1790	0.4287857251
1795	0.4287510353
1800	0.4287336656
1805	0.4287205023
1810	0.4287078833
1815	0.4286443925
1820	0.4286203916
1825	0.4285611566
1830	0.4285483892
1835	0.428533098
1840	0.4284940039
1845	0.4284511488
1850	0.4284281872
1855	0.4283885982
1860	0.4283686058
1865	0.4283508402
1870	0.4283362913
1875	0.4282816585
1880	0.42825647
1885	0.4282388529
1890	0.4282194049
1895	0.4281675928
1900	0.4281503716
1905	0.4281268656
1910	0.42809851
1915	0.428088019
1920	0.4280631769
1925	0.428046698
1930	0.4280077028
1935	0.4279724192
1940	0.4279592063
1945	0.4279469338
1950	0.4279183307
1955	0.427885175
1960	0.4278743375
1965	0.4278102033
1970	0.4277694762
1975	0.4277277098
1980	0.4276851022
1985	0.4276734729
1990	0.4276587755
1995	0.4276455132
2000	0.4275993426
2005	0.4275731149
2010	0.4275408499
2015	0.4275075457
2020	0.4274779529
2025	0.4274338112
2030	0.4273740319
2035	0.4273543858
2040	0.4273107885
2045	0.4272688736
2050	0.4272534834
2055	0.4271889534
2060	0.4271499088
2065	0.4271383785
2070	0.4270920594
2075	0.4270501446
2080	0.4270399504
2085	0.4270316862
2090	0.4270139207
2095	0.4269739358
2100	0.4269626035
2105	0.4269278641
2110	0.4269172741
2115	0.426870955
2120	0.426860068
2125	0.4268483398
2130	0.4268321083
2135	0.4268086519
2140	0.4267946967
2145	0.4267691619
2150	0.4267412516
2155	0.4267119558
2160	0.4266994853
2165	0.4266787505
2170	0.426660886
2175	0.4266360934
2180	0.426607045
2185	0.4265675055
2190	0.4265515215
2195	0.4265309352
2200	0.4265180193
2205	0.4264839728
2210	0.4264445818
2215	0.4264291916
2220	0.4263984606
2225	0.4263746578
2230	0.4263543189
2235	0.4263271015
2240	0.4262988449
2245	0.4262694995
2250	0.4262579693
2255	0.4262433708
2260	0.4262179844
2265	0.4262063551
2270	0.4261636485
2275	0.4261255936
2280	0.4260929327
2285	0.4260664081
2290	0.4260304316
2295	0.426002175
2300	0.4259797083
2305	0.4259721369
2310	0.4259421482
2315	0.425932251
2320	0.4258958786
2325	0.4258724717
2330	0.4258470357
2335	0.4258259051
2340	0.4257993805
2345	0.4257782994
2350	0.4257521212
2355	0.4257267842
2360	0.4257156498
2365	0.4256995173
2370	0.4256643821
2375	0.425648497
2380	0.425627119
2385	0.4256135598
2390	0.4255830268
2395	0.4255407656
2400	0.4255221587
2405	0.4255000879
2410	0.4254738107
2415	0.4254412983
2420	0.4254218007
2425	0.4253694443
2430	0.4253377236
2435	0.425318325
2440	0.4253036771
2445	0.4252606241
2450	0.4252486979
2455	0.4251995581
2460	0.4251720933
2465	0.4251314156
2470	0.4251176584
2475	0.4251018723
2480	0.4250914307
2485	0.4250655
2490	0.4250486746
2495	0.4250024545
2497	0.4249881035
