[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[110]	training's auc: 0.839779	valid_1's auc: 0.837882
[111]	training's auc: 0.839834	valid_1's auc: 0.83794
[112]	training's auc: 0.839844	valid_1's auc: 0.837944
[113]	training's auc: 0.839858	valid_1's auc: 0.837948
[114]	training's auc: 0.839865	valid_1's auc: 0.837951
[115]	training's auc: 0.839893	valid_1's auc: 0.83798
[116]	training's auc: 0.839898	valid_1's auc: 0.837978
[117]	training's auc: 0.839909	valid_1's auc: 0.837985
[118]	training's auc: 0.839953	valid_1's auc: 0.838029
[119]	training's auc: 0.839968	valid_1's auc: 0.838043
[120]	training's auc: 0.84	valid_1's auc: 0.838058
[121]	training's auc: 0.84001	valid_1's auc: 0.838062
[122]	training's auc: 0.840034	valid_1's auc: 0.838085
[123]	training's auc: 0.840087	valid_1's auc: 0.83814
[124]	training's auc: 0.840085	valid_1's auc: 0.838135
[125]	training's auc: 0.840089	valid_1's auc: 0.838136
[126]	training's auc: 0.840131	valid_1's auc: 0.838185
[127]	training's auc: 0.840164	valid_1's auc: 0.838221
[128]	training's auc: 0.840176	valid_1's auc: 0.838229
[129]	training's auc: 0.840226	valid_1's auc: 0.838281
[130]	training's auc: 0.840247	valid_1's auc: 0.8383
[131]	training's auc: 0.840298	valid_1's auc: 0.838354
[132]	training's auc: 0.840301	valid_1's auc: 0.838354
[133]	training's auc: 0.840369	valid_1's auc: 0.838431
[134]	training's auc: 0.840381	valid_1's auc: 0.838441
[135]	training's auc: 0.840417	valid_1's auc: 0.838482
[136]	training's auc: 0.840452	valid_1's auc: 0.838518
[137]	training's auc: 0.840476	valid_1's auc: 0.838543
[138]	training's auc: 0.840502	valid_1's auc: 0.838571
[139]	training's auc: 0.840546	valid_1's auc: 0.838619
[140]	training's auc: 0.840608	valid_1's auc: 0.838681
[141]	training's auc: 0.840648	valid_1's auc: 0.838726
[142]	training's auc: 0.840661	valid_1's auc: 0.838735
[143]	training's auc: 0.840679	valid_1's auc: 0.838751
[144]	training's auc: 0.840716	valid_1's auc: 0.838788
[145]	training's auc: 0.840747	valid_1's auc: 0.838818
[146]	training's auc: 0.840799	valid_1's auc: 0.83886
[147]	training's auc: 0.840817	valid_1's auc: 0.838882
[148]	training's auc: 0.840814	valid_1's auc: 0.838875
[149]	training's auc: 0.840862	valid_1's auc: 0.838925
[150]	training's auc: 0.840887	valid_1's auc: 0.838934
[151]	training's auc: 0.840906	valid_1's auc: 0.838953
[152]	training's auc: 0.840927	valid_1's auc: 0.838971
[153]	training's auc: 0.840963	valid_1's auc: 0.839011
[154]	training's auc: 0.841012	valid_1's auc: 0.83906
[155]	training's auc: 0.841034	valid_1's auc: 0.839073
[156]	training's auc: 0.841038	valid_1's auc: 0.839076
[157]	training's auc: 0.841062	valid_1's auc: 0.839097
[158]	training's auc: 0.841083	valid_1's auc: 0.839116
[159]	training's auc: 0.841103	valid_1's auc: 0.839135
[160]	training's auc: 0.841119	valid_1's auc: 0.839149
[161]	training's auc: 0.841127	valid_1's auc: 0.839154
[162]	training's auc: 0.841158	valid_1's auc: 0.839184
[163]	training's auc: 0.841165	valid_1's auc: 0.839188
[164]	training's auc: 0.841186	valid_1's auc: 0.839203
[165]	training's auc: 0.841222	valid_1's auc: 0.839242
[166]	training's auc: 0.841234	valid_1's auc: 0.83925
[167]	training's auc: 0.841245	valid_1's auc: 0.839257
[168]	training's auc: 0.841266	valid_1's auc: 0.839268
[169]	training's auc: 0.841296	valid_1's auc: 0.839301
[170]	training's auc: 0.841329	valid_1's auc: 0.839332
[171]	training's auc: 0.841353	valid_1's auc: 0.839355
[172]	training's auc: 0.841366	valid_1's auc: 0.839367
[173]	training's auc: 0.841406	valid_1's auc: 0.839403
[174]	training's auc: 0.84142	valid_1's auc: 0.839412
[175]	training's auc: 0.841445	valid_1's auc: 0.839437
[176]	training's auc: 0.841481	valid_1's auc: 0.83947
[177]	training's auc: 0.841499	valid_1's auc: 0.839488
[178]	training's auc: 0.841528	valid_1's auc: 0.839515
[179]	training's auc: 0.841564	valid_1's auc: 0.839536
[180]	training's auc: 0.84158	valid_1's auc: 0.83955
[181]	training's auc: 0.841602	valid_1's auc: 0.83956
[182]	training's auc: 0.841628	valid_1's auc: 0.839579
[183]	training's auc: 0.841655	valid_1's auc: 0.839602
[184]	training's auc: 0.841692	valid_1's auc: 0.839639
[185]	training's auc: 0.841714	valid_1's auc: 0.839657
[186]	training's auc: 0.841742	valid_1's auc: 0.839685
[187]	training's auc: 0.841772	valid_1's auc: 0.839715
[188]	training's auc: 0.841804	valid_1's auc: 0.839735
[189]	training's auc: 0.841831	valid_1's auc: 0.839755
[190]	training's auc: 0.841857	valid_1's auc: 0.839776
[191]	training's auc: 0.841897	valid_1's auc: 0.839814
[192]	training's auc: 0.841909	valid_1's auc: 0.839822
[193]	training's auc: 0.84194	valid_1's auc: 0.839848
[194]	training's auc: 0.841957	valid_1's auc: 0.83986
[195]	training's auc: 0.841997	valid_1's auc: 0.839898
[196]	training's auc: 0.842012	valid_1's auc: 0.839912
[197]	training's auc: 0.842027	valid_1's auc: 0.83992
[198]	training's auc: 0.842039	valid_1's auc: 0.83993
[199]	training's auc: 0.842063	valid_1's auc: 0.839954
[200]	training's auc: 0.842076	valid_1's auc: 0.839965
[201]	training's auc: 0.842088	valid_1's auc: 0.839967
[202]	training's auc: 0.842116	valid_1's auc: 0.839993
[203]	training's auc: 0.842121	valid_1's auc: 0.839997
[204]	training's auc: 0.842141	valid_1's auc: 0.840012
[205]	training's auc: 0.842156	valid_1's auc: 0.840025
[206]	training's auc: 0.842178	valid_1's auc: 0.840043
[207]	training's auc: 0.8422	valid_1's auc: 0.840064
[208]	training's auc: 0.842223	valid_1's auc: 0.840085
[209]	training's auc: 0.842249	valid_1's auc: 0.840109
[210]	training's auc: 0.842268	valid_1's auc: 0.840127
[211]	training's auc: 0.842295	valid_1's auc: 0.840152
[212]	training's auc: 0.842323	valid_1's auc: 0.840177
[213]	training's auc: 0.842339	valid_1's auc: 0.84019
[214]	training's auc: 0.842368	valid_1's auc: 0.840213
[215]	training's auc: 0.84238	valid_1's auc: 0.840225
[216]	training's auc: 0.842392	valid_1's auc: 0.840235
[217]	training's auc: 0.842411	valid_1's auc: 0.84025
[218]	training's auc: 0.842433	valid_1's auc: 0.84027
[219]	training's auc: 0.842457	valid_1's auc: 0.840286
[220]	training's auc: 0.842477	valid_1's auc: 0.840301
[221]	training's auc: 0.842503	valid_1's auc: 0.840325
[222]	training's auc: 0.842526	valid_1's auc: 0.840345
[223]	training's auc: 0.842548	valid_1's auc: 0.840361
[224]	training's auc: 0.842556	valid_1's auc: 0.840369
[225]	training's auc: 0.842571	valid_1's auc: 0.84038
[226]	training's auc: 0.842593	valid_1's auc: 0.840401
[227]	training's auc: 0.842623	valid_1's auc: 0.840428
[228]	training's auc: 0.842656	valid_1's auc: 0.840457
[229]	training's auc: 0.842668	valid_1's auc: 0.840466
[230]	training's auc: 0.842691	valid_1's auc: 0.840486
[231]	training's auc: 0.842717	valid_1's auc: 0.8405
[232]	training's auc: 0.842736	valid_1's auc: 0.840513
[233]	training's auc: 0.842748	valid_1's auc: 0.840525
[234]	training's auc: 0.842765	valid_1's auc: 0.84054
[235]	training's auc: 0.842786	valid_1's auc: 0.840557
[236]	training's auc: 0.842801	valid_1's auc: 0.840568
[237]	training's auc: 0.84281	valid_1's auc: 0.840575
[238]	training's auc: 0.84283	valid_1's auc: 0.840593
[239]	training's auc: 0.842843	valid_1's auc: 0.840602
[240]	training's auc: 0.842856	valid_1's auc: 0.84061
[241]	training's auc: 0.842872	valid_1's auc: 0.840625
[242]	training's auc: 0.842889	valid_1's auc: 0.840632
[243]	training's auc: 0.842921	valid_1's auc: 0.840664
[244]	training's auc: 0.842949	valid_1's auc: 0.840692
[245]	training's auc: 0.842982	valid_1's auc: 0.840722
[246]	training's auc: 0.842997	valid_1's auc: 0.840735
[247]	training's auc: 0.843019	valid_1's auc: 0.840756
[248]	training's auc: 0.843031	valid_1's auc: 0.840765
[249]	training's auc: 0.843062	valid_1's auc: 0.840799
[250]	training's auc: 0.843085	valid_1's auc: 0.840822
[251]	training's auc: 0.843113	valid_1's auc: 0.840847
[252]	training's auc: 0.843126	valid_1's auc: 0.840857
[253]	training's auc: 0.84314	valid_1's auc: 0.840868
[254]	training's auc: 0.843176	valid_1's auc: 0.840895
[255]	training's auc: 0.843196	valid_1's auc: 0.840914
[256]	training's auc: 0.843208	valid_1's auc: 0.840924
[257]	training's auc: 0.843232	valid_1's auc: 0.840949
[258]	training's auc: 0.843251	valid_1's auc: 0.840967
[259]	training's auc: 0.84328	valid_1's auc: 0.840998
[260]	training's auc: 0.843295	valid_1's auc: 0.841011
[261]	training's auc: 0.843323	valid_1's auc: 0.841031
[262]	training's auc: 0.843355	valid_1's auc: 0.841063
[263]	training's auc: 0.843369	valid_1's auc: 0.841073
[264]	training's auc: 0.843395	valid_1's auc: 0.8411
[265]	training's auc: 0.843407	valid_1's auc: 0.84111
[266]	training's auc: 0.84343	valid_1's auc: 0.841132
[267]	training's auc: 0.843441	valid_1's auc: 0.84114
[268]	training's auc: 0.843452	valid_1's auc: 0.84115
[269]	training's auc: 0.843475	valid_1's auc: 0.841174
[270]	training's auc: 0.843498	valid_1's auc: 0.841194
[271]	training's auc: 0.843524	valid_1's auc: 0.841219
