[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[267]	training's auc: 0.875904	valid_1's auc: 0.862511
[268]	training's auc: 0.875964	valid_1's auc: 0.862522
[269]	training's auc: 0.876007	valid_1's auc: 0.862503
[270]	training's auc: 0.876063	valid_1's auc: 0.86252
[271]	training's auc: 0.876113	valid_1's auc: 0.862539
[272]	training's auc: 0.876158	valid_1's auc: 0.862555
[273]	training's auc: 0.876168	valid_1's auc: 0.862546
[274]	training's auc: 0.876217	valid_1's auc: 0.862536
[275]	training's auc: 0.876258	valid_1's auc: 0.862542
[276]	training's auc: 0.876263	valid_1's auc: 0.862529
[277]	training's auc: 0.876334	valid_1's auc: 0.862579
[278]	training's auc: 0.876365	valid_1's auc: 0.862574
[279]	training's auc: 0.876417	valid_1's auc: 0.862577
[280]	training's auc: 0.87644	valid_1's auc: 0.862562
[281]	training's auc: 0.876526	valid_1's auc: 0.862586
[282]	training's auc: 0.876607	valid_1's auc: 0.862587
[283]	training's auc: 0.876699	valid_1's auc: 0.862612
[284]	training's auc: 0.876727	valid_1's auc: 0.862601
[285]	training's auc: 0.876785	valid_1's auc: 0.862593
[286]	training's auc: 0.876827	valid_1's auc: 0.862612
[287]	training's auc: 0.876837	valid_1's auc: 0.862608
[288]	training's auc: 0.876883	valid_1's auc: 0.862612
[289]	training's auc: 0.876955	valid_1's auc: 0.862633
[290]	training's auc: 0.876998	valid_1's auc: 0.86264
[291]	training's auc: 0.877036	valid_1's auc: 0.862632
[292]	training's auc: 0.877076	valid_1's auc: 0.862639
[293]	training's auc: 0.877133	valid_1's auc: 0.862629
[294]	training's auc: 0.877189	valid_1's auc: 0.86264
[295]	training's auc: 0.877261	valid_1's auc: 0.862637
[296]	training's auc: 0.877336	valid_1's auc: 0.862656
[297]	training's auc: 0.877382	valid_1's auc: 0.862661
[298]	training's auc: 0.877404	valid_1's auc: 0.862652
[299]	training's auc: 0.877476	valid_1's auc: 0.862663
[300]	training's auc: 0.877523	valid_1's auc: 0.862712
[301]	training's auc: 0.877551	valid_1's auc: 0.862685
[302]	training's auc: 0.877612	valid_1's auc: 0.862691
[303]	training's auc: 0.877658	valid_1's auc: 0.862688
[304]	training's auc: 0.877703	valid_1's auc: 0.862737
[305]	training's auc: 0.877729	valid_1's auc: 0.862758
[306]	training's auc: 0.877768	valid_1's auc: 0.862748
[307]	training's auc: 0.877774	valid_1's auc: 0.862736
[308]	training's auc: 0.877856	valid_1's auc: 0.862731
[309]	training's auc: 0.877883	valid_1's auc: 0.862722
[310]	training's auc: 0.877974	valid_1's auc: 0.862732
[311]	training's auc: 0.877996	valid_1's auc: 0.862718
[312]	training's auc: 0.878065	valid_1's auc: 0.862723
[313]	training's auc: 0.878124	valid_1's auc: 0.862727
[314]	training's auc: 0.878189	valid_1's auc: 0.862716
[315]	training's auc: 0.878236	valid_1's auc: 0.862735
[316]	training's auc: 0.878246	valid_1's auc: 0.862743
[317]	training's auc: 0.878282	valid_1's auc: 0.862763
[318]	training's auc: 0.878309	valid_1's auc: 0.862763
[319]	training's auc: 0.878347	valid_1's auc: 0.862766
[320]	training's auc: 0.878412	valid_1's auc: 0.862757
[321]	training's auc: 0.878449	valid_1's auc: 0.862748
[322]	training's auc: 0.878507	valid_1's auc: 0.862761
[323]	training's auc: 0.878559	valid_1's auc: 0.862763
[324]	training's auc: 0.878614	valid_1's auc: 0.862757
[325]	training's auc: 0.878674	valid_1's auc: 0.862795
[326]	training's auc: 0.878701	valid_1's auc: 0.86279
[327]	training's auc: 0.87874	valid_1's auc: 0.862794
[328]	training's auc: 0.878803	valid_1's auc: 0.862802
[329]	training's auc: 0.878834	valid_1's auc: 0.8628
[330]	training's auc: 0.878868	valid_1's auc: 0.862809
[331]	training's auc: 0.878915	valid_1's auc: 0.862806
[332]	training's auc: 0.878951	valid_1's auc: 0.862804
[333]	training's auc: 0.87899	valid_1's auc: 0.862793
[334]	training's auc: 0.879018	valid_1's auc: 0.862787
[335]	training's auc: 0.879062	valid_1's auc: 0.862777
[336]	training's auc: 0.879116	valid_1's auc: 0.862776
[337]	training's auc: 0.879147	valid_1's auc: 0.86278
[338]	training's auc: 0.879208	valid_1's auc: 0.862805
[339]	training's auc: 0.879251	valid_1's auc: 0.862819
[340]	training's auc: 0.879284	valid_1's auc: 0.86281
[341]	training's auc: 0.879322	valid_1's auc: 0.86279
[342]	training's auc: 0.879327	valid_1's auc: 0.862786
[343]	training's auc: 0.879366	valid_1's auc: 0.862786
[344]	training's auc: 0.879399	valid_1's auc: 0.862779
[345]	training's auc: 0.879472	valid_1's auc: 0.862824
[346]	training's auc: 0.879514	valid_1's auc: 0.862809
[347]	training's auc: 0.879533	valid_1's auc: 0.86283
[348]	training's auc: 0.879554	valid_1's auc: 0.86283
[349]	training's auc: 0.879579	valid_1's auc: 0.862823
[350]	training's auc: 0.879579	valid_1's auc: 0.862816
[351]	training's auc: 0.8796	valid_1's auc: 0.862807
[352]	training's auc: 0.879647	valid_1's auc: 0.862821
[353]	training's auc: 0.87969	valid_1's auc: 0.862829
[354]	training's auc: 0.879728	valid_1's auc: 0.862846
[355]	training's auc: 0.879761	valid_1's auc: 0.86284
[356]	training's auc: 0.879814	valid_1's auc: 0.86287
[357]	training's auc: 0.879849	valid_1's auc: 0.862883
[358]	training's auc: 0.879873	valid_1's auc: 0.862872
