[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[135]	training's auc: 0.863806	valid_1's auc: 0.857676
[136]	training's auc: 0.863876	valid_1's auc: 0.857694
[137]	training's auc: 0.863934	valid_1's auc: 0.85771
[138]	training's auc: 0.864013	valid_1's auc: 0.857715
[139]	training's auc: 0.864073	valid_1's auc: 0.857725
[140]	training's auc: 0.864219	valid_1's auc: 0.85777
[141]	training's auc: 0.864283	valid_1's auc: 0.857772
[142]	training's auc: 0.864366	valid_1's auc: 0.857805
[143]	training's auc: 0.864407	valid_1's auc: 0.857803
[144]	training's auc: 0.864465	valid_1's auc: 0.857879
[145]	training's auc: 0.864541	valid_1's auc: 0.857936
[146]	training's auc: 0.864613	valid_1's auc: 0.857974
[147]	training's auc: 0.864664	valid_1's auc: 0.857959
[148]	training's auc: 0.864788	valid_1's auc: 0.858023
[149]	training's auc: 0.864826	valid_1's auc: 0.85803
[150]	training's auc: 0.86492	valid_1's auc: 0.858078
[151]	training's auc: 0.865024	valid_1's auc: 0.858151
[152]	training's auc: 0.865137	valid_1's auc: 0.858198
[153]	training's auc: 0.865232	valid_1's auc: 0.858191
[154]	training's auc: 0.865299	valid_1's auc: 0.858199
[155]	training's auc: 0.865352	valid_1's auc: 0.858199
[156]	training's auc: 0.865434	valid_1's auc: 0.858243
[157]	training's auc: 0.865477	valid_1's auc: 0.858272
[158]	training's auc: 0.865535	valid_1's auc: 0.858305
[159]	training's auc: 0.865582	valid_1's auc: 0.858356
[160]	training's auc: 0.86563	valid_1's auc: 0.85836
[161]	training's auc: 0.865702	valid_1's auc: 0.858374
[162]	training's auc: 0.865763	valid_1's auc: 0.858383
[163]	training's auc: 0.865826	valid_1's auc: 0.858392
[164]	training's auc: 0.865908	valid_1's auc: 0.858414
[165]	training's auc: 0.86594	valid_1's auc: 0.858416
[166]	training's auc: 0.866055	valid_1's auc: 0.858455
[167]	training's auc: 0.866143	valid_1's auc: 0.858496
[168]	training's auc: 0.866172	valid_1's auc: 0.858495
[169]	training's auc: 0.866229	valid_1's auc: 0.858518
[170]	training's auc: 0.866327	valid_1's auc: 0.858573
[171]	training's auc: 0.866369	valid_1's auc: 0.858565
[172]	training's auc: 0.866413	valid_1's auc: 0.858574
[173]	training's auc: 0.866478	valid_1's auc: 0.858614
[174]	training's auc: 0.866523	valid_1's auc: 0.858609
[175]	training's auc: 0.866657	valid_1's auc: 0.858707
[176]	training's auc: 0.866757	valid_1's auc: 0.858755
[177]	training's auc: 0.866831	valid_1's auc: 0.858792
[178]	training's auc: 0.86692	valid_1's auc: 0.858824
[179]	training's auc: 0.866987	valid_1's auc: 0.858841
[180]	training's auc: 0.867051	valid_1's auc: 0.858841
[181]	training's auc: 0.867109	valid_1's auc: 0.858832
[182]	training's auc: 0.867151	valid_1's auc: 0.85885
[183]	training's auc: 0.867192	valid_1's auc: 0.858854
[184]	training's auc: 0.867247	valid_1's auc: 0.858858
[185]	training's auc: 0.867279	valid_1's auc: 0.85888
[186]	training's auc: 0.867326	valid_1's auc: 0.858893
[187]	training's auc: 0.867431	valid_1's auc: 0.858943
[188]	training's auc: 0.867473	valid_1's auc: 0.858944
[189]	training's auc: 0.867534	valid_1's auc: 0.858976
[190]	training's auc: 0.867568	valid_1's auc: 0.858984
[191]	training's auc: 0.867614	valid_1's auc: 0.858991
[192]	training's auc: 0.867701	valid_1's auc: 0.859053
[193]	training's auc: 0.867762	valid_1's auc: 0.859093
[194]	training's auc: 0.867815	valid_1's auc: 0.859099
[195]	training's auc: 0.867898	valid_1's auc: 0.859107
[196]	training's auc: 0.867978	valid_1's auc: 0.85916
[197]	training's auc: 0.868006	valid_1's auc: 0.859152
[198]	training's auc: 0.868076	valid_1's auc: 0.859154
[199]	training's auc: 0.868136	valid_1's auc: 0.859177
[200]	training's auc: 0.868188	valid_1's auc: 0.859202
[201]	training's auc: 0.868225	valid_1's auc: 0.859196
[202]	training's auc: 0.868334	valid_1's auc: 0.859242
[203]	training's auc: 0.86839	valid_1's auc: 0.859266
[204]	training's auc: 0.868502	valid_1's auc: 0.859309
[205]	training's auc: 0.868542	valid_1's auc: 0.859303
[206]	training's auc: 0.868591	valid_1's auc: 0.859324
[207]	training's auc: 0.868625	valid_1's auc: 0.859331
[208]	training's auc: 0.868647	valid_1's auc: 0.859321
[209]	training's auc: 0.868682	valid_1's auc: 0.859318
[210]	training's auc: 0.868733	valid_1's auc: 0.859338
[211]	training's auc: 0.868765	valid_1's auc: 0.859333
[212]	training's auc: 0.868798	valid_1's auc: 0.859333
[213]	training's auc: 0.868871	valid_1's auc: 0.859334
[214]	training's auc: 0.868981	valid_1's auc: 0.859355
[215]	training's auc: 0.869058	valid_1's auc: 0.859357
[216]	training's auc: 0.869103	valid_1's auc: 0.859358
[217]	training's auc: 0.86918	valid_1's auc: 0.859412
[218]	training's auc: 0.869248	valid_1's auc: 0.859465
[219]	training's auc: 0.869336	valid_1's auc: 0.859527
[220]	training's auc: 0.869418	valid_1's auc: 0.859562
[221]	training's auc: 0.869513	valid_1's auc: 0.859619
[222]	training's auc: 0.869549	valid_1's auc: 0.859616
[223]	training's auc: 0.869617	valid_1's auc: 0.859666
[224]	training's auc: 0.869669	valid_1's auc: 0.859662
[225]	training's auc: 0.869736	valid_1's auc: 0.859706
[226]	training's auc: 0.869792	valid_1's auc: 0.859728
[227]	training's auc: 0.869835	valid_1's auc: 0.859777
[228]	training's auc: 0.869878	valid_1's auc: 0.859785
[229]	training's auc: 0.869917	valid_1's auc: 0.859777
[230]	training's auc: 0.870004	valid_1's auc: 0.859787
[231]	training's auc: 0.870072	valid_1's auc: 0.859798
[232]	training's auc: 0.870106	valid_1's auc: 0.859793
[233]	training's auc: 0.870176	valid_1's auc: 0.859814
[234]	training's auc: 0.870249	valid_1's auc: 0.859852
[235]	training's auc: 0.870328	valid_1's auc: 0.859887
[236]	training's auc: 0.870379	valid_1's auc: 0.859913
[237]	training's auc: 0.870425	valid_1's auc: 0.859919
[238]	training's auc: 0.87048	valid_1's auc: 0.859921
[239]	training's auc: 0.870521	valid_1's auc: 0.859905
[240]	training's auc: 0.870597	valid_1's auc: 0.859955
[241]	training's auc: 0.870622	valid_1's auc: 0.859967
[242]	training's auc: 0.870652	valid_1's auc: 0.859974
[243]	training's auc: 0.870678	valid_1's auc: 0.859978
[244]	training's auc: 0.870706	valid_1's auc: 0.859976
[245]	training's auc: 0.870781	valid_1's auc: 0.860012
[246]	training's auc: 0.870837	valid_1's auc: 0.860053
[247]	training's auc: 0.870907	valid_1's auc: 0.860095
[248]	training's auc: 0.870963	valid_1's auc: 0.860137
[249]	training's auc: 0.871045	valid_1's auc: 0.860157
[250]	training's auc: 0.871125	valid_1's auc: 0.860178
[251]	training's auc: 0.871205	valid_1's auc: 0.860197
[252]	training's auc: 0.871274	valid_1's auc: 0.860211
[253]	training's auc: 0.87133	valid_1's auc: 0.860224
[254]	training's auc: 0.871417	valid_1's auc: 0.860238
[255]	training's auc: 0.871479	valid_1's auc: 0.860263
[256]	training's auc: 0.871516	valid_1's auc: 0.860276
[257]	training's auc: 0.871548	valid_1's auc: 0.86027
[258]	training's auc: 0.871605	valid_1's auc: 0.860295
[259]	training's auc: 0.871666	valid_1's auc: 0.860304
[260]	training's auc: 0.871735	valid_1's auc: 0.860336
[261]	training's auc: 0.871779	valid_1's auc: 0.860336
[262]	training's auc: 0.871807	valid_1's auc: 0.860325
[263]	training's auc: 0.87184	valid_1's auc: 0.860323
[264]	training's auc: 0.871909	valid_1's auc: 0.860358
[265]	training's auc: 0.871953	valid_1's auc: 0.860367
[266]	training's auc: 0.871987	valid_1's auc: 0.860375
[267]	training's auc: 0.87206	valid_1's auc: 0.860402
[268]	training's auc: 0.872145	valid_1's auc: 0.860435
[269]	training's auc: 0.872203	valid_1's auc: 0.860459
[270]	training's auc: 0.872248	valid_1's auc: 0.860491
[271]	training's auc: 0.872288	valid_1's auc: 0.860492
[272]	training's auc: 0.872329	valid_1's auc: 0.860508
[273]	training's auc: 0.872363	valid_1's auc: 0.86051
[274]	training's auc: 0.872392	valid_1's auc: 0.860498
[275]	training's auc: 0.872423	valid_1's auc: 0.860495
[276]	training's auc: 0.872466	valid_1's auc: 0.860498
[277]	training's auc: 0.872536	valid_1's auc: 0.860517
[278]	training's auc: 0.87257	valid_1's auc: 0.860518
[279]	training's auc: 0.872624	valid_1's auc: 0.860546
[280]	training's auc: 0.872654	valid_1's auc: 0.860541
[281]	training's auc: 0.872701	valid_1's auc: 0.860553
[282]	training's auc: 0.872755	valid_1's auc: 0.860545
[283]	training's auc: 0.872809	valid_1's auc: 0.860582
[284]	training's auc: 0.872835	valid_1's auc: 0.860574
[285]	training's auc: 0.872894	valid_1's auc: 0.860604
[286]	training's auc: 0.87296	valid_1's auc: 0.860654
[287]	training's auc: 0.873016	valid_1's auc: 0.860674
[288]	training's auc: 0.873074	valid_1's auc: 0.8607
[289]	training's auc: 0.873115	valid_1's auc: 0.860698
[290]	training's auc: 0.873173	valid_1's auc: 0.860706
[291]	training's auc: 0.87321	valid_1's auc: 0.860705
[292]	training's auc: 0.873242	valid_1's auc: 0.860722
[293]	training's auc: 0.873293	valid_1's auc: 0.860711
[294]	training's auc: 0.87334	valid_1's auc: 0.860735
[295]	training's auc: 0.873371	valid_1's auc: 0.860743
[296]	training's auc: 0.873403	valid_1's auc: 0.860737
[297]	training's auc: 0.873474	valid_1's auc: 0.860786
[298]	training's auc: 0.873512	valid_1's auc: 0.860807
[299]	training's auc: 0.873534	valid_1's auc: 0.86081
[300]	training's auc: 0.873548	valid_1's auc: 0.860822
[301]	training's auc: 0.873615	valid_1's auc: 0.860837
[302]	training's auc: 0.873653	valid_1's auc: 0.860838
[303]	training's auc: 0.873688	valid_1's auc: 0.860845
[304]	training's auc: 0.873729	valid_1's auc: 0.860888
[305]	training's auc: 0.873745	valid_1's auc: 0.860892
[306]	training's auc: 0.873775	valid_1's auc: 0.860898
[307]	training's auc: 0.873801	valid_1's auc: 0.860912
[308]	training's auc: 0.873832	valid_1's auc: 0.860908
[309]	training's auc: 0.873862	valid_1's auc: 0.860912
[310]	training's auc: 0.873873	valid_1's auc: 0.860902
[311]	training's auc: 0.873897	valid_1's auc: 0.860889
[312]	training's auc: 0.873935	valid_1's auc: 0.860898
[313]	training's auc: 0.873982	valid_1's auc: 0.860914
[314]	training's auc: 0.874031	valid_1's auc: 0.860915
[315]	training's auc: 0.874059	valid_1's auc: 0.860945
[316]	training's auc: 0.874097	valid_1's auc: 0.860942
[317]	training's auc: 0.874158	valid_1's auc: 0.86094
[318]	training's auc: 0.874206	valid_1's auc: 0.86094
[319]	training's auc: 0.874233	valid_1's auc: 0.860934
[320]	training's auc: 0.874285	valid_1's auc: 0.860939
[321]	training's auc: 0.874345	valid_1's auc: 0.860947
[322]	training's auc: 0.874386	valid_1's auc: 0.860939
[323]	training's auc: 0.874449	valid_1's auc: 0.860949
[324]	training's auc: 0.874481	valid_1's auc: 0.860966
[325]	training's auc: 0.874547	valid_1's auc: 0.861006
[326]	training's auc: 0.874576	valid_1's auc: 0.860999
[327]	training's auc: 0.874621	valid_1's auc: 0.861
[328]	training's auc: 0.874666	valid_1's auc: 0.861004
[329]	training's auc: 0.874695	valid_1's auc: 0.861003
[330]	training's auc: 0.874722	valid_1's auc: 0.861012
[331]	training's auc: 0.874756	valid_1's auc: 0.861018
[332]	training's auc: 0.874792	valid_1's auc: 0.861009
[333]	training's auc: 0.874827	valid_1's auc: 0.861004
[334]	training's auc: 0.874853	valid_1's auc: 0.861
[335]	training's auc: 0.874902	valid_1's auc: 0.860993
[336]	training's auc: 0.874939	valid_1's auc: 0.860992
[337]	training's auc: 0.874975	valid_1's auc: 0.860988
[338]	training's auc: 0.875026	valid_1's auc: 0.860996
[339]	training's auc: 0.87507	valid_1's auc: 0.861032
[340]	training's auc: 0.875096	valid_1's auc: 0.861035
[341]	training's auc: 0.875126	valid_1's auc: 0.861051
