[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[154]	training's auc: 0.863364	valid_1's auc: 0.856127
[155]	training's auc: 0.863457	valid_1's auc: 0.856169
[156]	training's auc: 0.86351	valid_1's auc: 0.856183
[157]	training's auc: 0.863568	valid_1's auc: 0.856218
[158]	training's auc: 0.863631	valid_1's auc: 0.856255
[159]	training's auc: 0.863713	valid_1's auc: 0.856298
[160]	training's auc: 0.863779	valid_1's auc: 0.856328
[161]	training's auc: 0.863847	valid_1's auc: 0.856328
[162]	training's auc: 0.863896	valid_1's auc: 0.856329
[163]	training's auc: 0.863952	valid_1's auc: 0.85635
[164]	training's auc: 0.864003	valid_1's auc: 0.856368
[165]	training's auc: 0.864052	valid_1's auc: 0.856387
[166]	training's auc: 0.864113	valid_1's auc: 0.8564
[167]	training's auc: 0.864185	valid_1's auc: 0.856436
[168]	training's auc: 0.864266	valid_1's auc: 0.856472
[169]	training's auc: 0.864316	valid_1's auc: 0.856476
[170]	training's auc: 0.864381	valid_1's auc: 0.856506
[171]	training's auc: 0.864457	valid_1's auc: 0.856534
[172]	training's auc: 0.864507	valid_1's auc: 0.856554
[173]	training's auc: 0.864591	valid_1's auc: 0.8566
[174]	training's auc: 0.864648	valid_1's auc: 0.856609
[175]	training's auc: 0.86473	valid_1's auc: 0.856638
[176]	training's auc: 0.864776	valid_1's auc: 0.856653
[177]	training's auc: 0.864829	valid_1's auc: 0.856676
[178]	training's auc: 0.864876	valid_1's auc: 0.85668
[179]	training's auc: 0.864957	valid_1's auc: 0.85671
[180]	training's auc: 0.865013	valid_1's auc: 0.856712
[181]	training's auc: 0.865058	valid_1's auc: 0.856722
[182]	training's auc: 0.865106	valid_1's auc: 0.856739
[183]	training's auc: 0.865155	valid_1's auc: 0.856756
[184]	training's auc: 0.865203	valid_1's auc: 0.856754
[185]	training's auc: 0.865252	valid_1's auc: 0.856773
[186]	training's auc: 0.865297	valid_1's auc: 0.856796
[187]	training's auc: 0.865351	valid_1's auc: 0.856815
[188]	training's auc: 0.865405	valid_1's auc: 0.856823
[189]	training's auc: 0.865454	valid_1's auc: 0.856837
[190]	training's auc: 0.865501	valid_1's auc: 0.856851
[191]	training's auc: 0.86554	valid_1's auc: 0.856857
[192]	training's auc: 0.865608	valid_1's auc: 0.856906
[193]	training's auc: 0.865648	valid_1's auc: 0.856913
[194]	training's auc: 0.865698	valid_1's auc: 0.856906
[195]	training's auc: 0.865764	valid_1's auc: 0.85694
[196]	training's auc: 0.865796	valid_1's auc: 0.856943
[197]	training's auc: 0.865838	valid_1's auc: 0.856951
[198]	training's auc: 0.865892	valid_1's auc: 0.856969
[199]	training's auc: 0.865943	valid_1's auc: 0.856988
[200]	training's auc: 0.866003	valid_1's auc: 0.857006
[201]	training's auc: 0.866037	valid_1's auc: 0.857008
[202]	training's auc: 0.866079	valid_1's auc: 0.857024
[203]	training's auc: 0.866141	valid_1's auc: 0.857057
[204]	training's auc: 0.866199	valid_1's auc: 0.85706
[205]	training's auc: 0.866231	valid_1's auc: 0.857061
[206]	training's auc: 0.866287	valid_1's auc: 0.857072
[207]	training's auc: 0.866382	valid_1's auc: 0.857118
[208]	training's auc: 0.86645	valid_1's auc: 0.85715
[209]	training's auc: 0.866493	valid_1's auc: 0.857159
[210]	training's auc: 0.866556	valid_1's auc: 0.857181
[211]	training's auc: 0.866623	valid_1's auc: 0.857213
[212]	training's auc: 0.866687	valid_1's auc: 0.857235
[213]	training's auc: 0.866728	valid_1's auc: 0.857248
[214]	training's auc: 0.866785	valid_1's auc: 0.857265
[215]	training's auc: 0.866832	valid_1's auc: 0.857276
[216]	training's auc: 0.86688	valid_1's auc: 0.857291
[217]	training's auc: 0.866913	valid_1's auc: 0.857296
[218]	training's auc: 0.866944	valid_1's auc: 0.857296
[219]	training's auc: 0.866972	valid_1's auc: 0.8573
[220]	training's auc: 0.867038	valid_1's auc: 0.857326
[221]	training's auc: 0.867053	valid_1's auc: 0.857326
[222]	training's auc: 0.867082	valid_1's auc: 0.857324
[223]	training's auc: 0.867142	valid_1's auc: 0.857351
[224]	training's auc: 0.867201	valid_1's auc: 0.857369
[225]	training's auc: 0.867236	valid_1's auc: 0.857362
[226]	training's auc: 0.86728	valid_1's auc: 0.857374
[227]	training's auc: 0.867336	valid_1's auc: 0.857377
[228]	training's auc: 0.867369	valid_1's auc: 0.85738
[229]	training's auc: 0.867405	valid_1's auc: 0.857381
[230]	training's auc: 0.86746	valid_1's auc: 0.857391
[231]	training's auc: 0.867491	valid_1's auc: 0.8574
[232]	training's auc: 0.867544	valid_1's auc: 0.857414
[233]	training's auc: 0.867615	valid_1's auc: 0.857433
[234]	training's auc: 0.867648	valid_1's auc: 0.857437
[235]	training's auc: 0.86769	valid_1's auc: 0.857447
[236]	training's auc: 0.867741	valid_1's auc: 0.857462
[237]	training's auc: 0.867788	valid_1's auc: 0.857473
[238]	training's auc: 0.867819	valid_1's auc: 0.857482
[239]	training's auc: 0.867871	valid_1's auc: 0.857508
[240]	training's auc: 0.867939	valid_1's auc: 0.857541
[241]	training's auc: 0.867955	valid_1's auc: 0.857536
[242]	training's auc: 0.867986	valid_1's auc: 0.857537
[243]	training's auc: 0.86801	valid_1's auc: 0.857529
[244]	training's auc: 0.868038	valid_1's auc: 0.857527
[245]	training's auc: 0.868065	valid_1's auc: 0.857522
[246]	training's auc: 0.868141	valid_1's auc: 0.857559
[247]	training's auc: 0.868174	valid_1's auc: 0.857557
[248]	training's auc: 0.868199	valid_1's auc: 0.857554
[249]	training's auc: 0.868224	valid_1's auc: 0.857551
[250]	training's auc: 0.868274	valid_1's auc: 0.857562
[251]	training's auc: 0.868301	valid_1's auc: 0.857558
[252]	training's auc: 0.868367	valid_1's auc: 0.857575
[253]	training's auc: 0.868396	valid_1's auc: 0.857574
