[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[185]	training's auc: 0.872133	valid_1's auc: 0.860915
[186]	training's auc: 0.872221	valid_1's auc: 0.860971
[187]	training's auc: 0.872328	valid_1's auc: 0.861002
[188]	training's auc: 0.872379	valid_1's auc: 0.861002
[189]	training's auc: 0.872432	valid_1's auc: 0.86103
[190]	training's auc: 0.872477	valid_1's auc: 0.861027
[191]	training's auc: 0.872572	valid_1's auc: 0.861057
[192]	training's auc: 0.872634	valid_1's auc: 0.861059
[193]	training's auc: 0.872714	valid_1's auc: 0.861094
[194]	training's auc: 0.872745	valid_1's auc: 0.861085
[195]	training's auc: 0.872867	valid_1's auc: 0.861103
[196]	training's auc: 0.872935	valid_1's auc: 0.861076
[197]	training's auc: 0.872994	valid_1's auc: 0.861063
[198]	training's auc: 0.873069	valid_1's auc: 0.861032
[199]	training's auc: 0.873137	valid_1's auc: 0.861071
[200]	training's auc: 0.873191	valid_1's auc: 0.861078
[201]	training's auc: 0.873241	valid_1's auc: 0.86105
[202]	training's auc: 0.873313	valid_1's auc: 0.861087
[203]	training's auc: 0.873376	valid_1's auc: 0.861096
[204]	training's auc: 0.873392	valid_1's auc: 0.861077
[205]	training's auc: 0.873449	valid_1's auc: 0.861071
[206]	training's auc: 0.873493	valid_1's auc: 0.861123
[207]	training's auc: 0.873534	valid_1's auc: 0.861118
[208]	training's auc: 0.873559	valid_1's auc: 0.861116
[209]	training's auc: 0.873605	valid_1's auc: 0.861114
[210]	training's auc: 0.873686	valid_1's auc: 0.861142
[211]	training's auc: 0.873724	valid_1's auc: 0.861122
[212]	training's auc: 0.873816	valid_1's auc: 0.861157
[213]	training's auc: 0.873892	valid_1's auc: 0.861167
[214]	training's auc: 0.873975	valid_1's auc: 0.861152
[215]	training's auc: 0.874055	valid_1's auc: 0.861153
[216]	training's auc: 0.874179	valid_1's auc: 0.861226
[217]	training's auc: 0.874238	valid_1's auc: 0.861253
[218]	training's auc: 0.87426	valid_1's auc: 0.86125
[219]	training's auc: 0.874302	valid_1's auc: 0.86129
[220]	training's auc: 0.874358	valid_1's auc: 0.861303
[221]	training's auc: 0.874387	valid_1's auc: 0.861308
[222]	training's auc: 0.874401	valid_1's auc: 0.861309
[223]	training's auc: 0.874455	valid_1's auc: 0.861325
[224]	training's auc: 0.874504	valid_1's auc: 0.86131
[225]	training's auc: 0.874538	valid_1's auc: 0.861326
[226]	training's auc: 0.874613	valid_1's auc: 0.861312
[227]	training's auc: 0.874652	valid_1's auc: 0.861348
[228]	training's auc: 0.874714	valid_1's auc: 0.861362
[229]	training's auc: 0.874759	valid_1's auc: 0.861345
[230]	training's auc: 0.874796	valid_1's auc: 0.861387
[231]	training's auc: 0.874826	valid_1's auc: 0.861384
[232]	training's auc: 0.874854	valid_1's auc: 0.861409
[233]	training's auc: 0.874905	valid_1's auc: 0.861397
[234]	training's auc: 0.874947	valid_1's auc: 0.86141
[235]	training's auc: 0.874993	valid_1's auc: 0.861397
[236]	training's auc: 0.875057	valid_1's auc: 0.861411
[237]	training's auc: 0.875071	valid_1's auc: 0.861431
[238]	training's auc: 0.875108	valid_1's auc: 0.861437
[239]	training's auc: 0.875112	valid_1's auc: 0.861423
[240]	training's auc: 0.875208	valid_1's auc: 0.861486
[241]	training's auc: 0.875224	valid_1's auc: 0.861498
[242]	training's auc: 0.875259	valid_1's auc: 0.861507
[243]	training's auc: 0.875296	valid_1's auc: 0.861507
[244]	training's auc: 0.875335	valid_1's auc: 0.861493
[245]	training's auc: 0.875395	valid_1's auc: 0.861472
[246]	training's auc: 0.875443	valid_1's auc: 0.861478
[247]	training's auc: 0.875542	valid_1's auc: 0.861521
[248]	training's auc: 0.87561	valid_1's auc: 0.861557
[249]	training's auc: 0.875649	valid_1's auc: 0.861572
[250]	training's auc: 0.875702	valid_1's auc: 0.861576
[251]	training's auc: 0.875751	valid_1's auc: 0.861561
[252]	training's auc: 0.87585	valid_1's auc: 0.86158
[253]	training's auc: 0.875902	valid_1's auc: 0.861594
[254]	training's auc: 0.875914	valid_1's auc: 0.861598
[255]	training's auc: 0.875938	valid_1's auc: 0.861618
[256]	training's auc: 0.87599	valid_1's auc: 0.861605
[257]	training's auc: 0.876036	valid_1's auc: 0.861615
[258]	training's auc: 0.87606	valid_1's auc: 0.861646
[259]	training's auc: 0.876114	valid_1's auc: 0.861655
[260]	training's auc: 0.876136	valid_1's auc: 0.861663
[261]	training's auc: 0.876168	valid_1's auc: 0.861661
[262]	training's auc: 0.876228	valid_1's auc: 0.861726
[263]	training's auc: 0.876276	valid_1's auc: 0.861731
[264]	training's auc: 0.876307	valid_1's auc: 0.861764
[265]	training's auc: 0.876324	valid_1's auc: 0.861785
[266]	training's auc: 0.876365	valid_1's auc: 0.861777
[267]	training's auc: 0.876399	valid_1's auc: 0.861793
[268]	training's auc: 0.876461	valid_1's auc: 0.86182
[269]	training's auc: 0.876503	valid_1's auc: 0.861838
[270]	training's auc: 0.876541	valid_1's auc: 0.861846
[271]	training's auc: 0.876593	valid_1's auc: 0.861863
[272]	training's auc: 0.876637	valid_1's auc: 0.861857
[273]	training's auc: 0.876656	valid_1's auc: 0.861873
[274]	training's auc: 0.876661	valid_1's auc: 0.861866
[275]	training's auc: 0.876698	valid_1's auc: 0.861854
