[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.861505	valid_1's auc: 0.854455
[94]	training's auc: 0.861588	valid_1's auc: 0.854468
[95]	training's auc: 0.86182	valid_1's auc: 0.854615
[96]	training's auc: 0.861842	valid_1's auc: 0.854611
[97]	training's auc: 0.862076	valid_1's auc: 0.854766
[98]	training's auc: 0.862195	valid_1's auc: 0.854803
[99]	training's auc: 0.862249	valid_1's auc: 0.854806
[100]	training's auc: 0.862319	valid_1's auc: 0.854882
[101]	training's auc: 0.862407	valid_1's auc: 0.854961
[102]	training's auc: 0.862497	valid_1's auc: 0.854986
[103]	training's auc: 0.862547	valid_1's auc: 0.855014
[104]	training's auc: 0.862587	valid_1's auc: 0.855032
[105]	training's auc: 0.862695	valid_1's auc: 0.855081
[106]	training's auc: 0.862815	valid_1's auc: 0.855116
[107]	training's auc: 0.862889	valid_1's auc: 0.855152
[108]	training's auc: 0.862941	valid_1's auc: 0.855171
[109]	training's auc: 0.862967	valid_1's auc: 0.855178
[110]	training's auc: 0.862993	valid_1's auc: 0.855191
[111]	training's auc: 0.86317	valid_1's auc: 0.855278
[112]	training's auc: 0.863245	valid_1's auc: 0.855298
[113]	training's auc: 0.863292	valid_1's auc: 0.855323
[114]	training's auc: 0.863321	valid_1's auc: 0.855332
[115]	training's auc: 0.863407	valid_1's auc: 0.855415
[116]	training's auc: 0.863512	valid_1's auc: 0.855456
[117]	training's auc: 0.863642	valid_1's auc: 0.855481
[118]	training's auc: 0.863726	valid_1's auc: 0.85552
[119]	training's auc: 0.863839	valid_1's auc: 0.855567
[120]	training's auc: 0.863873	valid_1's auc: 0.855605
[121]	training's auc: 0.863957	valid_1's auc: 0.85565
[122]	training's auc: 0.864013	valid_1's auc: 0.855663
[123]	training's auc: 0.864037	valid_1's auc: 0.855702
[124]	training's auc: 0.864105	valid_1's auc: 0.855725
[125]	training's auc: 0.864144	valid_1's auc: 0.855741
[126]	training's auc: 0.864207	valid_1's auc: 0.855755
[127]	training's auc: 0.864335	valid_1's auc: 0.855823
[128]	training's auc: 0.864353	valid_1's auc: 0.855814
[129]	training's auc: 0.864429	valid_1's auc: 0.855833
[130]	training's auc: 0.864563	valid_1's auc: 0.855899
[131]	training's auc: 0.864623	valid_1's auc: 0.8559
[132]	training's auc: 0.86467	valid_1's auc: 0.855906
[133]	training's auc: 0.864742	valid_1's auc: 0.855916
[134]	training's auc: 0.864809	valid_1's auc: 0.855925
[135]	training's auc: 0.864858	valid_1's auc: 0.855923
[136]	training's auc: 0.864892	valid_1's auc: 0.855941
[137]	training's auc: 0.865002	valid_1's auc: 0.855987
[138]	training's auc: 0.865019	valid_1's auc: 0.855985
[139]	training's auc: 0.865089	valid_1's auc: 0.856001
[140]	training's auc: 0.865153	valid_1's auc: 0.856009
[141]	training's auc: 0.865249	valid_1's auc: 0.856056
[142]	training's auc: 0.865353	valid_1's auc: 0.856102
[143]	training's auc: 0.865456	valid_1's auc: 0.856147
[144]	training's auc: 0.865516	valid_1's auc: 0.856204
[145]	training's auc: 0.865615	valid_1's auc: 0.856267
[146]	training's auc: 0.865715	valid_1's auc: 0.856295
[147]	training's auc: 0.865796	valid_1's auc: 0.856306
[148]	training's auc: 0.865859	valid_1's auc: 0.856323
[149]	training's auc: 0.865887	valid_1's auc: 0.856342
[150]	training's auc: 0.865954	valid_1's auc: 0.856393
[151]	training's auc: 0.86601	valid_1's auc: 0.856448
[152]	training's auc: 0.866055	valid_1's auc: 0.856458
[153]	training's auc: 0.866126	valid_1's auc: 0.856484
[154]	training's auc: 0.866185	valid_1's auc: 0.856491
[155]	training's auc: 0.866231	valid_1's auc: 0.856484
[156]	training's auc: 0.866251	valid_1's auc: 0.85647
[157]	training's auc: 0.866301	valid_1's auc: 0.856489
[158]	training's auc: 0.866366	valid_1's auc: 0.856508
[159]	training's auc: 0.866393	valid_1's auc: 0.856531
[160]	training's auc: 0.86646	valid_1's auc: 0.856569
[161]	training's auc: 0.866485	valid_1's auc: 0.856565
[162]	training's auc: 0.86655	valid_1's auc: 0.85659
[163]	training's auc: 0.866596	valid_1's auc: 0.856588
[164]	training's auc: 0.866646	valid_1's auc: 0.856603
[165]	training's auc: 0.866672	valid_1's auc: 0.856596
[166]	training's auc: 0.866682	valid_1's auc: 0.856597
[167]	training's auc: 0.86679	valid_1's auc: 0.856649
[168]	training's auc: 0.866915	valid_1's auc: 0.856712
[169]	training's auc: 0.866946	valid_1's auc: 0.856713
[170]	training's auc: 0.86699	valid_1's auc: 0.856726
[171]	training's auc: 0.867055	valid_1's auc: 0.856733
[172]	training's auc: 0.86709	valid_1's auc: 0.85678
[173]	training's auc: 0.867166	valid_1's auc: 0.856817
[174]	training's auc: 0.867179	valid_1's auc: 0.856806
[175]	training's auc: 0.867206	valid_1's auc: 0.85682
[176]	training's auc: 0.867231	valid_1's auc: 0.856817
[177]	training's auc: 0.867254	valid_1's auc: 0.856837
[178]	training's auc: 0.867277	valid_1's auc: 0.856846
[179]	training's auc: 0.867304	valid_1's auc: 0.856838
[180]	training's auc: 0.867382	valid_1's auc: 0.856875
[181]	training's auc: 0.867414	valid_1's auc: 0.856871
[182]	training's auc: 0.867443	valid_1's auc: 0.85687
[183]	training's auc: 0.867473	valid_1's auc: 0.856888
[184]	training's auc: 0.867494	valid_1's auc: 0.856903
[185]	training's auc: 0.867523	valid_1's auc: 0.856926
[186]	training's auc: 0.867588	valid_1's auc: 0.856932
[187]	training's auc: 0.867638	valid_1's auc: 0.85693
[188]	training's auc: 0.867672	valid_1's auc: 0.856953
[189]	training's auc: 0.867735	valid_1's auc: 0.856989
[190]	training's auc: 0.867803	valid_1's auc: 0.857014
[191]	training's auc: 0.867861	valid_1's auc: 0.85703
[192]	training's auc: 0.867952	valid_1's auc: 0.857087
[193]	training's auc: 0.867963	valid_1's auc: 0.857081
[194]	training's auc: 0.867973	valid_1's auc: 0.857074
[195]	training's auc: 0.868069	valid_1's auc: 0.857121
[196]	training's auc: 0.868159	valid_1's auc: 0.857171
[197]	training's auc: 0.868217	valid_1's auc: 0.857187
[198]	training's auc: 0.868304	valid_1's auc: 0.857229
[199]	training's auc: 0.868355	valid_1's auc: 0.857254
[200]	training's auc: 0.868421	valid_1's auc: 0.857251
[201]	training's auc: 0.868481	valid_1's auc: 0.857257
[202]	training's auc: 0.868499	valid_1's auc: 0.857269
[203]	training's auc: 0.868554	valid_1's auc: 0.857272
[204]	training's auc: 0.868571	valid_1's auc: 0.857274
[205]	training's auc: 0.86863	valid_1's auc: 0.857286
[206]	training's auc: 0.868677	valid_1's auc: 0.857328
[207]	training's auc: 0.868687	valid_1's auc: 0.857322
[208]	training's auc: 0.868741	valid_1's auc: 0.857377
[209]	training's auc: 0.868781	valid_1's auc: 0.857377
[210]	training's auc: 0.868812	valid_1's auc: 0.857382
[211]	training's auc: 0.868864	valid_1's auc: 0.857384
[212]	training's auc: 0.868889	valid_1's auc: 0.857368
[213]	training's auc: 0.868918	valid_1's auc: 0.857393
[214]	training's auc: 0.869005	valid_1's auc: 0.857412
[215]	training's auc: 0.869011	valid_1's auc: 0.857399
[216]	training's auc: 0.869029	valid_1's auc: 0.857408
[217]	training's auc: 0.869152	valid_1's auc: 0.857489
[218]	training's auc: 0.869175	valid_1's auc: 0.857484
[219]	training's auc: 0.869212	valid_1's auc: 0.857509
[220]	training's auc: 0.869279	valid_1's auc: 0.857519
[221]	training's auc: 0.8693	valid_1's auc: 0.857526
[222]	training's auc: 0.869319	valid_1's auc: 0.857536
[223]	training's auc: 0.869407	valid_1's auc: 0.857586
[224]	training's auc: 0.869414	valid_1's auc: 0.857582
[225]	training's auc: 0.869443	valid_1's auc: 0.85761
[226]	training's auc: 0.86945	valid_1's auc: 0.857611
[227]	training's auc: 0.869482	valid_1's auc: 0.857635
[228]	training's auc: 0.869516	valid_1's auc: 0.857657
[229]	training's auc: 0.869581	valid_1's auc: 0.857676
[230]	training's auc: 0.869612	valid_1's auc: 0.857699
[231]	training's auc: 0.86962	valid_1's auc: 0.857693
[232]	training's auc: 0.869643	valid_1's auc: 0.857708
[233]	training's auc: 0.869724	valid_1's auc: 0.857724
[234]	training's auc: 0.869799	valid_1's auc: 0.857752
[235]	training's auc: 0.869847	valid_1's auc: 0.857761
[236]	training's auc: 0.869854	valid_1's auc: 0.857754
[237]	training's auc: 0.869882	valid_1's auc: 0.857781
[238]	training's auc: 0.869934	valid_1's auc: 0.857808
[239]	training's auc: 0.869941	valid_1's auc: 0.857797
[240]	training's auc: 0.869999	valid_1's auc: 0.857805
[241]	training's auc: 0.870021	valid_1's auc: 0.857823
[242]	training's auc: 0.870041	valid_1's auc: 0.857826
[243]	training's auc: 0.870092	valid_1's auc: 0.857829
[244]	training's auc: 0.870133	valid_1's auc: 0.85783
[245]	training's auc: 0.870141	valid_1's auc: 0.857815
[246]	training's auc: 0.870214	valid_1's auc: 0.857851
[247]	training's auc: 0.870221	valid_1's auc: 0.857843
[248]	training's auc: 0.870227	valid_1's auc: 0.857835
[249]	training's auc: 0.870278	valid_1's auc: 0.857852
[250]	training's auc: 0.870306	valid_1's auc: 0.857845
[251]	training's auc: 0.870363	valid_1's auc: 0.857864
[252]	training's auc: 0.870415	valid_1's auc: 0.857871
[253]	training's auc: 0.870453	valid_1's auc: 0.85788
[254]	training's auc: 0.870471	valid_1's auc: 0.857887
[255]	training's auc: 0.870504	valid_1's auc: 0.857914
[256]	training's auc: 0.87056	valid_1's auc: 0.857936
[257]	training's auc: 0.870614	valid_1's auc: 0.857947
[258]	training's auc: 0.870636	valid_1's auc: 0.857971
[259]	training's auc: 0.870717	valid_1's auc: 0.858015
[260]	training's auc: 0.870741	valid_1's auc: 0.858037
[261]	training's auc: 0.870777	valid_1's auc: 0.858053
