[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.867212	valid_1's auc: 0.86084
[94]	training's auc: 0.867356	valid_1's auc: 0.860847
[95]	training's auc: 0.867458	valid_1's auc: 0.860906
[96]	training's auc: 0.867552	valid_1's auc: 0.860897
[97]	training's auc: 0.867763	valid_1's auc: 0.861002
[98]	training's auc: 0.867853	valid_1's auc: 0.86102
[99]	training's auc: 0.86799	valid_1's auc: 0.861042
[100]	training's auc: 0.868057	valid_1's auc: 0.861122
[101]	training's auc: 0.868143	valid_1's auc: 0.861226
[102]	training's auc: 0.868225	valid_1's auc: 0.861216
[103]	training's auc: 0.868272	valid_1's auc: 0.861239
[104]	training's auc: 0.868528	valid_1's auc: 0.861404
[105]	training's auc: 0.868605	valid_1's auc: 0.861394
[106]	training's auc: 0.868799	valid_1's auc: 0.861454
[107]	training's auc: 0.868856	valid_1's auc: 0.86147
[108]	training's auc: 0.86889	valid_1's auc: 0.861468
[109]	training's auc: 0.869066	valid_1's auc: 0.861546
[110]	training's auc: 0.869103	valid_1's auc: 0.861553
[111]	training's auc: 0.86928	valid_1's auc: 0.861634
[112]	training's auc: 0.869393	valid_1's auc: 0.861679
[113]	training's auc: 0.869468	valid_1's auc: 0.861683
[114]	training's auc: 0.869583	valid_1's auc: 0.861708
[115]	training's auc: 0.869644	valid_1's auc: 0.861753
[116]	training's auc: 0.869759	valid_1's auc: 0.861755
[117]	training's auc: 0.869836	valid_1's auc: 0.861744
[118]	training's auc: 0.869912	valid_1's auc: 0.861754
[119]	training's auc: 0.870069	valid_1's auc: 0.861788
[120]	training's auc: 0.870114	valid_1's auc: 0.861809
[121]	training's auc: 0.870192	valid_1's auc: 0.861839
[122]	training's auc: 0.870302	valid_1's auc: 0.861834
[123]	training's auc: 0.870333	valid_1's auc: 0.861865
[124]	training's auc: 0.870368	valid_1's auc: 0.861884
[125]	training's auc: 0.870442	valid_1's auc: 0.861905
[126]	training's auc: 0.870542	valid_1's auc: 0.861896
[127]	training's auc: 0.870686	valid_1's auc: 0.86196
[128]	training's auc: 0.870725	valid_1's auc: 0.861951
[129]	training's auc: 0.870792	valid_1's auc: 0.861936
[130]	training's auc: 0.870868	valid_1's auc: 0.861945
[131]	training's auc: 0.870939	valid_1's auc: 0.861944
[132]	training's auc: 0.871156	valid_1's auc: 0.861966
[133]	training's auc: 0.87125	valid_1's auc: 0.862003
[134]	training's auc: 0.871339	valid_1's auc: 0.861982
[135]	training's auc: 0.871436	valid_1's auc: 0.862029
[136]	training's auc: 0.871641	valid_1's auc: 0.862152
[137]	training's auc: 0.871725	valid_1's auc: 0.862151
[138]	training's auc: 0.871889	valid_1's auc: 0.862224
[139]	training's auc: 0.871963	valid_1's auc: 0.862222
[140]	training's auc: 0.872111	valid_1's auc: 0.862222
[141]	training's auc: 0.872246	valid_1's auc: 0.862275
[142]	training's auc: 0.872343	valid_1's auc: 0.862283
[143]	training's auc: 0.872507	valid_1's auc: 0.862349
[144]	training's auc: 0.872553	valid_1's auc: 0.862393
[145]	training's auc: 0.872667	valid_1's auc: 0.862413
[146]	training's auc: 0.872755	valid_1's auc: 0.862403
[147]	training's auc: 0.872845	valid_1's auc: 0.862387
[148]	training's auc: 0.872913	valid_1's auc: 0.862381
[149]	training's auc: 0.87301	valid_1's auc: 0.862409
[150]	training's auc: 0.873132	valid_1's auc: 0.862411
[151]	training's auc: 0.873224	valid_1's auc: 0.862421
[152]	training's auc: 0.873284	valid_1's auc: 0.862397
[153]	training's auc: 0.873374	valid_1's auc: 0.862371
[154]	training's auc: 0.873458	valid_1's auc: 0.862337
[155]	training's auc: 0.87353	valid_1's auc: 0.86233
[156]	training's auc: 0.873591	valid_1's auc: 0.862324
[157]	training's auc: 0.873645	valid_1's auc: 0.862337
[158]	training's auc: 0.873719	valid_1's auc: 0.862332
[159]	training's auc: 0.873746	valid_1's auc: 0.862375
[160]	training's auc: 0.873817	valid_1's auc: 0.862375
[161]	training's auc: 0.87393	valid_1's auc: 0.862413
[162]	training's auc: 0.874006	valid_1's auc: 0.862396
[163]	training's auc: 0.874101	valid_1's auc: 0.862412
[164]	training's auc: 0.874162	valid_1's auc: 0.862393
[165]	training's auc: 0.874269	valid_1's auc: 0.862398
[166]	training's auc: 0.874292	valid_1's auc: 0.862391
[167]	training's auc: 0.874358	valid_1's auc: 0.862374
[168]	training's auc: 0.874381	valid_1's auc: 0.862386
[169]	training's auc: 0.874423	valid_1's auc: 0.862397
[170]	training's auc: 0.874489	valid_1's auc: 0.862406
[171]	training's auc: 0.874557	valid_1's auc: 0.862405
[172]	training's auc: 0.874629	valid_1's auc: 0.862425
[173]	training's auc: 0.874706	valid_1's auc: 0.862468
[174]	training's auc: 0.874758	valid_1's auc: 0.862442
[175]	training's auc: 0.874812	valid_1's auc: 0.862449
[176]	training's auc: 0.874872	valid_1's auc: 0.862472
[177]	training's auc: 0.874904	valid_1's auc: 0.862492
[178]	training's auc: 0.875017	valid_1's auc: 0.862541
[179]	training's auc: 0.875076	valid_1's auc: 0.862537
[180]	training's auc: 0.875164	valid_1's auc: 0.862566
[181]	training's auc: 0.875283	valid_1's auc: 0.862547
[182]	training's auc: 0.875375	valid_1's auc: 0.862573
[183]	training's auc: 0.875426	valid_1's auc: 0.86257
[184]	training's auc: 0.875442	valid_1's auc: 0.86257
[185]	training's auc: 0.875474	valid_1's auc: 0.862584
[186]	training's auc: 0.875635	valid_1's auc: 0.862664
[187]	training's auc: 0.87576	valid_1's auc: 0.862678
[188]	training's auc: 0.875812	valid_1's auc: 0.862679
[189]	training's auc: 0.875907	valid_1's auc: 0.862721
[190]	training's auc: 0.875973	valid_1's auc: 0.862742
[191]	training's auc: 0.876033	valid_1's auc: 0.862749
[192]	training's auc: 0.876114	valid_1's auc: 0.862784
[193]	training's auc: 0.876188	valid_1's auc: 0.862804
[194]	training's auc: 0.876269	valid_1's auc: 0.862851
[195]	training's auc: 0.876308	valid_1's auc: 0.862853
[196]	training's auc: 0.876385	valid_1's auc: 0.862823
[197]	training's auc: 0.876443	valid_1's auc: 0.862796
[198]	training's auc: 0.876527	valid_1's auc: 0.862783
[199]	training's auc: 0.876583	valid_1's auc: 0.862787
[200]	training's auc: 0.87667	valid_1's auc: 0.862756
[201]	training's auc: 0.876728	valid_1's auc: 0.862772
[202]	training's auc: 0.876836	valid_1's auc: 0.862818
[203]	training's auc: 0.876931	valid_1's auc: 0.862809
[204]	training's auc: 0.876947	valid_1's auc: 0.862803
[205]	training's auc: 0.87704	valid_1's auc: 0.862803
[206]	training's auc: 0.877083	valid_1's auc: 0.862841
[207]	training's auc: 0.877138	valid_1's auc: 0.862839
[208]	training's auc: 0.877203	valid_1's auc: 0.862835
[209]	training's auc: 0.877264	valid_1's auc: 0.862831
[210]	training's auc: 0.877323	valid_1's auc: 0.86282
[211]	training's auc: 0.877381	valid_1's auc: 0.862798
[212]	training's auc: 0.877425	valid_1's auc: 0.862781
[213]	training's auc: 0.877496	valid_1's auc: 0.862807
[214]	training's auc: 0.877587	valid_1's auc: 0.862804
[215]	training's auc: 0.877633	valid_1's auc: 0.862798
[216]	training's auc: 0.87769	valid_1's auc: 0.862798
[217]	training's auc: 0.877765	valid_1's auc: 0.862831
[218]	training's auc: 0.877873	valid_1's auc: 0.862833
[219]	training's auc: 0.877907	valid_1's auc: 0.86286
[220]	training's auc: 0.877977	valid_1's auc: 0.862862
[221]	training's auc: 0.878012	valid_1's auc: 0.862866
[222]	training's auc: 0.878029	valid_1's auc: 0.862878
[223]	training's auc: 0.878072	valid_1's auc: 0.862872
[224]	training's auc: 0.878119	valid_1's auc: 0.862882
[225]	training's auc: 0.878152	valid_1's auc: 0.862887
[226]	training's auc: 0.878214	valid_1's auc: 0.862867
[227]	training's auc: 0.878251	valid_1's auc: 0.862916
[228]	training's auc: 0.878295	valid_1's auc: 0.86291
[229]	training's auc: 0.878352	valid_1's auc: 0.862932
[230]	training's auc: 0.878396	valid_1's auc: 0.862994
[231]	training's auc: 0.878464	valid_1's auc: 0.862983
[232]	training's auc: 0.878489	valid_1's auc: 0.862998
[233]	training's auc: 0.87858	valid_1's auc: 0.86301
[234]	training's auc: 0.878637	valid_1's auc: 0.863059
[235]	training's auc: 0.878699	valid_1's auc: 0.863071
[236]	training's auc: 0.878734	valid_1's auc: 0.863043
[237]	training's auc: 0.878752	valid_1's auc: 0.863068
[238]	training's auc: 0.878787	valid_1's auc: 0.863084
[239]	training's auc: 0.878793	valid_1's auc: 0.863078
[240]	training's auc: 0.878835	valid_1's auc: 0.863057
[241]	training's auc: 0.878849	valid_1's auc: 0.863067
