[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[134]	training's auc: 0.858442	valid_1's auc: 0.854794
[135]	training's auc: 0.858545	valid_1's auc: 0.854863
[136]	training's auc: 0.858668	valid_1's auc: 0.854933
[137]	training's auc: 0.858802	valid_1's auc: 0.855024
[138]	training's auc: 0.858896	valid_1's auc: 0.855056
[139]	training's auc: 0.859012	valid_1's auc: 0.855107
[140]	training's auc: 0.85912	valid_1's auc: 0.855168
[141]	training's auc: 0.859222	valid_1's auc: 0.85522
[142]	training's auc: 0.859322	valid_1's auc: 0.855285
[143]	training's auc: 0.85938	valid_1's auc: 0.855294
[144]	training's auc: 0.859425	valid_1's auc: 0.855336
[145]	training's auc: 0.859505	valid_1's auc: 0.855391
[146]	training's auc: 0.859579	valid_1's auc: 0.855415
[147]	training's auc: 0.859664	valid_1's auc: 0.85547
[148]	training's auc: 0.859754	valid_1's auc: 0.855512
[149]	training's auc: 0.859822	valid_1's auc: 0.855555
[150]	training's auc: 0.859892	valid_1's auc: 0.855581
[151]	training's auc: 0.859983	valid_1's auc: 0.855655
[152]	training's auc: 0.860046	valid_1's auc: 0.855678
[153]	training's auc: 0.86011	valid_1's auc: 0.855696
[154]	training's auc: 0.860182	valid_1's auc: 0.855709
[155]	training's auc: 0.860251	valid_1's auc: 0.855734
[156]	training's auc: 0.860304	valid_1's auc: 0.855739
[157]	training's auc: 0.860348	valid_1's auc: 0.855764
[158]	training's auc: 0.860426	valid_1's auc: 0.855819
[159]	training's auc: 0.860461	valid_1's auc: 0.855854
[160]	training's auc: 0.860558	valid_1's auc: 0.8559
[161]	training's auc: 0.860633	valid_1's auc: 0.855919
[162]	training's auc: 0.860731	valid_1's auc: 0.855968
[163]	training's auc: 0.860806	valid_1's auc: 0.855985
[164]	training's auc: 0.860867	valid_1's auc: 0.856005
[165]	training's auc: 0.860943	valid_1's auc: 0.85604
[166]	training's auc: 0.861023	valid_1's auc: 0.856075
[167]	training's auc: 0.861097	valid_1's auc: 0.856114
[168]	training's auc: 0.861206	valid_1's auc: 0.856185
[169]	training's auc: 0.861241	valid_1's auc: 0.856207
[170]	training's auc: 0.861307	valid_1's auc: 0.856242
[171]	training's auc: 0.861389	valid_1's auc: 0.856281
[172]	training's auc: 0.861477	valid_1's auc: 0.856334
[173]	training's auc: 0.861539	valid_1's auc: 0.85638
[174]	training's auc: 0.861629	valid_1's auc: 0.856409
[175]	training's auc: 0.861725	valid_1's auc: 0.856459
[176]	training's auc: 0.861791	valid_1's auc: 0.856466
[177]	training's auc: 0.861839	valid_1's auc: 0.856473
[178]	training's auc: 0.861932	valid_1's auc: 0.856522
[179]	training's auc: 0.861996	valid_1's auc: 0.856551
[180]	training's auc: 0.862052	valid_1's auc: 0.856551
[181]	training's auc: 0.862107	valid_1's auc: 0.85659
[182]	training's auc: 0.862154	valid_1's auc: 0.85661
[183]	training's auc: 0.862231	valid_1's auc: 0.856659
[184]	training's auc: 0.862312	valid_1's auc: 0.856694
[185]	training's auc: 0.862339	valid_1's auc: 0.85673
[186]	training's auc: 0.862389	valid_1's auc: 0.856744
[187]	training's auc: 0.862452	valid_1's auc: 0.856771
[188]	training's auc: 0.862498	valid_1's auc: 0.85679
[189]	training's auc: 0.862562	valid_1's auc: 0.856826
[190]	training's auc: 0.862605	valid_1's auc: 0.85684
[191]	training's auc: 0.862683	valid_1's auc: 0.856881
[192]	training's auc: 0.862757	valid_1's auc: 0.856925
[193]	training's auc: 0.862798	valid_1's auc: 0.856935
[194]	training's auc: 0.862849	valid_1's auc: 0.856942
[195]	training's auc: 0.862895	valid_1's auc: 0.856951
[196]	training's auc: 0.862943	valid_1's auc: 0.856995
[197]	training's auc: 0.863003	valid_1's auc: 0.857015
[198]	training's auc: 0.863053	valid_1's auc: 0.85703
[199]	training's auc: 0.863098	valid_1's auc: 0.857036
[200]	training's auc: 0.863158	valid_1's auc: 0.857054
[201]	training's auc: 0.863212	valid_1's auc: 0.857076
[202]	training's auc: 0.863248	valid_1's auc: 0.857085
[203]	training's auc: 0.863316	valid_1's auc: 0.857097
[204]	training's auc: 0.863348	valid_1's auc: 0.857108
[205]	training's auc: 0.863437	valid_1's auc: 0.857161
[206]	training's auc: 0.863486	valid_1's auc: 0.857191
[207]	training's auc: 0.863535	valid_1's auc: 0.857206
[208]	training's auc: 0.863632	valid_1's auc: 0.857236
[209]	training's auc: 0.863704	valid_1's auc: 0.857265
[210]	training's auc: 0.863782	valid_1's auc: 0.857309
[211]	training's auc: 0.86386	valid_1's auc: 0.85733
[212]	training's auc: 0.863898	valid_1's auc: 0.857334
[213]	training's auc: 0.863952	valid_1's auc: 0.85736
[214]	training's auc: 0.864038	valid_1's auc: 0.857395
[215]	training's auc: 0.864099	valid_1's auc: 0.857411
[216]	training's auc: 0.864194	valid_1's auc: 0.857442
[217]	training's auc: 0.864257	valid_1's auc: 0.857486
[218]	training's auc: 0.864277	valid_1's auc: 0.857477
[219]	training's auc: 0.864343	valid_1's auc: 0.857517
[220]	training's auc: 0.864389	valid_1's auc: 0.857529
[221]	training's auc: 0.864437	valid_1's auc: 0.857555
[222]	training's auc: 0.864503	valid_1's auc: 0.857588
[223]	training's auc: 0.864557	valid_1's auc: 0.857621
[224]	training's auc: 0.864611	valid_1's auc: 0.857635
[225]	training's auc: 0.864665	valid_1's auc: 0.85766
[226]	training's auc: 0.864735	valid_1's auc: 0.857692
[227]	training's auc: 0.864783	valid_1's auc: 0.857735
[228]	training's auc: 0.864853	valid_1's auc: 0.857771
[229]	training's auc: 0.864888	valid_1's auc: 0.857772
[230]	training's auc: 0.864937	valid_1's auc: 0.857818
[231]	training's auc: 0.865005	valid_1's auc: 0.857833
[232]	training's auc: 0.865041	valid_1's auc: 0.857848
[233]	training's auc: 0.865079	valid_1's auc: 0.857856
[234]	training's auc: 0.865129	valid_1's auc: 0.857893
[235]	training's auc: 0.865166	valid_1's auc: 0.857904
[236]	training's auc: 0.865216	valid_1's auc: 0.857899
[237]	training's auc: 0.865246	valid_1's auc: 0.857929
[238]	training's auc: 0.865273	valid_1's auc: 0.857933
[239]	training's auc: 0.865318	valid_1's auc: 0.85793
[240]	training's auc: 0.865369	valid_1's auc: 0.857943
[241]	training's auc: 0.865395	valid_1's auc: 0.857953
[242]	training's auc: 0.865436	valid_1's auc: 0.857966
[243]	training's auc: 0.865465	valid_1's auc: 0.857964
[244]	training's auc: 0.865512	valid_1's auc: 0.857987
[245]	training's auc: 0.865548	valid_1's auc: 0.85799
[246]	training's auc: 0.865599	valid_1's auc: 0.858026
[247]	training's auc: 0.865637	valid_1's auc: 0.858021
[248]	training's auc: 0.865675	valid_1's auc: 0.858034
[249]	training's auc: 0.865741	valid_1's auc: 0.858058
[250]	training's auc: 0.86578	valid_1's auc: 0.85806
[251]	training's auc: 0.865844	valid_1's auc: 0.858095
[252]	training's auc: 0.865874	valid_1's auc: 0.858098
[253]	training's auc: 0.865911	valid_1's auc: 0.858105
[254]	training's auc: 0.865953	valid_1's auc: 0.858113
[255]	training's auc: 0.865981	valid_1's auc: 0.858142
[256]	training's auc: 0.866018	valid_1's auc: 0.85815
[257]	training's auc: 0.866049	valid_1's auc: 0.858156
[258]	training's auc: 0.866074	valid_1's auc: 0.858184
[259]	training's auc: 0.866135	valid_1's auc: 0.858216
[260]	training's auc: 0.866151	valid_1's auc: 0.858232
[261]	training's auc: 0.866182	valid_1's auc: 0.858242
[262]	training's auc: 0.866241	valid_1's auc: 0.858267
[263]	training's auc: 0.866283	valid_1's auc: 0.858277
[264]	training's auc: 0.866341	valid_1's auc: 0.858312
[265]	training's auc: 0.86637	valid_1's auc: 0.858316
[266]	training's auc: 0.866423	valid_1's auc: 0.858346
[267]	training's auc: 0.866453	valid_1's auc: 0.858339
[268]	training's auc: 0.866516	valid_1's auc: 0.858367
[269]	training's auc: 0.866548	valid_1's auc: 0.858368
[270]	training's auc: 0.866582	valid_1's auc: 0.858396
[271]	training's auc: 0.866614	valid_1's auc: 0.858405
[272]	training's auc: 0.866653	valid_1's auc: 0.858419
[273]	training's auc: 0.86667	valid_1's auc: 0.858438
[274]	training's auc: 0.866709	valid_1's auc: 0.858427
[275]	training's auc: 0.866745	valid_1's auc: 0.858432
[276]	training's auc: 0.866785	valid_1's auc: 0.858436
[277]	training's auc: 0.866814	valid_1's auc: 0.858445
[278]	training's auc: 0.866837	valid_1's auc: 0.858439
[279]	training's auc: 0.866868	valid_1's auc: 0.858447
[280]	training's auc: 0.866898	valid_1's auc: 0.858449
[281]	training's auc: 0.866937	valid_1's auc: 0.858467
[282]	training's auc: 0.866991	valid_1's auc: 0.858488
[283]	training's auc: 0.867035	valid_1's auc: 0.85852
[284]	training's auc: 0.867055	valid_1's auc: 0.858513
[285]	training's auc: 0.867118	valid_1's auc: 0.858545
[286]	training's auc: 0.867164	valid_1's auc: 0.858571
[287]	training's auc: 0.86724	valid_1's auc: 0.858602
[288]	training's auc: 0.867291	valid_1's auc: 0.85864
[289]	training's auc: 0.867323	valid_1's auc: 0.858635
[290]	training's auc: 0.86737	valid_1's auc: 0.858649
[291]	training's auc: 0.867404	valid_1's auc: 0.858654
