[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[115]	training's auc: 0.867402	valid_1's auc: 0.857613
[116]	training's auc: 0.867518	valid_1's auc: 0.857652
[117]	training's auc: 0.867678	valid_1's auc: 0.85772
[118]	training's auc: 0.867797	valid_1's auc: 0.857786
[119]	training's auc: 0.867954	valid_1's auc: 0.85787
[120]	training's auc: 0.868002	valid_1's auc: 0.857912
[121]	training's auc: 0.868085	valid_1's auc: 0.857927
[122]	training's auc: 0.868195	valid_1's auc: 0.857943
[123]	training's auc: 0.868239	valid_1's auc: 0.857999
[124]	training's auc: 0.868301	valid_1's auc: 0.857985
[125]	training's auc: 0.86837	valid_1's auc: 0.857976
[126]	training's auc: 0.868525	valid_1's auc: 0.858022
[127]	training's auc: 0.868639	valid_1's auc: 0.858043
[128]	training's auc: 0.868805	valid_1's auc: 0.858122
[129]	training's auc: 0.868877	valid_1's auc: 0.858131
[130]	training's auc: 0.869006	valid_1's auc: 0.858182
[131]	training's auc: 0.869097	valid_1's auc: 0.8582
[132]	training's auc: 0.869199	valid_1's auc: 0.858225
[133]	training's auc: 0.869337	valid_1's auc: 0.858279
[134]	training's auc: 0.869451	valid_1's auc: 0.858354
[135]	training's auc: 0.869586	valid_1's auc: 0.858434
[136]	training's auc: 0.869719	valid_1's auc: 0.858477
[137]	training's auc: 0.869828	valid_1's auc: 0.858511
[138]	training's auc: 0.869853	valid_1's auc: 0.8585
[139]	training's auc: 0.869992	valid_1's auc: 0.858573
[140]	training's auc: 0.870103	valid_1's auc: 0.858596
[141]	training's auc: 0.870203	valid_1's auc: 0.858638
[142]	training's auc: 0.87031	valid_1's auc: 0.858706
[143]	training's auc: 0.870369	valid_1's auc: 0.858704
[144]	training's auc: 0.870407	valid_1's auc: 0.858734
[145]	training's auc: 0.87049	valid_1's auc: 0.85878
[146]	training's auc: 0.870568	valid_1's auc: 0.858798
[147]	training's auc: 0.870631	valid_1's auc: 0.858792
[148]	training's auc: 0.870698	valid_1's auc: 0.858804
[149]	training's auc: 0.87072	valid_1's auc: 0.858791
[150]	training's auc: 0.870841	valid_1's auc: 0.858845
[151]	training's auc: 0.870957	valid_1's auc: 0.85888
[152]	training's auc: 0.871	valid_1's auc: 0.858868
[153]	training's auc: 0.871093	valid_1's auc: 0.858889
[154]	training's auc: 0.871177	valid_1's auc: 0.858889
[155]	training's auc: 0.871231	valid_1's auc: 0.858895
[156]	training's auc: 0.871337	valid_1's auc: 0.858935
[157]	training's auc: 0.871401	valid_1's auc: 0.858955
[158]	training's auc: 0.871489	valid_1's auc: 0.858994
[159]	training's auc: 0.871528	valid_1's auc: 0.85904
[160]	training's auc: 0.87159	valid_1's auc: 0.859042
[161]	training's auc: 0.871643	valid_1's auc: 0.859017
[162]	training's auc: 0.871689	valid_1's auc: 0.859008
[163]	training's auc: 0.871819	valid_1's auc: 0.859023
[164]	training's auc: 0.871864	valid_1's auc: 0.859023
[165]	training's auc: 0.871943	valid_1's auc: 0.859024
[166]	training's auc: 0.872035	valid_1's auc: 0.859031
[167]	training's auc: 0.87211	valid_1's auc: 0.859063
[168]	training's auc: 0.872211	valid_1's auc: 0.859101
[169]	training's auc: 0.872283	valid_1's auc: 0.859139
[170]	training's auc: 0.872342	valid_1's auc: 0.859162
[171]	training's auc: 0.872395	valid_1's auc: 0.859156
[172]	training's auc: 0.872446	valid_1's auc: 0.859179
[173]	training's auc: 0.87254	valid_1's auc: 0.859217
[174]	training's auc: 0.872584	valid_1's auc: 0.859212
[175]	training's auc: 0.872678	valid_1's auc: 0.859261
[176]	training's auc: 0.872782	valid_1's auc: 0.859282
[177]	training's auc: 0.872864	valid_1's auc: 0.859315
[178]	training's auc: 0.872976	valid_1's auc: 0.859348
[179]	training's auc: 0.873085	valid_1's auc: 0.859352
[180]	training's auc: 0.873152	valid_1's auc: 0.859337
[181]	training's auc: 0.873233	valid_1's auc: 0.859354
[182]	training's auc: 0.873289	valid_1's auc: 0.85936
[183]	training's auc: 0.873335	valid_1's auc: 0.859362
[184]	training's auc: 0.873438	valid_1's auc: 0.859387
[185]	training's auc: 0.873471	valid_1's auc: 0.859421
[186]	training's auc: 0.873548	valid_1's auc: 0.859427
[187]	training's auc: 0.873661	valid_1's auc: 0.859479
[188]	training's auc: 0.873733	valid_1's auc: 0.859492
[189]	training's auc: 0.873789	valid_1's auc: 0.859502
[190]	training's auc: 0.873831	valid_1's auc: 0.859491
[191]	training's auc: 0.873849	valid_1's auc: 0.859493
[192]	training's auc: 0.873911	valid_1's auc: 0.859518
[193]	training's auc: 0.874	valid_1's auc: 0.859523
[194]	training's auc: 0.874029	valid_1's auc: 0.859507
[195]	training's auc: 0.874116	valid_1's auc: 0.85953
[196]	training's auc: 0.874191	valid_1's auc: 0.859527
[197]	training's auc: 0.87423	valid_1's auc: 0.859528
[198]	training's auc: 0.874302	valid_1's auc: 0.859512
[199]	training's auc: 0.874359	valid_1's auc: 0.859525
[200]	training's auc: 0.874402	valid_1's auc: 0.859514
[201]	training's auc: 0.874489	valid_1's auc: 0.859526
[202]	training's auc: 0.874532	valid_1's auc: 0.859531
[203]	training's auc: 0.874604	valid_1's auc: 0.85955
[204]	training's auc: 0.874725	valid_1's auc: 0.85958
[205]	training's auc: 0.874778	valid_1's auc: 0.859588
[206]	training's auc: 0.874827	valid_1's auc: 0.859604
[207]	training's auc: 0.87487	valid_1's auc: 0.859595
[208]	training's auc: 0.874886	valid_1's auc: 0.859597
[209]	training's auc: 0.874934	valid_1's auc: 0.8596
[210]	training's auc: 0.87502	valid_1's auc: 0.859625
[211]	training's auc: 0.875059	valid_1's auc: 0.859615
[212]	training's auc: 0.875129	valid_1's auc: 0.859639
[213]	training's auc: 0.875228	valid_1's auc: 0.859644
[214]	training's auc: 0.87533	valid_1's auc: 0.859672
[215]	training's auc: 0.875406	valid_1's auc: 0.859667
[216]	training's auc: 0.875507	valid_1's auc: 0.859702
[217]	training's auc: 0.875582	valid_1's auc: 0.859747
[218]	training's auc: 0.875657	valid_1's auc: 0.859752
[219]	training's auc: 0.875743	valid_1's auc: 0.859729
[220]	training's auc: 0.875811	valid_1's auc: 0.859742
[221]	training's auc: 0.875919	valid_1's auc: 0.859779
[222]	training's auc: 0.87596	valid_1's auc: 0.859776
[223]	training's auc: 0.876033	valid_1's auc: 0.859804
[224]	training's auc: 0.876064	valid_1's auc: 0.859793
[225]	training's auc: 0.876131	valid_1's auc: 0.859817
[226]	training's auc: 0.876176	valid_1's auc: 0.859821
[227]	training's auc: 0.876217	valid_1's auc: 0.859869
[228]	training's auc: 0.876277	valid_1's auc: 0.859885
[229]	training's auc: 0.876315	valid_1's auc: 0.859882
[230]	training's auc: 0.876379	valid_1's auc: 0.859873
[231]	training's auc: 0.876443	valid_1's auc: 0.859868
[232]	training's auc: 0.876492	valid_1's auc: 0.859867
[233]	training's auc: 0.876528	valid_1's auc: 0.859872
[234]	training's auc: 0.876576	valid_1's auc: 0.859867
[235]	training's auc: 0.876681	valid_1's auc: 0.859919
[236]	training's auc: 0.876747	valid_1's auc: 0.859934
[237]	training's auc: 0.876814	valid_1's auc: 0.85994
[238]	training's auc: 0.876882	valid_1's auc: 0.859963
[239]	training's auc: 0.876922	valid_1's auc: 0.859959
[240]	training's auc: 0.876987	valid_1's auc: 0.859988
[241]	training's auc: 0.877016	valid_1's auc: 0.859995
[242]	training's auc: 0.877061	valid_1's auc: 0.859997
[243]	training's auc: 0.87713	valid_1's auc: 0.860005
[244]	training's auc: 0.877168	valid_1's auc: 0.859998
[245]	training's auc: 0.877219	valid_1's auc: 0.860005
[246]	training's auc: 0.877291	valid_1's auc: 0.860022
[247]	training's auc: 0.877345	valid_1's auc: 0.860014
[248]	training's auc: 0.877402	valid_1's auc: 0.860012
[249]	training's auc: 0.877436	valid_1's auc: 0.860009
[250]	training's auc: 0.877492	valid_1's auc: 0.860001
[251]	training's auc: 0.87759	valid_1's auc: 0.860015
[252]	training's auc: 0.877659	valid_1's auc: 0.860027
[253]	training's auc: 0.877745	valid_1's auc: 0.860034
[254]	training's auc: 0.877853	valid_1's auc: 0.860075
[255]	training's auc: 0.877914	valid_1's auc: 0.860089
[256]	training's auc: 0.877969	valid_1's auc: 0.860091
[257]	training's auc: 0.878044	valid_1's auc: 0.86012
[258]	training's auc: 0.878075	valid_1's auc: 0.860134
[259]	training's auc: 0.87813	valid_1's auc: 0.860143
[260]	training's auc: 0.878177	valid_1's auc: 0.860154
[261]	training's auc: 0.878211	valid_1's auc: 0.86017
[262]	training's auc: 0.878269	valid_1's auc: 0.86018
[263]	training's auc: 0.878314	valid_1's auc: 0.860201
[264]	training's auc: 0.878403	valid_1's auc: 0.860233
[265]	training's auc: 0.878444	valid_1's auc: 0.860231
[266]	training's auc: 0.878519	valid_1's auc: 0.860269
[267]	training's auc: 0.878569	valid_1's auc: 0.860278
[268]	training's auc: 0.878624	valid_1's auc: 0.860293
[269]	training's auc: 0.878687	valid_1's auc: 0.860293
[270]	training's auc: 0.878737	valid_1's auc: 0.860309
[271]	training's auc: 0.878779	valid_1's auc: 0.860324
[272]	training's auc: 0.878839	valid_1's auc: 0.860334
[273]	training's auc: 0.878867	valid_1's auc: 0.860338
[274]	training's auc: 0.878902	valid_1's auc: 0.860335
[275]	training's auc: 0.878951	valid_1's auc: 0.86034
[276]	training's auc: 0.87896	valid_1's auc: 0.860328
[277]	training's auc: 0.879004	valid_1's auc: 0.860321
[278]	training's auc: 0.879029	valid_1's auc: 0.860314
[279]	training's auc: 0.879086	valid_1's auc: 0.860321
[280]	training's auc: 0.87912	valid_1's auc: 0.860309
[281]	training's auc: 0.879181	valid_1's auc: 0.86032
[282]	training's auc: 0.879249	valid_1's auc: 0.860309
[283]	training's auc: 0.879316	valid_1's auc: 0.860339
[284]	training's auc: 0.879352	valid_1's auc: 0.860333
[285]	training's auc: 0.879427	valid_1's auc: 0.860332
[286]	training's auc: 0.879488	valid_1's auc: 0.860367
[287]	training's auc: 0.879541	valid_1's auc: 0.860372
[288]	training's auc: 0.879596	valid_1's auc: 0.860388
[289]	training's auc: 0.879636	valid_1's auc: 0.860389
[290]	training's auc: 0.879679	valid_1's auc: 0.860375
[291]	training's auc: 0.879721	valid_1's auc: 0.860382
[292]	training's auc: 0.879761	valid_1's auc: 0.860395
[293]	training's auc: 0.879816	valid_1's auc: 0.86039
[294]	training's auc: 0.879862	valid_1's auc: 0.860415
[295]	training's auc: 0.879906	valid_1's auc: 0.86041
[296]	training's auc: 0.879956	valid_1's auc: 0.860424
[297]	training's auc: 0.880004	valid_1's auc: 0.860428
[298]	training's auc: 0.880056	valid_1's auc: 0.860459
[299]	training's auc: 0.880091	valid_1's auc: 0.860457
[300]	training's auc: 0.88011	valid_1's auc: 0.860473
[301]	training's auc: 0.88017	valid_1's auc: 0.86047
[302]	training's auc: 0.880226	valid_1's auc: 0.860462
