[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.87149	valid_1's auc: 0.859682
[94]	training's auc: 0.871609	valid_1's auc: 0.859724
[95]	training's auc: 0.871856	valid_1's auc: 0.859761
[96]	training's auc: 0.871938	valid_1's auc: 0.859742
[97]	training's auc: 0.872136	valid_1's auc: 0.859786
[98]	training's auc: 0.872284	valid_1's auc: 0.859808
[99]	training's auc: 0.872386	valid_1's auc: 0.859812
[100]	training's auc: 0.872448	valid_1's auc: 0.8599
[101]	training's auc: 0.872504	valid_1's auc: 0.859961
[102]	training's auc: 0.872622	valid_1's auc: 0.859955
[103]	training's auc: 0.87274	valid_1's auc: 0.860058
[104]	training's auc: 0.872881	valid_1's auc: 0.860073
[105]	training's auc: 0.873001	valid_1's auc: 0.860099
[106]	training's auc: 0.873195	valid_1's auc: 0.860118
[107]	training's auc: 0.873261	valid_1's auc: 0.860118
[108]	training's auc: 0.873391	valid_1's auc: 0.86012
[109]	training's auc: 0.87349	valid_1's auc: 0.860121
[110]	training's auc: 0.873577	valid_1's auc: 0.860121
[111]	training's auc: 0.873763	valid_1's auc: 0.860197
[112]	training's auc: 0.873897	valid_1's auc: 0.860234
[113]	training's auc: 0.873949	valid_1's auc: 0.86024
[114]	training's auc: 0.874039	valid_1's auc: 0.860274
[115]	training's auc: 0.87409	valid_1's auc: 0.860319
[116]	training's auc: 0.874181	valid_1's auc: 0.86036
[117]	training's auc: 0.874387	valid_1's auc: 0.860384
[118]	training's auc: 0.874471	valid_1's auc: 0.860376
[119]	training's auc: 0.874578	valid_1's auc: 0.860379
[120]	training's auc: 0.874606	valid_1's auc: 0.860384
[121]	training's auc: 0.874692	valid_1's auc: 0.860388
[122]	training's auc: 0.874789	valid_1's auc: 0.860401
[123]	training's auc: 0.874832	valid_1's auc: 0.860448
[124]	training's auc: 0.874973	valid_1's auc: 0.860461
[125]	training's auc: 0.875017	valid_1's auc: 0.860449
[126]	training's auc: 0.875135	valid_1's auc: 0.860459
[127]	training's auc: 0.875275	valid_1's auc: 0.860505
[128]	training's auc: 0.875361	valid_1's auc: 0.860528
[129]	training's auc: 0.875553	valid_1's auc: 0.860515
[130]	training's auc: 0.875715	valid_1's auc: 0.860532
[131]	training's auc: 0.875842	valid_1's auc: 0.860518
[132]	training's auc: 0.876063	valid_1's auc: 0.860562
[133]	training's auc: 0.876231	valid_1's auc: 0.860589
[134]	training's auc: 0.876319	valid_1's auc: 0.860617
[135]	training's auc: 0.876507	valid_1's auc: 0.860722
[136]	training's auc: 0.876603	valid_1's auc: 0.860719
[137]	training's auc: 0.876713	valid_1's auc: 0.860732
[138]	training's auc: 0.876785	valid_1's auc: 0.860757
[139]	training's auc: 0.876977	valid_1's auc: 0.86079
[140]	training's auc: 0.877133	valid_1's auc: 0.860806
[141]	training's auc: 0.877293	valid_1's auc: 0.860798
[142]	training's auc: 0.877382	valid_1's auc: 0.860797
[143]	training's auc: 0.87748	valid_1's auc: 0.860832
[144]	training's auc: 0.877526	valid_1's auc: 0.860873
[145]	training's auc: 0.877612	valid_1's auc: 0.860923
[146]	training's auc: 0.877694	valid_1's auc: 0.860921
[147]	training's auc: 0.877782	valid_1's auc: 0.860931
[148]	training's auc: 0.877864	valid_1's auc: 0.860926
[149]	training's auc: 0.87796	valid_1's auc: 0.860933
[150]	training's auc: 0.878016	valid_1's auc: 0.860986
[151]	training's auc: 0.878056	valid_1's auc: 0.861018
[152]	training's auc: 0.878169	valid_1's auc: 0.860989
[153]	training's auc: 0.878261	valid_1's auc: 0.860981
[154]	training's auc: 0.878372	valid_1's auc: 0.860985
[155]	training's auc: 0.878451	valid_1's auc: 0.860985
[156]	training's auc: 0.878497	valid_1's auc: 0.860976
[157]	training's auc: 0.878562	valid_1's auc: 0.861004
[158]	training's auc: 0.878637	valid_1's auc: 0.86099
[159]	training's auc: 0.878662	valid_1's auc: 0.861007
[160]	training's auc: 0.878773	valid_1's auc: 0.861023
[161]	training's auc: 0.878832	valid_1's auc: 0.861041
[162]	training's auc: 0.879041	valid_1's auc: 0.861067
[163]	training's auc: 0.879209	valid_1's auc: 0.861141
[164]	training's auc: 0.879277	valid_1's auc: 0.861153
[165]	training's auc: 0.879405	valid_1's auc: 0.861166
[166]	training's auc: 0.879453	valid_1's auc: 0.861162
[167]	training's auc: 0.879522	valid_1's auc: 0.861166
[168]	training's auc: 0.879638	valid_1's auc: 0.861197
[169]	training's auc: 0.879702	valid_1's auc: 0.861215
[170]	training's auc: 0.879748	valid_1's auc: 0.861215
[171]	training's auc: 0.879862	valid_1's auc: 0.861207
[172]	training's auc: 0.879884	valid_1's auc: 0.861246
[173]	training's auc: 0.879942	valid_1's auc: 0.861264
[174]	training's auc: 0.880022	valid_1's auc: 0.861241
[175]	training's auc: 0.880129	valid_1's auc: 0.861256
[176]	training's auc: 0.880214	valid_1's auc: 0.861248
[177]	training's auc: 0.880246	valid_1's auc: 0.861283
[178]	training's auc: 0.880362	valid_1's auc: 0.861357
