[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[202]	training's auc: 0.865216	valid_1's auc: 0.856473
[203]	training's auc: 0.865247	valid_1's auc: 0.856478
[204]	training's auc: 0.865299	valid_1's auc: 0.856486
[205]	training's auc: 0.865358	valid_1's auc: 0.85649
[206]	training's auc: 0.86541	valid_1's auc: 0.856484
[207]	training's auc: 0.865483	valid_1's auc: 0.856492
[208]	training's auc: 0.865557	valid_1's auc: 0.85651
[209]	training's auc: 0.865591	valid_1's auc: 0.856506
[210]	training's auc: 0.865627	valid_1's auc: 0.856504
[211]	training's auc: 0.865675	valid_1's auc: 0.856507
[212]	training's auc: 0.865701	valid_1's auc: 0.856497
[213]	training's auc: 0.865731	valid_1's auc: 0.856493
[214]	training's auc: 0.86577	valid_1's auc: 0.856489
[215]	training's auc: 0.865797	valid_1's auc: 0.85649
[216]	training's auc: 0.865825	valid_1's auc: 0.856482
[217]	training's auc: 0.865857	valid_1's auc: 0.856479
[218]	training's auc: 0.865934	valid_1's auc: 0.856523
[219]	training's auc: 0.866011	valid_1's auc: 0.856546
[220]	training's auc: 0.866067	valid_1's auc: 0.856551
[221]	training's auc: 0.86614	valid_1's auc: 0.856574
[222]	training's auc: 0.866183	valid_1's auc: 0.856589
[223]	training's auc: 0.866248	valid_1's auc: 0.856607
[224]	training's auc: 0.86632	valid_1's auc: 0.856618
[225]	training's auc: 0.866356	valid_1's auc: 0.856613
[226]	training's auc: 0.866382	valid_1's auc: 0.856607
[227]	training's auc: 0.866412	valid_1's auc: 0.856601
[228]	training's auc: 0.866478	valid_1's auc: 0.856634
[229]	training's auc: 0.866499	valid_1's auc: 0.856623
[230]	training's auc: 0.86653	valid_1's auc: 0.856618
[231]	training's auc: 0.866564	valid_1's auc: 0.856612
[232]	training's auc: 0.866602	valid_1's auc: 0.856635
[233]	training's auc: 0.866629	valid_1's auc: 0.856633
[234]	training's auc: 0.866695	valid_1's auc: 0.85665
[235]	training's auc: 0.866726	valid_1's auc: 0.856648
[236]	training's auc: 0.866783	valid_1's auc: 0.856659
[237]	training's auc: 0.866841	valid_1's auc: 0.85666
[238]	training's auc: 0.866893	valid_1's auc: 0.856659
[239]	training's auc: 0.866911	valid_1's auc: 0.856651
[240]	training's auc: 0.866972	valid_1's auc: 0.856664
[241]	training's auc: 0.866999	valid_1's auc: 0.856656
[242]	training's auc: 0.867066	valid_1's auc: 0.856681
[243]	training's auc: 0.867094	valid_1's auc: 0.856676
[244]	training's auc: 0.86712	valid_1's auc: 0.85667
[245]	training's auc: 0.867147	valid_1's auc: 0.856663
[246]	training's auc: 0.867173	valid_1's auc: 0.856656
[247]	training's auc: 0.867214	valid_1's auc: 0.856654
[248]	training's auc: 0.867244	valid_1's auc: 0.856654
[249]	training's auc: 0.867286	valid_1's auc: 0.856653
[250]	training's auc: 0.867333	valid_1's auc: 0.85667
[251]	training's auc: 0.867401	valid_1's auc: 0.856702
[252]	training's auc: 0.867459	valid_1's auc: 0.856708
[253]	training's auc: 0.86754	valid_1's auc: 0.856731
[254]	training's auc: 0.867606	valid_1's auc: 0.856756
[255]	training's auc: 0.867661	valid_1's auc: 0.856775
[256]	training's auc: 0.867709	valid_1's auc: 0.856787
[257]	training's auc: 0.867738	valid_1's auc: 0.85678
[258]	training's auc: 0.867767	valid_1's auc: 0.856775
[259]	training's auc: 0.867799	valid_1's auc: 0.856767
[260]	training's auc: 0.867828	valid_1's auc: 0.856762
[261]	training's auc: 0.867855	valid_1's auc: 0.856768
[262]	training's auc: 0.867875	valid_1's auc: 0.856757
[263]	training's auc: 0.867918	valid_1's auc: 0.856757
[264]	training's auc: 0.867944	valid_1's auc: 0.85675
[265]	training's auc: 0.867984	valid_1's auc: 0.856745
[266]	training's auc: 0.868012	valid_1's auc: 0.85674
[267]	training's auc: 0.868066	valid_1's auc: 0.856744
[268]	training's auc: 0.868114	valid_1's auc: 0.856755
[269]	training's auc: 0.868164	valid_1's auc: 0.856761
[270]	training's auc: 0.868238	valid_1's auc: 0.856793
[271]	training's auc: 0.868263	valid_1's auc: 0.856794
[272]	training's auc: 0.868303	valid_1's auc: 0.856792
[273]	training's auc: 0.86833	valid_1's auc: 0.856786
[274]	training's auc: 0.868349	valid_1's auc: 0.85678
[275]	training's auc: 0.868379	valid_1's auc: 0.856783
[276]	training's auc: 0.868401	valid_1's auc: 0.856774
[277]	training's auc: 0.868444	valid_1's auc: 0.856773
[278]	training's auc: 0.868466	valid_1's auc: 0.856766
[279]	training's auc: 0.868511	valid_1's auc: 0.85676
[280]	training's auc: 0.86853	valid_1's auc: 0.856759
[281]	training's auc: 0.868552	valid_1's auc: 0.856757
[282]	training's auc: 0.868587	valid_1's auc: 0.856762
[283]	training's auc: 0.868659	valid_1's auc: 0.856777
[284]	training's auc: 0.868719	valid_1's auc: 0.856798
[285]	training's auc: 0.868771	valid_1's auc: 0.856788
[286]	training's auc: 0.868833	valid_1's auc: 0.856812
