[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[134]	training's auc: 0.867918	valid_1's auc: 0.858966
[135]	training's auc: 0.868055	valid_1's auc: 0.859035
[136]	training's auc: 0.868193	valid_1's auc: 0.859098
[137]	training's auc: 0.868322	valid_1's auc: 0.859147
[138]	training's auc: 0.86845	valid_1's auc: 0.859178
[139]	training's auc: 0.86855	valid_1's auc: 0.859216
[140]	training's auc: 0.868662	valid_1's auc: 0.859224
[141]	training's auc: 0.868779	valid_1's auc: 0.85926
[142]	training's auc: 0.868852	valid_1's auc: 0.859317
[143]	training's auc: 0.868942	valid_1's auc: 0.859342
[144]	training's auc: 0.868989	valid_1's auc: 0.859376
[145]	training's auc: 0.86906	valid_1's auc: 0.859413
[146]	training's auc: 0.86912	valid_1's auc: 0.859415
[147]	training's auc: 0.869193	valid_1's auc: 0.859405
[148]	training's auc: 0.869259	valid_1's auc: 0.859413
[149]	training's auc: 0.869303	valid_1's auc: 0.859404
[150]	training's auc: 0.869407	valid_1's auc: 0.859453
[151]	training's auc: 0.869473	valid_1's auc: 0.859449
[152]	training's auc: 0.869586	valid_1's auc: 0.859486
[153]	training's auc: 0.869649	valid_1's auc: 0.859478
[154]	training's auc: 0.869742	valid_1's auc: 0.859515
[155]	training's auc: 0.869837	valid_1's auc: 0.859539
[156]	training's auc: 0.869914	valid_1's auc: 0.859557
[157]	training's auc: 0.869977	valid_1's auc: 0.859582
[158]	training's auc: 0.870075	valid_1's auc: 0.859613
[159]	training's auc: 0.870141	valid_1's auc: 0.859655
[160]	training's auc: 0.870209	valid_1's auc: 0.85967
[161]	training's auc: 0.870261	valid_1's auc: 0.859655
[162]	training's auc: 0.870309	valid_1's auc: 0.859669
[163]	training's auc: 0.870394	valid_1's auc: 0.859661
[164]	training's auc: 0.870435	valid_1's auc: 0.859657
[165]	training's auc: 0.870484	valid_1's auc: 0.859663
[166]	training's auc: 0.870602	valid_1's auc: 0.859693
[167]	training's auc: 0.870668	valid_1's auc: 0.859703
[168]	training's auc: 0.870744	valid_1's auc: 0.85974
[169]	training's auc: 0.870838	valid_1's auc: 0.859737
[170]	training's auc: 0.870916	valid_1's auc: 0.859765
[171]	training's auc: 0.871039	valid_1's auc: 0.859794
[172]	training's auc: 0.871093	valid_1's auc: 0.859802
[173]	training's auc: 0.871189	valid_1's auc: 0.859854
[174]	training's auc: 0.871238	valid_1's auc: 0.859854
[175]	training's auc: 0.871352	valid_1's auc: 0.859869
[176]	training's auc: 0.871446	valid_1's auc: 0.859882
[177]	training's auc: 0.871501	valid_1's auc: 0.859895
[178]	training's auc: 0.871597	valid_1's auc: 0.85994
[179]	training's auc: 0.871636	valid_1's auc: 0.859941
[180]	training's auc: 0.871743	valid_1's auc: 0.859969
[181]	training's auc: 0.871827	valid_1's auc: 0.859967
[182]	training's auc: 0.871902	valid_1's auc: 0.859989
[183]	training's auc: 0.871958	valid_1's auc: 0.859998
[184]	training's auc: 0.872	valid_1's auc: 0.859998
[185]	training's auc: 0.872061	valid_1's auc: 0.86001
[186]	training's auc: 0.872145	valid_1's auc: 0.860035
[187]	training's auc: 0.872244	valid_1's auc: 0.860068
[188]	training's auc: 0.872335	valid_1's auc: 0.860102
[189]	training's auc: 0.872453	valid_1's auc: 0.860162
[190]	training's auc: 0.872508	valid_1's auc: 0.860177
[191]	training's auc: 0.87259	valid_1's auc: 0.860203
[192]	training's auc: 0.872647	valid_1's auc: 0.860208
[193]	training's auc: 0.872696	valid_1's auc: 0.860213
[194]	training's auc: 0.872771	valid_1's auc: 0.860221
[195]	training's auc: 0.872828	valid_1's auc: 0.860215
[196]	training's auc: 0.872912	valid_1's auc: 0.860217
[197]	training's auc: 0.872966	valid_1's auc: 0.860232
[198]	training's auc: 0.873047	valid_1's auc: 0.860244
[199]	training's auc: 0.873118	valid_1's auc: 0.860256
[200]	training's auc: 0.873199	valid_1's auc: 0.860278
[201]	training's auc: 0.873267	valid_1's auc: 0.860287
[202]	training's auc: 0.873357	valid_1's auc: 0.860308
[203]	training's auc: 0.873461	valid_1's auc: 0.860356
[204]	training's auc: 0.873552	valid_1's auc: 0.860368
[205]	training's auc: 0.873658	valid_1's auc: 0.860376
[206]	training's auc: 0.873715	valid_1's auc: 0.860393
[207]	training's auc: 0.873799	valid_1's auc: 0.860436
[208]	training's auc: 0.873866	valid_1's auc: 0.860436
[209]	training's auc: 0.87396	valid_1's auc: 0.860466
[210]	training's auc: 0.874036	valid_1's auc: 0.860471
[211]	training's auc: 0.874086	valid_1's auc: 0.860465
[212]	training's auc: 0.874149	valid_1's auc: 0.86049
[213]	training's auc: 0.874223	valid_1's auc: 0.860508
[214]	training's auc: 0.874317	valid_1's auc: 0.860563
[215]	training's auc: 0.874411	valid_1's auc: 0.860586
[216]	training's auc: 0.874473	valid_1's auc: 0.860584
[217]	training's auc: 0.874558	valid_1's auc: 0.86063
[218]	training's auc: 0.874628	valid_1's auc: 0.860682
[219]	training's auc: 0.874745	valid_1's auc: 0.860717
[220]	training's auc: 0.874813	valid_1's auc: 0.860725
[221]	training's auc: 0.874893	valid_1's auc: 0.860731
