[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[153]	training's auc: 0.869913	valid_1's auc: 0.85709
[154]	training's auc: 0.870007	valid_1's auc: 0.857128
[155]	training's auc: 0.870069	valid_1's auc: 0.857138
[156]	training's auc: 0.870132	valid_1's auc: 0.857148
[157]	training's auc: 0.870182	valid_1's auc: 0.85714
[158]	training's auc: 0.870228	valid_1's auc: 0.85713
[159]	training's auc: 0.870355	valid_1's auc: 0.857189
[160]	training's auc: 0.870452	valid_1's auc: 0.857187
[161]	training's auc: 0.870515	valid_1's auc: 0.857245
[162]	training's auc: 0.8706	valid_1's auc: 0.857232
[163]	training's auc: 0.870704	valid_1's auc: 0.857291
[164]	training's auc: 0.870772	valid_1's auc: 0.857331
[165]	training's auc: 0.870892	valid_1's auc: 0.857342
[166]	training's auc: 0.871024	valid_1's auc: 0.85739
[167]	training's auc: 0.871098	valid_1's auc: 0.857403
[168]	training's auc: 0.871201	valid_1's auc: 0.857404
[169]	training's auc: 0.871323	valid_1's auc: 0.857461
[170]	training's auc: 0.871455	valid_1's auc: 0.857483
[171]	training's auc: 0.87151	valid_1's auc: 0.857494
[172]	training's auc: 0.871585	valid_1's auc: 0.857498
[173]	training's auc: 0.871632	valid_1's auc: 0.857487
[174]	training's auc: 0.871751	valid_1's auc: 0.857535
[175]	training's auc: 0.871831	valid_1's auc: 0.857562
[176]	training's auc: 0.8719	valid_1's auc: 0.857555
[177]	training's auc: 0.871986	valid_1's auc: 0.857571
[178]	training's auc: 0.872036	valid_1's auc: 0.857608
[179]	training's auc: 0.872129	valid_1's auc: 0.857599
[180]	training's auc: 0.872199	valid_1's auc: 0.857607
[181]	training's auc: 0.872268	valid_1's auc: 0.857597
[182]	training's auc: 0.872369	valid_1's auc: 0.857648
[183]	training's auc: 0.872485	valid_1's auc: 0.857685
[184]	training's auc: 0.8726	valid_1's auc: 0.8577
[185]	training's auc: 0.872661	valid_1's auc: 0.857717
[186]	training's auc: 0.872749	valid_1's auc: 0.857752
[187]	training's auc: 0.872832	valid_1's auc: 0.85777
[188]	training's auc: 0.872919	valid_1's auc: 0.857781
[189]	training's auc: 0.873	valid_1's auc: 0.857791
[190]	training's auc: 0.873094	valid_1's auc: 0.857824
[191]	training's auc: 0.873194	valid_1's auc: 0.857821
[192]	training's auc: 0.873236	valid_1's auc: 0.857818
[193]	training's auc: 0.873333	valid_1's auc: 0.85786
[194]	training's auc: 0.873388	valid_1's auc: 0.857874
[195]	training's auc: 0.873473	valid_1's auc: 0.857895
[196]	training's auc: 0.873548	valid_1's auc: 0.857905
[197]	training's auc: 0.873562	valid_1's auc: 0.857919
[198]	training's auc: 0.87367	valid_1's auc: 0.857936
[199]	training's auc: 0.873717	valid_1's auc: 0.857939
[200]	training's auc: 0.873778	valid_1's auc: 0.857958
[201]	training's auc: 0.873857	valid_1's auc: 0.857982
[202]	training's auc: 0.873918	valid_1's auc: 0.857996
[203]	training's auc: 0.873972	valid_1's auc: 0.857986
[204]	training's auc: 0.87405	valid_1's auc: 0.858021
[205]	training's auc: 0.874106	valid_1's auc: 0.858044
[206]	training's auc: 0.874162	valid_1's auc: 0.858038
[207]	training's auc: 0.874234	valid_1's auc: 0.858054
[208]	training's auc: 0.874282	valid_1's auc: 0.858061
[209]	training's auc: 0.874354	valid_1's auc: 0.858044
[210]	training's auc: 0.874404	valid_1's auc: 0.858049
[211]	training's auc: 0.874472	valid_1's auc: 0.858055
[212]	training's auc: 0.87455	valid_1's auc: 0.858058
[213]	training's auc: 0.874586	valid_1's auc: 0.858048
[214]	training's auc: 0.874651	valid_1's auc: 0.858053
[215]	training's auc: 0.874725	valid_1's auc: 0.858044
[216]	training's auc: 0.874802	valid_1's auc: 0.858066
[217]	training's auc: 0.874895	valid_1's auc: 0.858083
[218]	training's auc: 0.874989	valid_1's auc: 0.8581
[219]	training's auc: 0.875055	valid_1's auc: 0.858115
[220]	training's auc: 0.875108	valid_1's auc: 0.85812
[221]	training's auc: 0.875179	valid_1's auc: 0.858139
[222]	training's auc: 0.875211	valid_1's auc: 0.858168
[223]	training's auc: 0.875272	valid_1's auc: 0.858161
[224]	training's auc: 0.875329	valid_1's auc: 0.858164
[225]	training's auc: 0.875397	valid_1's auc: 0.858139
[226]	training's auc: 0.875453	valid_1's auc: 0.858147
[227]	training's auc: 0.875523	valid_1's auc: 0.858175
[228]	training's auc: 0.875593	valid_1's auc: 0.858178
[229]	training's auc: 0.875628	valid_1's auc: 0.85818
[230]	training's auc: 0.875692	valid_1's auc: 0.858212
[231]	training's auc: 0.875763	valid_1's auc: 0.85823
[232]	training's auc: 0.875818	valid_1's auc: 0.858246
[233]	training's auc: 0.875876	valid_1's auc: 0.858245
[234]	training's auc: 0.875961	valid_1's auc: 0.858278
[235]	training's auc: 0.876004	valid_1's auc: 0.858285
[236]	training's auc: 0.876078	valid_1's auc: 0.858307
[237]	training's auc: 0.876128	valid_1's auc: 0.858298
[238]	training's auc: 0.876174	valid_1's auc: 0.858309
[239]	training's auc: 0.876224	valid_1's auc: 0.858321
[240]	training's auc: 0.876252	valid_1's auc: 0.858346
[241]	training's auc: 0.876303	valid_1's auc: 0.858333
[242]	training's auc: 0.876351	valid_1's auc: 0.858326
[243]	training's auc: 0.876396	valid_1's auc: 0.858322
[244]	training's auc: 0.876441	valid_1's auc: 0.85833
[245]	training's auc: 0.876487	valid_1's auc: 0.858328
