[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[163]	training's auc: 0.875587	valid_1's auc: 0.857549
[164]	training's auc: 0.875709	valid_1's auc: 0.857569
[165]	training's auc: 0.875758	valid_1's auc: 0.857628
[166]	training's auc: 0.87587	valid_1's auc: 0.857638
[167]	training's auc: 0.875948	valid_1's auc: 0.857642
[168]	training's auc: 0.875989	valid_1's auc: 0.857687
[169]	training's auc: 0.876116	valid_1's auc: 0.857738
[170]	training's auc: 0.876202	valid_1's auc: 0.857739
[171]	training's auc: 0.876392	valid_1's auc: 0.857807
[172]	training's auc: 0.876474	valid_1's auc: 0.85781
[173]	training's auc: 0.876529	valid_1's auc: 0.857815
[174]	training's auc: 0.876638	valid_1's auc: 0.857803
[175]	training's auc: 0.87667	valid_1's auc: 0.857826
[176]	training's auc: 0.876734	valid_1's auc: 0.857817
[177]	training's auc: 0.87683	valid_1's auc: 0.857829
[178]	training's auc: 0.876888	valid_1's auc: 0.85783
[179]	training's auc: 0.876944	valid_1's auc: 0.857817
[180]	training's auc: 0.877042	valid_1's auc: 0.857809
[181]	training's auc: 0.877107	valid_1's auc: 0.857819
[182]	training's auc: 0.877184	valid_1's auc: 0.857825
[183]	training's auc: 0.877256	valid_1's auc: 0.857835
[184]	training's auc: 0.877332	valid_1's auc: 0.857832
[185]	training's auc: 0.87742	valid_1's auc: 0.857849
[186]	training's auc: 0.877436	valid_1's auc: 0.857836
[187]	training's auc: 0.877474	valid_1's auc: 0.857894
[188]	training's auc: 0.877551	valid_1's auc: 0.857892
[189]	training's auc: 0.87761	valid_1's auc: 0.857872
[190]	training's auc: 0.877658	valid_1's auc: 0.85788
[191]	training's auc: 0.877715	valid_1's auc: 0.857877
[192]	training's auc: 0.877802	valid_1's auc: 0.857889
[193]	training's auc: 0.877918	valid_1's auc: 0.857877
[194]	training's auc: 0.877958	valid_1's auc: 0.857858
[195]	training's auc: 0.878054	valid_1's auc: 0.857892
[196]	training's auc: 0.878123	valid_1's auc: 0.857896
[197]	training's auc: 0.878179	valid_1's auc: 0.857896
[198]	training's auc: 0.878273	valid_1's auc: 0.857941
[199]	training's auc: 0.87832	valid_1's auc: 0.85792
[200]	training's auc: 0.878377	valid_1's auc: 0.857959
[201]	training's auc: 0.878447	valid_1's auc: 0.857957
[202]	training's auc: 0.878516	valid_1's auc: 0.857975
[203]	training's auc: 0.878565	valid_1's auc: 0.858041
[204]	training's auc: 0.878643	valid_1's auc: 0.858006
[205]	training's auc: 0.878653	valid_1's auc: 0.858008
[206]	training's auc: 0.878722	valid_1's auc: 0.857976
[207]	training's auc: 0.878837	valid_1's auc: 0.857978
[208]	training's auc: 0.878889	valid_1's auc: 0.857982
[209]	training's auc: 0.878956	valid_1's auc: 0.857986
[210]	training's auc: 0.879004	valid_1's auc: 0.857983
[211]	training's auc: 0.879082	valid_1's auc: 0.857993
[212]	training's auc: 0.879186	valid_1's auc: 0.857972
[213]	training's auc: 0.879256	valid_1's auc: 0.857977
[214]	training's auc: 0.879268	valid_1's auc: 0.857975
[215]	training's auc: 0.879308	valid_1's auc: 0.857975
[216]	training's auc: 0.879391	valid_1's auc: 0.858004
[217]	training's auc: 0.879461	valid_1's auc: 0.858001
[218]	training's auc: 0.87951	valid_1's auc: 0.858003
[219]	training's auc: 0.879524	valid_1's auc: 0.857997
[220]	training's auc: 0.879642	valid_1's auc: 0.857972
[221]	training's auc: 0.879699	valid_1's auc: 0.857983
[222]	training's auc: 0.879813	valid_1's auc: 0.858003
[223]	training's auc: 0.879864	valid_1's auc: 0.857996
[224]	training's auc: 0.879912	valid_1's auc: 0.858021
[225]	training's auc: 0.880028	valid_1's auc: 0.858029
[226]	training's auc: 0.880081	valid_1's auc: 0.858034
[227]	training's auc: 0.880157	valid_1's auc: 0.858023
[228]	training's auc: 0.8802	valid_1's auc: 0.858065
[229]	training's auc: 0.880261	valid_1's auc: 0.858057
[230]	training's auc: 0.880304	valid_1's auc: 0.858055
[231]	training's auc: 0.880441	valid_1's auc: 0.85808
[232]	training's auc: 0.880475	valid_1's auc: 0.858082
[233]	training's auc: 0.880561	valid_1's auc: 0.85807
[234]	training's auc: 0.88066	valid_1's auc: 0.858085
[235]	training's auc: 0.880749	valid_1's auc: 0.858124
[236]	training's auc: 0.880787	valid_1's auc: 0.858114
[237]	training's auc: 0.880865	valid_1's auc: 0.858152
[238]	training's auc: 0.880903	valid_1's auc: 0.858144
[239]	training's auc: 0.881005	valid_1's auc: 0.858138
[240]	training's auc: 0.881014	valid_1's auc: 0.858132
[241]	training's auc: 0.881115	valid_1's auc: 0.858122
[242]	training's auc: 0.881214	valid_1's auc: 0.85816
[243]	training's auc: 0.881282	valid_1's auc: 0.858161
[244]	training's auc: 0.881401	valid_1's auc: 0.858221
[245]	training's auc: 0.881493	valid_1's auc: 0.858242
[246]	training's auc: 0.881545	valid_1's auc: 0.858235
[247]	training's auc: 0.881586	valid_1's auc: 0.858267
[248]	training's auc: 0.881623	valid_1's auc: 0.858304
[249]	training's auc: 0.881633	valid_1's auc: 0.8583
[250]	training's auc: 0.881714	valid_1's auc: 0.858281
[251]	training's auc: 0.881807	valid_1's auc: 0.858326
