[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[112]	training's auc: 0.869487	valid_1's auc: 0.856426
[113]	training's auc: 0.86954	valid_1's auc: 0.85643
[114]	training's auc: 0.869604	valid_1's auc: 0.856424
[115]	training's auc: 0.869699	valid_1's auc: 0.856432
[116]	training's auc: 0.86976	valid_1's auc: 0.856425
[117]	training's auc: 0.869855	valid_1's auc: 0.856454
[118]	training's auc: 0.869953	valid_1's auc: 0.856462
[119]	training's auc: 0.870052	valid_1's auc: 0.856469
[120]	training's auc: 0.870155	valid_1's auc: 0.856488
[121]	training's auc: 0.870373	valid_1's auc: 0.856604
[122]	training's auc: 0.870513	valid_1's auc: 0.856652
[123]	training's auc: 0.870592	valid_1's auc: 0.856663
[124]	training's auc: 0.87066	valid_1's auc: 0.856662
[125]	training's auc: 0.870745	valid_1's auc: 0.856669
[126]	training's auc: 0.870882	valid_1's auc: 0.856697
[127]	training's auc: 0.871026	valid_1's auc: 0.856745
[128]	training's auc: 0.87109	valid_1's auc: 0.856758
[129]	training's auc: 0.871129	valid_1's auc: 0.856761
[130]	training's auc: 0.871192	valid_1's auc: 0.85676
[131]	training's auc: 0.871286	valid_1's auc: 0.856763
[132]	training's auc: 0.871338	valid_1's auc: 0.856758
[133]	training's auc: 0.871478	valid_1's auc: 0.856794
[134]	training's auc: 0.871559	valid_1's auc: 0.856802
[135]	training's auc: 0.871704	valid_1's auc: 0.856826
[136]	training's auc: 0.871862	valid_1's auc: 0.856918
[137]	training's auc: 0.871944	valid_1's auc: 0.856939
[138]	training's auc: 0.872057	valid_1's auc: 0.85696
[139]	training's auc: 0.872153	valid_1's auc: 0.856962
[140]	training's auc: 0.872275	valid_1's auc: 0.85701
[141]	training's auc: 0.872302	valid_1's auc: 0.857008
[142]	training's auc: 0.872468	valid_1's auc: 0.857069
[143]	training's auc: 0.872537	valid_1's auc: 0.857109
[144]	training's auc: 0.872661	valid_1's auc: 0.857154
[145]	training's auc: 0.872737	valid_1's auc: 0.857151
[146]	training's auc: 0.872769	valid_1's auc: 0.857134
[147]	training's auc: 0.872796	valid_1's auc: 0.857121
[148]	training's auc: 0.872863	valid_1's auc: 0.857113
[149]	training's auc: 0.872938	valid_1's auc: 0.857104
[150]	training's auc: 0.873085	valid_1's auc: 0.857121
[151]	training's auc: 0.873207	valid_1's auc: 0.857122
[152]	training's auc: 0.873334	valid_1's auc: 0.857142
[153]	training's auc: 0.873453	valid_1's auc: 0.857165
[154]	training's auc: 0.873554	valid_1's auc: 0.857195
[155]	training's auc: 0.873687	valid_1's auc: 0.857229
[156]	training's auc: 0.873767	valid_1's auc: 0.857263
[157]	training's auc: 0.873878	valid_1's auc: 0.857268
[158]	training's auc: 0.873893	valid_1's auc: 0.85725
[159]	training's auc: 0.874035	valid_1's auc: 0.857345
[160]	training's auc: 0.874144	valid_1's auc: 0.857373
[161]	training's auc: 0.87417	valid_1's auc: 0.857364
[162]	training's auc: 0.87423	valid_1's auc: 0.857358
[163]	training's auc: 0.874282	valid_1's auc: 0.857352
[164]	training's auc: 0.874319	valid_1's auc: 0.857346
[165]	training's auc: 0.874426	valid_1's auc: 0.857353
[166]	training's auc: 0.874475	valid_1's auc: 0.857356
[167]	training's auc: 0.874549	valid_1's auc: 0.857352
[168]	training's auc: 0.874681	valid_1's auc: 0.857362
[169]	training's auc: 0.874772	valid_1's auc: 0.857387
[170]	training's auc: 0.874831	valid_1's auc: 0.857386
[171]	training's auc: 0.874919	valid_1's auc: 0.857405
[172]	training's auc: 0.875023	valid_1's auc: 0.857464
[173]	training's auc: 0.87513	valid_1's auc: 0.85748
[174]	training's auc: 0.875196	valid_1's auc: 0.85747
[175]	training's auc: 0.875285	valid_1's auc: 0.857477
[176]	training's auc: 0.875327	valid_1's auc: 0.857481
[177]	training's auc: 0.875357	valid_1's auc: 0.857474
[178]	training's auc: 0.875376	valid_1's auc: 0.857466
[179]	training's auc: 0.875423	valid_1's auc: 0.857471
[180]	training's auc: 0.875474	valid_1's auc: 0.857468
[181]	training's auc: 0.875523	valid_1's auc: 0.857453
[182]	training's auc: 0.87555	valid_1's auc: 0.857456
[183]	training's auc: 0.875655	valid_1's auc: 0.857485
[184]	training's auc: 0.875756	valid_1's auc: 0.857492
[185]	training's auc: 0.875849	valid_1's auc: 0.85755
[186]	training's auc: 0.875983	valid_1's auc: 0.857591
[187]	training's auc: 0.876078	valid_1's auc: 0.857626
[188]	training's auc: 0.876199	valid_1's auc: 0.857667
[189]	training's auc: 0.876324	valid_1's auc: 0.857685
[190]	training's auc: 0.876363	valid_1's auc: 0.857683
[191]	training's auc: 0.876429	valid_1's auc: 0.857691
[192]	training's auc: 0.876517	valid_1's auc: 0.857725
[193]	training's auc: 0.876549	valid_1's auc: 0.857719
[194]	training's auc: 0.876604	valid_1's auc: 0.857715
[195]	training's auc: 0.876652	valid_1's auc: 0.857714
[196]	training's auc: 0.876671	valid_1's auc: 0.857714
[197]	training's auc: 0.876729	valid_1's auc: 0.857706
[198]	training's auc: 0.876818	valid_1's auc: 0.857727
[199]	training's auc: 0.876925	valid_1's auc: 0.857734
[200]	training's auc: 0.877029	valid_1's auc: 0.857738
[201]	training's auc: 0.877112	valid_1's auc: 0.857742
[202]	training's auc: 0.877147	valid_1's auc: 0.857733
[203]	training's auc: 0.877217	valid_1's auc: 0.857747
[204]	training's auc: 0.877315	valid_1's auc: 0.85779
[205]	training's auc: 0.877398	valid_1's auc: 0.857778
[206]	training's auc: 0.877517	valid_1's auc: 0.857791
[207]	training's auc: 0.877614	valid_1's auc: 0.857792
[208]	training's auc: 0.87769	valid_1's auc: 0.857819
[209]	training's auc: 0.877728	valid_1's auc: 0.857815
[210]	training's auc: 0.877767	valid_1's auc: 0.857809
[211]	training's auc: 0.877871	valid_1's auc: 0.857834
[212]	training's auc: 0.877915	valid_1's auc: 0.857834
[213]	training's auc: 0.877967	valid_1's auc: 0.85783
[214]	training's auc: 0.878059	valid_1's auc: 0.857834
[215]	training's auc: 0.878147	valid_1's auc: 0.857828
[216]	training's auc: 0.878216	valid_1's auc: 0.857825
[217]	training's auc: 0.87833	valid_1's auc: 0.857838
[218]	training's auc: 0.878375	valid_1's auc: 0.857835
[219]	training's auc: 0.878459	valid_1's auc: 0.857846
[220]	training's auc: 0.878508	valid_1's auc: 0.857834
[221]	training's auc: 0.87858	valid_1's auc: 0.857838
[222]	training's auc: 0.87865	valid_1's auc: 0.857835
[223]	training's auc: 0.878739	valid_1's auc: 0.857886
[224]	training's auc: 0.878818	valid_1's auc: 0.857892
[225]	training's auc: 0.878849	valid_1's auc: 0.857882
[226]	training's auc: 0.878905	valid_1's auc: 0.857877
[227]	training's auc: 0.87892	valid_1's auc: 0.85787
[228]	training's auc: 0.878966	valid_1's auc: 0.857866
[229]	training's auc: 0.878987	valid_1's auc: 0.857856
[230]	training's auc: 0.879036	valid_1's auc: 0.857846
[231]	training's auc: 0.879102	valid_1's auc: 0.857856
[232]	training's auc: 0.879184	valid_1's auc: 0.857844
[233]	training's auc: 0.879267	valid_1's auc: 0.857859
[234]	training's auc: 0.87934	valid_1's auc: 0.857891
[235]	training's auc: 0.87943	valid_1's auc: 0.857911
[236]	training's auc: 0.87952	valid_1's auc: 0.857925
[237]	training's auc: 0.879597	valid_1's auc: 0.857932
[238]	training's auc: 0.879674	valid_1's auc: 0.857943
[239]	training's auc: 0.879761	valid_1's auc: 0.857941
[240]	training's auc: 0.879832	valid_1's auc: 0.857972
[241]	training's auc: 0.879852	valid_1's auc: 0.857966
[242]	training's auc: 0.879869	valid_1's auc: 0.857963
[243]	training's auc: 0.879967	valid_1's auc: 0.858008
[244]	training's auc: 0.880007	valid_1's auc: 0.858009
[245]	training's auc: 0.880081	valid_1's auc: 0.857993
[246]	training's auc: 0.880194	valid_1's auc: 0.858008
[247]	training's auc: 0.880211	valid_1's auc: 0.858004
[248]	training's auc: 0.880282	valid_1's auc: 0.858007
[249]	training's auc: 0.880404	valid_1's auc: 0.858065
[250]	training's auc: 0.88049	valid_1's auc: 0.858085
[251]	training's auc: 0.880517	valid_1's auc: 0.85809
[252]	training's auc: 0.88061	valid_1's auc: 0.85811
[253]	training's auc: 0.880728	valid_1's auc: 0.858151
[254]	training's auc: 0.88082	valid_1's auc: 0.858197
[255]	training's auc: 0.880924	valid_1's auc: 0.858188
[256]	training's auc: 0.881007	valid_1's auc: 0.858212
[257]	training's auc: 0.881035	valid_1's auc: 0.858202
[258]	training's auc: 0.881073	valid_1's auc: 0.858201
[259]	training's auc: 0.881112	valid_1's auc: 0.858188
[260]	training's auc: 0.881157	valid_1's auc: 0.858175
[261]	training's auc: 0.881266	valid_1's auc: 0.858204
[262]	training's auc: 0.881349	valid_1's auc: 0.858208
[263]	training's auc: 0.881403	valid_1's auc: 0.858218
[264]	training's auc: 0.881436	valid_1's auc: 0.858212
[265]	training's auc: 0.881515	valid_1's auc: 0.858222
[266]	training's auc: 0.881594	valid_1's auc: 0.858212
[267]	training's auc: 0.881639	valid_1's auc: 0.85821
[268]	training's auc: 0.881689	valid_1's auc: 0.8582
[269]	training's auc: 0.88178	valid_1's auc: 0.858209
[270]	training's auc: 0.881842	valid_1's auc: 0.858208
[271]	training's auc: 0.881944	valid_1's auc: 0.858243
[272]	training's auc: 0.882043	valid_1's auc: 0.85828
[273]	training's auc: 0.882064	valid_1's auc: 0.858274
[274]	training's auc: 0.882095	valid_1's auc: 0.85827
[275]	training's auc: 0.882128	valid_1's auc: 0.858267
[276]	training's auc: 0.882211	valid_1's auc: 0.858303
[277]	training's auc: 0.882266	valid_1's auc: 0.858301
[278]	training's auc: 0.882341	valid_1's auc: 0.858309
[279]	training's auc: 0.882391	valid_1's auc: 0.858316
[280]	training's auc: 0.882481	valid_1's auc: 0.858315
[281]	training's auc: 0.882534	valid_1's auc: 0.858309
[282]	training's auc: 0.882589	valid_1's auc: 0.858324
[283]	training's auc: 0.88265	valid_1's auc: 0.858314
[284]	training's auc: 0.882738	valid_1's auc: 0.858313
[285]	training's auc: 0.88278	valid_1's auc: 0.858319
[286]	training's auc: 0.882882	valid_1's auc: 0.858349
[287]	training's auc: 0.882959	valid_1's auc: 0.85835
[288]	training's auc: 0.883045	valid_1's auc: 0.858352
[289]	training's auc: 0.883072	valid_1's auc: 0.858344
[290]	training's auc: 0.883088	valid_1's auc: 0.858336
[291]	training's auc: 0.883116	valid_1's auc: 0.858321
[292]	training's auc: 0.883173	valid_1's auc: 0.858314
[293]	training's auc: 0.883248	valid_1's auc: 0.858332
[294]	training's auc: 0.88333	valid_1's auc: 0.858334
[295]	training's auc: 0.883403	valid_1's auc: 0.858345
[296]	training's auc: 0.883419	valid_1's auc: 0.858344
[297]	training's auc: 0.883508	valid_1's auc: 0.858343
