[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.863459	valid_1's auc: 0.856518
[94]	training's auc: 0.863572	valid_1's auc: 0.856556
[95]	training's auc: 0.863777	valid_1's auc: 0.856664
[96]	training's auc: 0.86389	valid_1's auc: 0.856694
[97]	training's auc: 0.864067	valid_1's auc: 0.856761
[98]	training's auc: 0.86413	valid_1's auc: 0.856807
[99]	training's auc: 0.864274	valid_1's auc: 0.856805
[100]	training's auc: 0.864333	valid_1's auc: 0.856895
[101]	training's auc: 0.864391	valid_1's auc: 0.856986
[102]	training's auc: 0.864534	valid_1's auc: 0.857045
[103]	training's auc: 0.864736	valid_1's auc: 0.857124
[104]	training's auc: 0.864913	valid_1's auc: 0.857202
[105]	training's auc: 0.865028	valid_1's auc: 0.857217
[106]	training's auc: 0.865198	valid_1's auc: 0.857264
[107]	training's auc: 0.865307	valid_1's auc: 0.857331
[108]	training's auc: 0.865435	valid_1's auc: 0.857381
[109]	training's auc: 0.865558	valid_1's auc: 0.857423
[110]	training's auc: 0.865637	valid_1's auc: 0.857417
[111]	training's auc: 0.865796	valid_1's auc: 0.857484
[112]	training's auc: 0.865931	valid_1's auc: 0.85754
[113]	training's auc: 0.866018	valid_1's auc: 0.857563
[114]	training's auc: 0.866097	valid_1's auc: 0.857598
[115]	training's auc: 0.866164	valid_1's auc: 0.857659
[116]	training's auc: 0.866239	valid_1's auc: 0.857682
[117]	training's auc: 0.866387	valid_1's auc: 0.85774
[118]	training's auc: 0.86654	valid_1's auc: 0.857832
[119]	training's auc: 0.866716	valid_1's auc: 0.857908
[120]	training's auc: 0.866738	valid_1's auc: 0.857944
[121]	training's auc: 0.86682	valid_1's auc: 0.857963
[122]	training's auc: 0.866918	valid_1's auc: 0.85801
[123]	training's auc: 0.866941	valid_1's auc: 0.858051
[124]	training's auc: 0.867032	valid_1's auc: 0.858083
[125]	training's auc: 0.867113	valid_1's auc: 0.858074
[126]	training's auc: 0.867196	valid_1's auc: 0.858085
[127]	training's auc: 0.867315	valid_1's auc: 0.858161
[128]	training's auc: 0.867434	valid_1's auc: 0.858204
[129]	training's auc: 0.867509	valid_1's auc: 0.858236
[130]	training's auc: 0.867648	valid_1's auc: 0.858286
[131]	training's auc: 0.867727	valid_1's auc: 0.858314
[132]	training's auc: 0.867792	valid_1's auc: 0.858316
[133]	training's auc: 0.8679	valid_1's auc: 0.858369
[134]	training's auc: 0.867979	valid_1's auc: 0.858421
[135]	training's auc: 0.86811	valid_1's auc: 0.858537
[136]	training's auc: 0.868265	valid_1's auc: 0.858606
[137]	training's auc: 0.868402	valid_1's auc: 0.858649
[138]	training's auc: 0.868534	valid_1's auc: 0.85869
[139]	training's auc: 0.868661	valid_1's auc: 0.858754
[140]	training's auc: 0.86879	valid_1's auc: 0.858801
[141]	training's auc: 0.868888	valid_1's auc: 0.858839
[142]	training's auc: 0.868994	valid_1's auc: 0.858915
[143]	training's auc: 0.869075	valid_1's auc: 0.858946
[144]	training's auc: 0.869116	valid_1's auc: 0.858982
[145]	training's auc: 0.869206	valid_1's auc: 0.859022
[146]	training's auc: 0.869318	valid_1's auc: 0.859068
[147]	training's auc: 0.869394	valid_1's auc: 0.859059
[148]	training's auc: 0.869503	valid_1's auc: 0.859097
[149]	training's auc: 0.869629	valid_1's auc: 0.859138
[150]	training's auc: 0.869691	valid_1's auc: 0.859145
[151]	training's auc: 0.869768	valid_1's auc: 0.859153
[152]	training's auc: 0.86988	valid_1's auc: 0.859153
[153]	training's auc: 0.869945	valid_1's auc: 0.859144
[154]	training's auc: 0.870034	valid_1's auc: 0.859119
[155]	training's auc: 0.870134	valid_1's auc: 0.859138
[156]	training's auc: 0.870205	valid_1's auc: 0.859124
[157]	training's auc: 0.870238	valid_1's auc: 0.859126
[158]	training's auc: 0.870328	valid_1's auc: 0.859187
[159]	training's auc: 0.870363	valid_1's auc: 0.859235
[160]	training's auc: 0.870442	valid_1's auc: 0.859264
[161]	training's auc: 0.870516	valid_1's auc: 0.859244
[162]	training's auc: 0.870569	valid_1's auc: 0.85924
[163]	training's auc: 0.870679	valid_1's auc: 0.859275
[164]	training's auc: 0.87073	valid_1's auc: 0.859264
[165]	training's auc: 0.870799	valid_1's auc: 0.859241
[166]	training's auc: 0.870825	valid_1's auc: 0.859241
[167]	training's auc: 0.870896	valid_1's auc: 0.85928
[168]	training's auc: 0.870992	valid_1's auc: 0.859311
[169]	training's auc: 0.87105	valid_1's auc: 0.859323
[170]	training's auc: 0.871096	valid_1's auc: 0.859329
[171]	training's auc: 0.871208	valid_1's auc: 0.859362
[172]	training's auc: 0.871268	valid_1's auc: 0.859355
[173]	training's auc: 0.87134	valid_1's auc: 0.859413
[174]	training's auc: 0.871396	valid_1's auc: 0.859391
[175]	training's auc: 0.871539	valid_1's auc: 0.859437
[176]	training's auc: 0.871693	valid_1's auc: 0.85949
[177]	training's auc: 0.871724	valid_1's auc: 0.859517
[178]	training's auc: 0.871829	valid_1's auc: 0.859535
[179]	training's auc: 0.871894	valid_1's auc: 0.859526
[180]	training's auc: 0.872007	valid_1's auc: 0.859567
[181]	training's auc: 0.872083	valid_1's auc: 0.859581
[182]	training's auc: 0.872152	valid_1's auc: 0.859608
[183]	training's auc: 0.872216	valid_1's auc: 0.859618
[184]	training's auc: 0.872282	valid_1's auc: 0.859634
[185]	training's auc: 0.872309	valid_1's auc: 0.859657
[186]	training's auc: 0.872394	valid_1's auc: 0.859654
[187]	training's auc: 0.872451	valid_1's auc: 0.859649
[188]	training's auc: 0.872513	valid_1's auc: 0.859657
[189]	training's auc: 0.872585	valid_1's auc: 0.85967
[190]	training's auc: 0.872621	valid_1's auc: 0.859648
[191]	training's auc: 0.872712	valid_1's auc: 0.859698
[192]	training's auc: 0.872783	valid_1's auc: 0.85972
[193]	training's auc: 0.872835	valid_1's auc: 0.859718
[194]	training's auc: 0.872916	valid_1's auc: 0.859725
[195]	training's auc: 0.872988	valid_1's auc: 0.859712
[196]	training's auc: 0.873066	valid_1's auc: 0.859751
[197]	training's auc: 0.873115	valid_1's auc: 0.859759
[198]	training's auc: 0.873178	valid_1's auc: 0.859746
[199]	training's auc: 0.873226	valid_1's auc: 0.859743
[200]	training's auc: 0.873329	valid_1's auc: 0.859771
[201]	training's auc: 0.873415	valid_1's auc: 0.859774
[202]	training's auc: 0.873493	valid_1's auc: 0.8598
[203]	training's auc: 0.873585	valid_1's auc: 0.859856
[204]	training's auc: 0.873699	valid_1's auc: 0.859885
[205]	training's auc: 0.873789	valid_1's auc: 0.859896
[206]	training's auc: 0.873832	valid_1's auc: 0.85993
[207]	training's auc: 0.873873	valid_1's auc: 0.859928
[208]	training's auc: 0.873959	valid_1's auc: 0.859937
[209]	training's auc: 0.874009	valid_1's auc: 0.859935
[210]	training's auc: 0.874073	valid_1's auc: 0.859957
[211]	training's auc: 0.874129	valid_1's auc: 0.859937
[212]	training's auc: 0.874189	valid_1's auc: 0.859942
[213]	training's auc: 0.874237	valid_1's auc: 0.85993
[214]	training's auc: 0.874338	valid_1's auc: 0.859942
[215]	training's auc: 0.87442	valid_1's auc: 0.85994
[216]	training's auc: 0.87448	valid_1's auc: 0.859935
[217]	training's auc: 0.874552	valid_1's auc: 0.859978
[218]	training's auc: 0.874589	valid_1's auc: 0.859991
[219]	training's auc: 0.874618	valid_1's auc: 0.860023
[220]	training's auc: 0.87466	valid_1's auc: 0.860007
[221]	training's auc: 0.874747	valid_1's auc: 0.860041
[222]	training's auc: 0.87481	valid_1's auc: 0.860068
[223]	training's auc: 0.87487	valid_1's auc: 0.860101
[224]	training's auc: 0.874938	valid_1's auc: 0.860081
[225]	training's auc: 0.874975	valid_1's auc: 0.860114
[226]	training's auc: 0.875067	valid_1's auc: 0.860134
[227]	training's auc: 0.875099	valid_1's auc: 0.860169
[228]	training's auc: 0.87517	valid_1's auc: 0.860157
[229]	training's auc: 0.875209	valid_1's auc: 0.860159
[230]	training's auc: 0.875239	valid_1's auc: 0.860181
[231]	training's auc: 0.87532	valid_1's auc: 0.8602
[232]	training's auc: 0.875341	valid_1's auc: 0.860227
[233]	training's auc: 0.875407	valid_1's auc: 0.860224
[234]	training's auc: 0.875475	valid_1's auc: 0.860221
[235]	training's auc: 0.875519	valid_1's auc: 0.860215
