[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.845491	valid_1's auc: 0.841568
[94]	training's auc: 0.845571	valid_1's auc: 0.841645
[95]	training's auc: 0.845712	valid_1's auc: 0.841768
[96]	training's auc: 0.84577	valid_1's auc: 0.841805
[97]	training's auc: 0.84596	valid_1's auc: 0.842006
[98]	training's auc: 0.846088	valid_1's auc: 0.842143
[99]	training's auc: 0.846143	valid_1's auc: 0.842187
[100]	training's auc: 0.846242	valid_1's auc: 0.842315
[101]	training's auc: 0.846334	valid_1's auc: 0.842418
[102]	training's auc: 0.846458	valid_1's auc: 0.842537
[103]	training's auc: 0.846625	valid_1's auc: 0.842715
[104]	training's auc: 0.846739	valid_1's auc: 0.842825
[105]	training's auc: 0.846851	valid_1's auc: 0.842889
[106]	training's auc: 0.846916	valid_1's auc: 0.842943
[107]	training's auc: 0.846967	valid_1's auc: 0.842979
[108]	training's auc: 0.847049	valid_1's auc: 0.84304
[109]	training's auc: 0.847136	valid_1's auc: 0.843131
[110]	training's auc: 0.847212	valid_1's auc: 0.843172
[111]	training's auc: 0.847363	valid_1's auc: 0.843319
[112]	training's auc: 0.847414	valid_1's auc: 0.843356
[113]	training's auc: 0.84749	valid_1's auc: 0.843423
[114]	training's auc: 0.847561	valid_1's auc: 0.843485
[115]	training's auc: 0.847618	valid_1's auc: 0.843559
[116]	training's auc: 0.847713	valid_1's auc: 0.84364
[117]	training's auc: 0.847827	valid_1's auc: 0.843735
[118]	training's auc: 0.84798	valid_1's auc: 0.843872
[119]	training's auc: 0.84815	valid_1's auc: 0.844036
[120]	training's auc: 0.848229	valid_1's auc: 0.844131
[121]	training's auc: 0.8483	valid_1's auc: 0.844196
[122]	training's auc: 0.848378	valid_1's auc: 0.844268
[123]	training's auc: 0.848443	valid_1's auc: 0.844341
[124]	training's auc: 0.848554	valid_1's auc: 0.844437
[125]	training's auc: 0.848676	valid_1's auc: 0.844534
[126]	training's auc: 0.848715	valid_1's auc: 0.84456
[127]	training's auc: 0.848802	valid_1's auc: 0.844633
[128]	training's auc: 0.848867	valid_1's auc: 0.844685
[129]	training's auc: 0.848988	valid_1's auc: 0.844794
[130]	training's auc: 0.849114	valid_1's auc: 0.844905
[131]	training's auc: 0.849221	valid_1's auc: 0.844994
[132]	training's auc: 0.849344	valid_1's auc: 0.845097
[133]	training's auc: 0.849427	valid_1's auc: 0.845154
[134]	training's auc: 0.849512	valid_1's auc: 0.845243
[135]	training's auc: 0.849617	valid_1's auc: 0.845351
[136]	training's auc: 0.849741	valid_1's auc: 0.845456
[137]	training's auc: 0.849883	valid_1's auc: 0.845581
[138]	training's auc: 0.849951	valid_1's auc: 0.845622
[139]	training's auc: 0.850061	valid_1's auc: 0.845731
[140]	training's auc: 0.850164	valid_1's auc: 0.845836
[141]	training's auc: 0.850235	valid_1's auc: 0.845882
[142]	training's auc: 0.850312	valid_1's auc: 0.845966
[143]	training's auc: 0.85037	valid_1's auc: 0.846015
[144]	training's auc: 0.85041	valid_1's auc: 0.846063
[145]	training's auc: 0.850491	valid_1's auc: 0.846155
[146]	training's auc: 0.850561	valid_1's auc: 0.84621
[147]	training's auc: 0.850655	valid_1's auc: 0.846298
[148]	training's auc: 0.850755	valid_1's auc: 0.846402
[149]	training's auc: 0.850855	valid_1's auc: 0.846486
[150]	training's auc: 0.850922	valid_1's auc: 0.846543
[151]	training's auc: 0.850981	valid_1's auc: 0.846588
[152]	training's auc: 0.851088	valid_1's auc: 0.846662
[153]	training's auc: 0.851141	valid_1's auc: 0.846714
[154]	training's auc: 0.851214	valid_1's auc: 0.84677
[155]	training's auc: 0.851299	valid_1's auc: 0.84683
[156]	training's auc: 0.851357	valid_1's auc: 0.846878
[157]	training's auc: 0.85143	valid_1's auc: 0.846944
[158]	training's auc: 0.851523	valid_1's auc: 0.847031
[159]	training's auc: 0.851588	valid_1's auc: 0.847111
[160]	training's auc: 0.851691	valid_1's auc: 0.847204
[161]	training's auc: 0.851756	valid_1's auc: 0.847245
[162]	training's auc: 0.851859	valid_1's auc: 0.847332
[163]	training's auc: 0.851939	valid_1's auc: 0.847396
[164]	training's auc: 0.852053	valid_1's auc: 0.847487
[165]	training's auc: 0.852104	valid_1's auc: 0.847533
[166]	training's auc: 0.852212	valid_1's auc: 0.847613
[167]	training's auc: 0.852282	valid_1's auc: 0.847674
[168]	training's auc: 0.852384	valid_1's auc: 0.847756
[169]	training's auc: 0.852445	valid_1's auc: 0.847819
[170]	training's auc: 0.8525	valid_1's auc: 0.847856
[171]	training's auc: 0.852593	valid_1's auc: 0.847935
[172]	training's auc: 0.852689	valid_1's auc: 0.848011
[173]	training's auc: 0.852752	valid_1's auc: 0.848075
[174]	training's auc: 0.852842	valid_1's auc: 0.848128
[175]	training's auc: 0.852911	valid_1's auc: 0.848177
[176]	training's auc: 0.853004	valid_1's auc: 0.848238
[177]	training's auc: 0.853037	valid_1's auc: 0.84828
[178]	training's auc: 0.853139	valid_1's auc: 0.84837
[179]	training's auc: 0.853225	valid_1's auc: 0.848421
[180]	training's auc: 0.8533	valid_1's auc: 0.848481
[181]	training's auc: 0.85336	valid_1's auc: 0.848536
[182]	training's auc: 0.853412	valid_1's auc: 0.848581
[183]	training's auc: 0.853502	valid_1's auc: 0.848657
[184]	training's auc: 0.853583	valid_1's auc: 0.848717
[185]	training's auc: 0.853608	valid_1's auc: 0.848744
[186]	training's auc: 0.853703	valid_1's auc: 0.848813
[187]	training's auc: 0.853778	valid_1's auc: 0.848864
[188]	training's auc: 0.853822	valid_1's auc: 0.848893
[189]	training's auc: 0.853877	valid_1's auc: 0.848934
[190]	training's auc: 0.853987	valid_1's auc: 0.849031
[191]	training's auc: 0.854046	valid_1's auc: 0.849073
[192]	training's auc: 0.854101	valid_1's auc: 0.849124
[193]	training's auc: 0.854139	valid_1's auc: 0.84915
[194]	training's auc: 0.854216	valid_1's auc: 0.849218
[195]	training's auc: 0.854282	valid_1's auc: 0.849274
[196]	training's auc: 0.854357	valid_1's auc: 0.84935
[197]	training's auc: 0.854449	valid_1's auc: 0.849434
[198]	training's auc: 0.854508	valid_1's auc: 0.849464
[199]	training's auc: 0.854553	valid_1's auc: 0.84949
[200]	training's auc: 0.854608	valid_1's auc: 0.849552
[201]	training's auc: 0.854676	valid_1's auc: 0.8496
[202]	training's auc: 0.854757	valid_1's auc: 0.84966
[203]	training's auc: 0.854841	valid_1's auc: 0.849726
[204]	training's auc: 0.854931	valid_1's auc: 0.849793
[205]	training's auc: 0.855021	valid_1's auc: 0.849866
[206]	training's auc: 0.855042	valid_1's auc: 0.849896
[207]	training's auc: 0.855135	valid_1's auc: 0.849962
[208]	training's auc: 0.855194	valid_1's auc: 0.850006
[209]	training's auc: 0.85527	valid_1's auc: 0.850064
[210]	training's auc: 0.855314	valid_1's auc: 0.850102
[211]	training's auc: 0.855398	valid_1's auc: 0.850173
[212]	training's auc: 0.855448	valid_1's auc: 0.850188
[213]	training's auc: 0.855493	valid_1's auc: 0.850212
[214]	training's auc: 0.855569	valid_1's auc: 0.850283
[215]	training's auc: 0.855623	valid_1's auc: 0.850314
[216]	training's auc: 0.855689	valid_1's auc: 0.850364
[217]	training's auc: 0.855757	valid_1's auc: 0.850425
[218]	training's auc: 0.855809	valid_1's auc: 0.85046
[219]	training's auc: 0.855847	valid_1's auc: 0.850506
[220]	training's auc: 0.855923	valid_1's auc: 0.850547
[221]	training's auc: 0.856009	valid_1's auc: 0.850614
[222]	training's auc: 0.85609	valid_1's auc: 0.850689
[223]	training's auc: 0.85615	valid_1's auc: 0.850754
[224]	training's auc: 0.8562	valid_1's auc: 0.850794
[225]	training's auc: 0.856216	valid_1's auc: 0.850815
[226]	training's auc: 0.856282	valid_1's auc: 0.850865
[227]	training's auc: 0.856317	valid_1's auc: 0.850905
[228]	training's auc: 0.856366	valid_1's auc: 0.850943
[229]	training's auc: 0.856441	valid_1's auc: 0.850999
[230]	training's auc: 0.856481	valid_1's auc: 0.851046
[231]	training's auc: 0.856543	valid_1's auc: 0.851085
[232]	training's auc: 0.856576	valid_1's auc: 0.851122
[233]	training's auc: 0.85662	valid_1's auc: 0.851147
[234]	training's auc: 0.856677	valid_1's auc: 0.851195
[235]	training's auc: 0.856747	valid_1's auc: 0.851238
[236]	training's auc: 0.856799	valid_1's auc: 0.851263
[237]	training's auc: 0.856812	valid_1's auc: 0.851282
[238]	training's auc: 0.856846	valid_1's auc: 0.851306
[239]	training's auc: 0.856891	valid_1's auc: 0.851323
[240]	training's auc: 0.856949	valid_1's auc: 0.851372
[241]	training's auc: 0.857025	valid_1's auc: 0.85143
[242]	training's auc: 0.857093	valid_1's auc: 0.851486
[243]	training's auc: 0.857168	valid_1's auc: 0.851525
