[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.866386	valid_1's auc: 0.856567
[94]	training's auc: 0.866477	valid_1's auc: 0.856581
[95]	training's auc: 0.866614	valid_1's auc: 0.856629
[96]	training's auc: 0.866714	valid_1's auc: 0.856645
[97]	training's auc: 0.866826	valid_1's auc: 0.856669
[98]	training's auc: 0.866993	valid_1's auc: 0.856705
[99]	training's auc: 0.867154	valid_1's auc: 0.856723
[100]	training's auc: 0.867324	valid_1's auc: 0.856757
[101]	training's auc: 0.867435	valid_1's auc: 0.856781
[102]	training's auc: 0.867517	valid_1's auc: 0.856773
[103]	training's auc: 0.86765	valid_1's auc: 0.856791
[104]	training's auc: 0.867766	valid_1's auc: 0.8568
[105]	training's auc: 0.867903	valid_1's auc: 0.85683
[106]	training's auc: 0.867977	valid_1's auc: 0.856834
[107]	training's auc: 0.868091	valid_1's auc: 0.856869
[108]	training's auc: 0.868157	valid_1's auc: 0.856861
[109]	training's auc: 0.868246	valid_1's auc: 0.856877
[110]	training's auc: 0.868373	valid_1's auc: 0.856914
[111]	training's auc: 0.86854	valid_1's auc: 0.856954
[112]	training's auc: 0.868608	valid_1's auc: 0.856944
[113]	training's auc: 0.868788	valid_1's auc: 0.857052
[114]	training's auc: 0.868897	valid_1's auc: 0.857082
[115]	training's auc: 0.868964	valid_1's auc: 0.857093
[116]	training's auc: 0.86911	valid_1's auc: 0.857106
[117]	training's auc: 0.869206	valid_1's auc: 0.857131
[118]	training's auc: 0.869344	valid_1's auc: 0.857157
[119]	training's auc: 0.869556	valid_1's auc: 0.857252
[120]	training's auc: 0.869619	valid_1's auc: 0.857237
[121]	training's auc: 0.869686	valid_1's auc: 0.857245
[122]	training's auc: 0.869755	valid_1's auc: 0.857238
[123]	training's auc: 0.869907	valid_1's auc: 0.857312
[124]	training's auc: 0.869953	valid_1's auc: 0.857304
[125]	training's auc: 0.870043	valid_1's auc: 0.857323
[126]	training's auc: 0.87014	valid_1's auc: 0.857331
[127]	training's auc: 0.870206	valid_1's auc: 0.857324
[128]	training's auc: 0.870283	valid_1's auc: 0.857344
[129]	training's auc: 0.870406	valid_1's auc: 0.85735
[130]	training's auc: 0.870503	valid_1's auc: 0.857332
[131]	training's auc: 0.870664	valid_1's auc: 0.857417
[132]	training's auc: 0.870786	valid_1's auc: 0.857479
[133]	training's auc: 0.870856	valid_1's auc: 0.857472
[134]	training's auc: 0.870996	valid_1's auc: 0.857528
[135]	training's auc: 0.871089	valid_1's auc: 0.857527
[136]	training's auc: 0.871157	valid_1's auc: 0.857525
[137]	training's auc: 0.871251	valid_1's auc: 0.857538
[138]	training's auc: 0.871363	valid_1's auc: 0.857542
[139]	training's auc: 0.871498	valid_1's auc: 0.857584
[140]	training's auc: 0.871667	valid_1's auc: 0.857659
[141]	training's auc: 0.871766	valid_1's auc: 0.857665
[142]	training's auc: 0.871863	valid_1's auc: 0.857667
[143]	training's auc: 0.871933	valid_1's auc: 0.857689
[144]	training's auc: 0.872062	valid_1's auc: 0.857687
[145]	training's auc: 0.872189	valid_1's auc: 0.857731
[146]	training's auc: 0.872278	valid_1's auc: 0.857718
[147]	training's auc: 0.872384	valid_1's auc: 0.857713
[148]	training's auc: 0.872473	valid_1's auc: 0.857759
[149]	training's auc: 0.8726	valid_1's auc: 0.857788
[150]	training's auc: 0.872745	valid_1's auc: 0.857796
[151]	training's auc: 0.872794	valid_1's auc: 0.857792
[152]	training's auc: 0.872841	valid_1's auc: 0.857787
[153]	training's auc: 0.872897	valid_1's auc: 0.857778
[154]	training's auc: 0.872939	valid_1's auc: 0.857775
[155]	training's auc: 0.872989	valid_1's auc: 0.857775
[156]	training's auc: 0.873089	valid_1's auc: 0.857803
[157]	training's auc: 0.873218	valid_1's auc: 0.857809
[158]	training's auc: 0.873328	valid_1's auc: 0.857859
[159]	training's auc: 0.873436	valid_1's auc: 0.857846
[160]	training's auc: 0.873508	valid_1's auc: 0.857859
[161]	training's auc: 0.873637	valid_1's auc: 0.857896
[162]	training's auc: 0.873753	valid_1's auc: 0.857946
[163]	training's auc: 0.873857	valid_1's auc: 0.857944
[164]	training's auc: 0.873961	valid_1's auc: 0.85799
[165]	training's auc: 0.874046	valid_1's auc: 0.857996
[166]	training's auc: 0.874095	valid_1's auc: 0.858
[167]	training's auc: 0.874145	valid_1's auc: 0.857996
[168]	training's auc: 0.874243	valid_1's auc: 0.858004
[169]	training's auc: 0.874359	valid_1's auc: 0.858041
[170]	training's auc: 0.874469	valid_1's auc: 0.85806
[171]	training's auc: 0.874545	valid_1's auc: 0.858058
[172]	training's auc: 0.874645	valid_1's auc: 0.858108
[173]	training's auc: 0.874696	valid_1's auc: 0.858101
[174]	training's auc: 0.874753	valid_1's auc: 0.858097
[175]	training's auc: 0.874864	valid_1's auc: 0.858111
[176]	training's auc: 0.874975	valid_1's auc: 0.858145
[177]	training's auc: 0.875017	valid_1's auc: 0.85814
[178]	training's auc: 0.875112	valid_1's auc: 0.858135
[179]	training's auc: 0.875211	valid_1's auc: 0.858151
[180]	training's auc: 0.875303	valid_1's auc: 0.858139
[181]	training's auc: 0.875365	valid_1's auc: 0.858139
[182]	training's auc: 0.875415	valid_1's auc: 0.858138
[183]	training's auc: 0.875453	valid_1's auc: 0.858127
[184]	training's auc: 0.875501	valid_1's auc: 0.858123
[185]	training's auc: 0.875548	valid_1's auc: 0.858117
[186]	training's auc: 0.87564	valid_1's auc: 0.858109
[187]	training's auc: 0.87572	valid_1's auc: 0.858106
[188]	training's auc: 0.875779	valid_1's auc: 0.858105
[189]	training's auc: 0.875821	valid_1's auc: 0.858096
[190]	training's auc: 0.87592	valid_1's auc: 0.858087
[191]	training's auc: 0.876043	valid_1's auc: 0.85814
[192]	training's auc: 0.876155	valid_1's auc: 0.858189
[193]	training's auc: 0.876243	valid_1's auc: 0.858195
[194]	training's auc: 0.876345	valid_1's auc: 0.85822
[195]	training's auc: 0.87646	valid_1's auc: 0.858239
[196]	training's auc: 0.876509	valid_1's auc: 0.85824
[197]	training's auc: 0.876557	valid_1's auc: 0.858243
[198]	training's auc: 0.87661	valid_1's auc: 0.858249
[199]	training's auc: 0.876694	valid_1's auc: 0.858257
[200]	training's auc: 0.876732	valid_1's auc: 0.858256
[201]	training's auc: 0.876808	valid_1's auc: 0.858262
[202]	training's auc: 0.876927	valid_1's auc: 0.8583
[203]	training's auc: 0.876989	valid_1's auc: 0.858309
[204]	training's auc: 0.877023	valid_1's auc: 0.858312
[205]	training's auc: 0.877151	valid_1's auc: 0.858372
[206]	training's auc: 0.877244	valid_1's auc: 0.858401
[207]	training's auc: 0.877337	valid_1's auc: 0.858437
[208]	training's auc: 0.877381	valid_1's auc: 0.858428
[209]	training's auc: 0.877484	valid_1's auc: 0.858426
[210]	training's auc: 0.877588	valid_1's auc: 0.85844
[211]	training's auc: 0.877628	valid_1's auc: 0.858442
[212]	training's auc: 0.877664	valid_1's auc: 0.858432
[213]	training's auc: 0.877707	valid_1's auc: 0.858427
[214]	training's auc: 0.877746	valid_1's auc: 0.858422
[215]	training's auc: 0.877865	valid_1's auc: 0.858463
[216]	training's auc: 0.877983	valid_1's auc: 0.858471
[217]	training's auc: 0.87806	valid_1's auc: 0.85849
[218]	training's auc: 0.878142	valid_1's auc: 0.858496
[219]	training's auc: 0.878224	valid_1's auc: 0.858501
[220]	training's auc: 0.878309	valid_1's auc: 0.858531
[221]	training's auc: 0.878401	valid_1's auc: 0.858548
[222]	training's auc: 0.878497	valid_1's auc: 0.858569
[223]	training's auc: 0.87857	valid_1's auc: 0.858583
[224]	training's auc: 0.87867	valid_1's auc: 0.858608
[225]	training's auc: 0.878752	valid_1's auc: 0.858642
[226]	training's auc: 0.87883	valid_1's auc: 0.858657
[227]	training's auc: 0.878861	valid_1's auc: 0.858652
[228]	training's auc: 0.878868	valid_1's auc: 0.858647
[229]	training's auc: 0.878895	valid_1's auc: 0.858638
[230]	training's auc: 0.878973	valid_1's auc: 0.858654
[231]	training's auc: 0.879056	valid_1's auc: 0.858666
[232]	training's auc: 0.879098	valid_1's auc: 0.858664
[233]	training's auc: 0.879185	valid_1's auc: 0.858669
[234]	training's auc: 0.879251	valid_1's auc: 0.858677
[235]	training's auc: 0.879284	valid_1's auc: 0.858687
[236]	training's auc: 0.879369	valid_1's auc: 0.858697
[237]	training's auc: 0.879459	valid_1's auc: 0.858732
[238]	training's auc: 0.879538	valid_1's auc: 0.858728
[239]	training's auc: 0.879566	valid_1's auc: 0.858724
[240]	training's auc: 0.879661	valid_1's auc: 0.858722
[241]	training's auc: 0.879699	valid_1's auc: 0.858709
[242]	training's auc: 0.879734	valid_1's auc: 0.858703
[243]	training's auc: 0.879774	valid_1's auc: 0.858697
[244]	training's auc: 0.879808	valid_1's auc: 0.858688
[245]	training's auc: 0.87987	valid_1's auc: 0.858696
[246]	training's auc: 0.879891	valid_1's auc: 0.858683
[247]	training's auc: 0.87993	valid_1's auc: 0.858681
[248]	training's auc: 0.880001	valid_1's auc: 0.858676
[249]	training's auc: 0.880056	valid_1's auc: 0.858682
[250]	training's auc: 0.88014	valid_1's auc: 0.858694
[251]	training's auc: 0.880255	valid_1's auc: 0.858696
[252]	training's auc: 0.880345	valid_1's auc: 0.858713
[253]	training's auc: 0.880424	valid_1's auc: 0.858689
[254]	training's auc: 0.880485	valid_1's auc: 0.858686
[255]	training's auc: 0.880564	valid_1's auc: 0.858689
[256]	training's auc: 0.880597	valid_1's auc: 0.858688
[257]	training's auc: 0.880638	valid_1's auc: 0.858694
[258]	training's auc: 0.880672	valid_1's auc: 0.858706
[259]	training's auc: 0.880698	valid_1's auc: 0.858699
[260]	training's auc: 0.880769	valid_1's auc: 0.858688
[261]	training's auc: 0.880878	valid_1's auc: 0.858717
[262]	training's auc: 0.880917	valid_1's auc: 0.85871
[263]	training's auc: 0.880949	valid_1's auc: 0.858701
[264]	training's auc: 0.881023	valid_1's auc: 0.8587
[265]	training's auc: 0.88112	valid_1's auc: 0.858697
[266]	training's auc: 0.881206	valid_1's auc: 0.858699
[267]	training's auc: 0.881238	valid_1's auc: 0.858695
[268]	training's auc: 0.881325	valid_1's auc: 0.85869
[269]	training's auc: 0.881412	valid_1's auc: 0.858724
[270]	training's auc: 0.881481	valid_1's auc: 0.858721
[271]	training's auc: 0.881536	valid_1's auc: 0.858731
[272]	training's auc: 0.881562	valid_1's auc: 0.85873
[273]	training's auc: 0.881597	valid_1's auc: 0.858722
[274]	training's auc: 0.881628	valid_1's auc: 0.858707
[275]	training's auc: 0.881672	valid_1's auc: 0.8587
[276]	training's auc: 0.88174	valid_1's auc: 0.858685
[277]	training's auc: 0.881809	valid_1's auc: 0.858697
[278]	training's auc: 0.881875	valid_1's auc: 0.858699
[279]	training's auc: 0.881961	valid_1's auc: 0.858731
[280]	training's auc: 0.882035	valid_1's auc: 0.85876
[281]	training's auc: 0.882118	valid_1's auc: 0.858775
[282]	training's auc: 0.882178	valid_1's auc: 0.858766
[283]	training's auc: 0.882272	valid_1's auc: 0.858764
[284]	training's auc: 0.88234	valid_1's auc: 0.85877
[285]	training's auc: 0.882403	valid_1's auc: 0.858765
[286]	training's auc: 0.882453	valid_1's auc: 0.858772
[287]	training's auc: 0.882493	valid_1's auc: 0.858777
[288]	training's auc: 0.882519	valid_1's auc: 0.858769
[289]	training's auc: 0.882556	valid_1's auc: 0.858767
[290]	training's auc: 0.882597	valid_1's auc: 0.858767
[291]	training's auc: 0.88262	valid_1's auc: 0.858761
[292]	training's auc: 0.88266	valid_1's auc: 0.858767
[293]	training's auc: 0.882729	valid_1's auc: 0.858767
[294]	training's auc: 0.882751	valid_1's auc: 0.858769
[295]	training's auc: 0.882811	valid_1's auc: 0.858761
[296]	training's auc: 0.882881	valid_1's auc: 0.858771
[297]	training's auc: 0.882921	valid_1's auc: 0.858759
[298]	training's auc: 0.882974	valid_1's auc: 0.858765
[299]	training's auc: 0.883031	valid_1's auc: 0.858757
[300]	training's auc: 0.883099	valid_1's auc: 0.858779
[301]	training's auc: 0.883152	valid_1's auc: 0.858787
[302]	training's auc: 0.883177	valid_1's auc: 0.858789
[303]	training's auc: 0.883227	valid_1's auc: 0.858792
[304]	training's auc: 0.883259	valid_1's auc: 0.858798
[305]	training's auc: 0.883279	valid_1's auc: 0.8588
[306]	training's auc: 0.883313	valid_1's auc: 0.858803
[307]	training's auc: 0.883345	valid_1's auc: 0.8588
[308]	training's auc: 0.883384	valid_1's auc: 0.858803
[309]	training's auc: 0.883474	valid_1's auc: 0.858826
[310]	training's auc: 0.883515	valid_1's auc: 0.858825
[311]	training's auc: 0.883615	valid_1's auc: 0.858848
[312]	training's auc: 0.883637	valid_1's auc: 0.858846
[313]	training's auc: 0.883743	valid_1's auc: 0.858847
[314]	training's auc: 0.883809	valid_1's auc: 0.858854
[315]	training's auc: 0.883909	valid_1's auc: 0.858895
[316]	training's auc: 0.883939	valid_1's auc: 0.858897
[317]	training's auc: 0.883975	valid_1's auc: 0.858919
[318]	training's auc: 0.884012	valid_1's auc: 0.858928
[319]	training's auc: 0.884049	valid_1's auc: 0.858923
[320]	training's auc: 0.884079	valid_1's auc: 0.85892
[321]	training's auc: 0.884103	valid_1's auc: 0.858912
[322]	training's auc: 0.884171	valid_1's auc: 0.858936
[323]	training's auc: 0.884253	valid_1's auc: 0.858944
[324]	training's auc: 0.884291	valid_1's auc: 0.858946
[325]	training's auc: 0.884348	valid_1's auc: 0.85896
[326]	training's auc: 0.884413	valid_1's auc: 0.858947
[327]	training's auc: 0.884453	valid_1's auc: 0.858944
[328]	training's auc: 0.884491	valid_1's auc: 0.858948
[329]	training's auc: 0.884564	valid_1's auc: 0.858965
[330]	training's auc: 0.884659	valid_1's auc: 0.858987
[331]	training's auc: 0.884692	valid_1's auc: 0.858991
[332]	training's auc: 0.884726	valid_1's auc: 0.858996
[333]	training's auc: 0.884766	valid_1's auc: 0.858995
[334]	training's auc: 0.884818	valid_1's auc: 0.859004
[335]	training's auc: 0.884848	valid_1's auc: 0.859007
[336]	training's auc: 0.88489	valid_1's auc: 0.859001
[337]	training's auc: 0.884911	valid_1's auc: 0.858998
[338]	training's auc: 0.88495	valid_1's auc: 0.858984
[339]	training's auc: 0.885003	valid_1's auc: 0.85898
[340]	training's auc: 0.885035	valid_1's auc: 0.858979
[341]	training's auc: 0.885097	valid_1's auc: 0.858964
[342]	training's auc: 0.885132	valid_1's auc: 0.85896
[343]	training's auc: 0.885226	valid_1's auc: 0.858971
[344]	training's auc: 0.885294	valid_1's auc: 0.858968
[345]	training's auc: 0.885376	valid_1's auc: 0.858972
[346]	training's auc: 0.885418	valid_1's auc: 0.858961
[347]	training's auc: 0.885455	valid_1's auc: 0.858959
[348]	training's auc: 0.885477	valid_1's auc: 0.858955
[349]	training's auc: 0.885484	valid_1's auc: 0.858953
[350]	training's auc: 0.885517	valid_1's auc: 0.858946
[351]	training's auc: 0.885561	valid_1's auc: 0.858961
[352]	training's auc: 0.885633	valid_1's auc: 0.858956
[353]	training's auc: 0.88566	valid_1's auc: 0.858957
[354]	training's auc: 0.885698	valid_1's auc: 0.858953
[355]	training's auc: 0.885766	valid_1's auc: 0.858955
[356]	training's auc: 0.885817	valid_1's auc: 0.858954
[357]	training's auc: 0.885851	valid_1's auc: 0.858956
[358]	training's auc: 0.885909	valid_1's auc: 0.858946
[359]	training's auc: 0.885937	valid_1's auc: 0.858946
[360]	training's auc: 0.885969	valid_1's auc: 0.858942
[361]	training's auc: 0.885991	valid_1's auc: 0.858942
[362]	training's auc: 0.886036	valid_1's auc: 0.858942
[363]	training's auc: 0.886074	valid_1's auc: 0.858943
[364]	training's auc: 0.886109	valid_1's auc: 0.85894
[365]	training's auc: 0.886127	valid_1's auc: 0.858932
[366]	training's auc: 0.886165	valid_1's auc: 0.85893
[367]	training's auc: 0.8862	valid_1's auc: 0.858919
[368]	training's auc: 0.886243	valid_1's auc: 0.858915
[369]	training's auc: 0.886281	valid_1's auc: 0.858922
[370]	training's auc: 0.886367	valid_1's auc: 0.858923
[371]	training's auc: 0.886415	valid_1's auc: 0.858939
[372]	training's auc: 0.886472	valid_1's auc: 0.858943
[373]	training's auc: 0.886505	valid_1's auc: 0.858944
[374]	training's auc: 0.886571	valid_1's auc: 0.858934
[375]	training's auc: 0.886648	valid_1's auc: 0.858954
[376]	training's auc: 0.886682	valid_1's auc: 0.858957
[377]	training's auc: 0.886687	valid_1's auc: 0.858958
[378]	training's auc: 0.886722	valid_1's auc: 0.858961
[379]	training's auc: 0.886754	valid_1's auc: 0.858965
[380]	training's auc: 0.886779	valid_1's auc: 0.858961
[381]	training's auc: 0.886812	valid_1's auc: 0.858963
[382]	training's auc: 0.886869	valid_1's auc: 0.858971
[383]	training's auc: 0.886941	valid_1's auc: 0.858977
[384]	training's auc: 0.886984	valid_1's auc: 0.858991
[385]	training's auc: 0.887031	valid_1's auc: 0.858988
[386]	training's auc: 0.887069	valid_1's auc: 0.858982
[387]	training's auc: 0.887143	valid_1's auc: 0.859002
[388]	training's auc: 0.887219	valid_1's auc: 0.859001
[389]	training's auc: 0.887265	valid_1's auc: 0.858997
[390]	training's auc: 0.887314	valid_1's auc: 0.85901
[391]	training's auc: 0.887338	valid_1's auc: 0.859018
[392]	training's auc: 0.887371	valid_1's auc: 0.859019
[393]	training's auc: 0.887411	valid_1's auc: 0.859018
[394]	training's auc: 0.887456	valid_1's auc: 0.859013
[395]	training's auc: 0.887472	valid_1's auc: 0.859012
[396]	training's auc: 0.887504	valid_1's auc: 0.859007
[397]	training's auc: 0.887538	valid_1's auc: 0.859005
[398]	training's auc: 0.88757	valid_1's auc: 0.859008
[399]	training's auc: 0.887621	valid_1's auc: 0.859006
[400]	training's auc: 0.887671	valid_1's auc: 0.85902
