[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.862005	valid_1's auc: 0.853651
[94]	training's auc: 0.862077	valid_1's auc: 0.853669
[95]	training's auc: 0.862262	valid_1's auc: 0.853775
[96]	training's auc: 0.862367	valid_1's auc: 0.853772
[97]	training's auc: 0.862494	valid_1's auc: 0.853837
[98]	training's auc: 0.86269	valid_1's auc: 0.85395
[99]	training's auc: 0.862812	valid_1's auc: 0.854013
[100]	training's auc: 0.862959	valid_1's auc: 0.85409
[101]	training's auc: 0.863022	valid_1's auc: 0.854105
[102]	training's auc: 0.863114	valid_1's auc: 0.854166
[103]	training's auc: 0.863205	valid_1's auc: 0.854188
[104]	training's auc: 0.863274	valid_1's auc: 0.854209
[105]	training's auc: 0.86343	valid_1's auc: 0.854266
[106]	training's auc: 0.863475	valid_1's auc: 0.854253
[107]	training's auc: 0.863547	valid_1's auc: 0.854279
[108]	training's auc: 0.863632	valid_1's auc: 0.854318
[109]	training's auc: 0.863817	valid_1's auc: 0.854394
[110]	training's auc: 0.863873	valid_1's auc: 0.854388
[111]	training's auc: 0.863936	valid_1's auc: 0.854394
[112]	training's auc: 0.864074	valid_1's auc: 0.854492
[113]	training's auc: 0.864124	valid_1's auc: 0.854483
[114]	training's auc: 0.864248	valid_1's auc: 0.854541
[115]	training's auc: 0.864362	valid_1's auc: 0.854627
[116]	training's auc: 0.864434	valid_1's auc: 0.854632
[117]	training's auc: 0.864532	valid_1's auc: 0.854669
[118]	training's auc: 0.864669	valid_1's auc: 0.854721
[119]	training's auc: 0.864748	valid_1's auc: 0.854716
[120]	training's auc: 0.864818	valid_1's auc: 0.854721
[121]	training's auc: 0.864884	valid_1's auc: 0.854731
[122]	training's auc: 0.864967	valid_1's auc: 0.854735
[123]	training's auc: 0.865037	valid_1's auc: 0.854721
[124]	training's auc: 0.865117	valid_1's auc: 0.854752
[125]	training's auc: 0.865269	valid_1's auc: 0.854855
[126]	training's auc: 0.86532	valid_1's auc: 0.854852
[127]	training's auc: 0.865452	valid_1's auc: 0.854919
[128]	training's auc: 0.865568	valid_1's auc: 0.854985
[129]	training's auc: 0.865661	valid_1's auc: 0.855026
[130]	training's auc: 0.86575	valid_1's auc: 0.855057
[131]	training's auc: 0.865806	valid_1's auc: 0.855058
[132]	training's auc: 0.865865	valid_1's auc: 0.85506
[133]	training's auc: 0.865997	valid_1's auc: 0.855112
[134]	training's auc: 0.866023	valid_1's auc: 0.855104
[135]	training's auc: 0.866162	valid_1's auc: 0.855205
[136]	training's auc: 0.866235	valid_1's auc: 0.855231
[137]	training's auc: 0.866324	valid_1's auc: 0.855276
[138]	training's auc: 0.866389	valid_1's auc: 0.855277
[139]	training's auc: 0.866474	valid_1's auc: 0.855262
[140]	training's auc: 0.866548	valid_1's auc: 0.855286
[141]	training's auc: 0.866641	valid_1's auc: 0.855329
[142]	training's auc: 0.866733	valid_1's auc: 0.855348
[143]	training's auc: 0.866812	valid_1's auc: 0.855395
[144]	training's auc: 0.866941	valid_1's auc: 0.855485
[145]	training's auc: 0.866992	valid_1's auc: 0.855489
[146]	training's auc: 0.867097	valid_1's auc: 0.855528
[147]	training's auc: 0.867155	valid_1's auc: 0.855529
[148]	training's auc: 0.867285	valid_1's auc: 0.855563
[149]	training's auc: 0.86734	valid_1's auc: 0.855562
[150]	training's auc: 0.867477	valid_1's auc: 0.855598
[151]	training's auc: 0.86752	valid_1's auc: 0.855596
[152]	training's auc: 0.867557	valid_1's auc: 0.855589
[153]	training's auc: 0.867637	valid_1's auc: 0.855633
[154]	training's auc: 0.867698	valid_1's auc: 0.855639
[155]	training's auc: 0.867738	valid_1's auc: 0.855648
[156]	training's auc: 0.867805	valid_1's auc: 0.85566
[157]	training's auc: 0.867864	valid_1's auc: 0.855661
[158]	training's auc: 0.867951	valid_1's auc: 0.855701
[159]	training's auc: 0.868079	valid_1's auc: 0.855751
[160]	training's auc: 0.86813	valid_1's auc: 0.855763
[161]	training's auc: 0.868184	valid_1's auc: 0.855743
[162]	training's auc: 0.868234	valid_1's auc: 0.855749
[163]	training's auc: 0.868272	valid_1's auc: 0.855738
[164]	training's auc: 0.868308	valid_1's auc: 0.855732
[165]	training's auc: 0.868348	valid_1's auc: 0.855731
[166]	training's auc: 0.868465	valid_1's auc: 0.855756
[167]	training's auc: 0.868503	valid_1's auc: 0.855749
[168]	training's auc: 0.868654	valid_1's auc: 0.855823
[169]	training's auc: 0.868738	valid_1's auc: 0.855852
[170]	training's auc: 0.868799	valid_1's auc: 0.855858
[171]	training's auc: 0.868836	valid_1's auc: 0.855866
[172]	training's auc: 0.868921	valid_1's auc: 0.85587
[173]	training's auc: 0.868962	valid_1's auc: 0.855864
[174]	training's auc: 0.869083	valid_1's auc: 0.855921
[175]	training's auc: 0.869247	valid_1's auc: 0.856043
[176]	training's auc: 0.869308	valid_1's auc: 0.85605
[177]	training's auc: 0.869444	valid_1's auc: 0.856101
[178]	training's auc: 0.86946	valid_1's auc: 0.856103
[179]	training's auc: 0.869572	valid_1's auc: 0.856134
[180]	training's auc: 0.869688	valid_1's auc: 0.856213
[181]	training's auc: 0.869728	valid_1's auc: 0.856216
[182]	training's auc: 0.869802	valid_1's auc: 0.856249
[183]	training's auc: 0.869865	valid_1's auc: 0.856253
[184]	training's auc: 0.869929	valid_1's auc: 0.85627
[185]	training's auc: 0.869979	valid_1's auc: 0.856284
[186]	training's auc: 0.870037	valid_1's auc: 0.856284
[187]	training's auc: 0.870134	valid_1's auc: 0.856316
[188]	training's auc: 0.87025	valid_1's auc: 0.856362
[189]	training's auc: 0.870338	valid_1's auc: 0.856402
[190]	training's auc: 0.870377	valid_1's auc: 0.856391
[191]	training's auc: 0.870406	valid_1's auc: 0.856383
[192]	training's auc: 0.870499	valid_1's auc: 0.856401
[193]	training's auc: 0.870573	valid_1's auc: 0.856416
[194]	training's auc: 0.87065	valid_1's auc: 0.85641
[195]	training's auc: 0.870727	valid_1's auc: 0.85645
[196]	training's auc: 0.87076	valid_1's auc: 0.856456
[197]	training's auc: 0.87083	valid_1's auc: 0.856475
[198]	training's auc: 0.870869	valid_1's auc: 0.856478
[199]	training's auc: 0.870926	valid_1's auc: 0.856486
[200]	training's auc: 0.871032	valid_1's auc: 0.856533
[201]	training's auc: 0.871067	valid_1's auc: 0.856524
[202]	training's auc: 0.871099	valid_1's auc: 0.856519
[203]	training's auc: 0.871178	valid_1's auc: 0.856549
[204]	training's auc: 0.871284	valid_1's auc: 0.856563
[205]	training's auc: 0.871321	valid_1's auc: 0.856555
[206]	training's auc: 0.871407	valid_1's auc: 0.856577
