[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.860992	valid_1's auc: 0.856008
[94]	training's auc: 0.861095	valid_1's auc: 0.856044
[95]	training's auc: 0.861286	valid_1's auc: 0.856143
[96]	training's auc: 0.861368	valid_1's auc: 0.856176
[97]	training's auc: 0.861544	valid_1's auc: 0.856272
[98]	training's auc: 0.861637	valid_1's auc: 0.856289
[99]	training's auc: 0.861746	valid_1's auc: 0.856284
[100]	training's auc: 0.861814	valid_1's auc: 0.856378
[101]	training's auc: 0.861878	valid_1's auc: 0.856465
[102]	training's auc: 0.861978	valid_1's auc: 0.85651
[103]	training's auc: 0.862153	valid_1's auc: 0.856608
[104]	training's auc: 0.862222	valid_1's auc: 0.856654
[105]	training's auc: 0.86233	valid_1's auc: 0.85672
[106]	training's auc: 0.862508	valid_1's auc: 0.85682
[107]	training's auc: 0.862624	valid_1's auc: 0.856865
[108]	training's auc: 0.862728	valid_1's auc: 0.856881
[109]	training's auc: 0.86284	valid_1's auc: 0.856908
[110]	training's auc: 0.862917	valid_1's auc: 0.856909
[111]	training's auc: 0.863071	valid_1's auc: 0.856979
[112]	training's auc: 0.863196	valid_1's auc: 0.857025
[113]	training's auc: 0.863246	valid_1's auc: 0.85704
[114]	training's auc: 0.863307	valid_1's auc: 0.857063
[115]	training's auc: 0.86337	valid_1's auc: 0.857141
[116]	training's auc: 0.863476	valid_1's auc: 0.857205
[117]	training's auc: 0.863597	valid_1's auc: 0.857287
[118]	training's auc: 0.863676	valid_1's auc: 0.857292
[119]	training's auc: 0.863815	valid_1's auc: 0.857379
[120]	training's auc: 0.86384	valid_1's auc: 0.857428
[121]	training's auc: 0.863917	valid_1's auc: 0.857447
[122]	training's auc: 0.863995	valid_1's auc: 0.857444
[123]	training's auc: 0.864012	valid_1's auc: 0.85748
[124]	training's auc: 0.864117	valid_1's auc: 0.857523
[125]	training's auc: 0.864186	valid_1's auc: 0.857547
[126]	training's auc: 0.864271	valid_1's auc: 0.857561
[127]	training's auc: 0.864384	valid_1's auc: 0.857609
[128]	training's auc: 0.864515	valid_1's auc: 0.857679
[129]	training's auc: 0.864634	valid_1's auc: 0.857765
[130]	training's auc: 0.864772	valid_1's auc: 0.857824
[131]	training's auc: 0.864843	valid_1's auc: 0.857833
[132]	training's auc: 0.865009	valid_1's auc: 0.857897
[133]	training's auc: 0.865091	valid_1's auc: 0.8579
[134]	training's auc: 0.865182	valid_1's auc: 0.857944
[135]	training's auc: 0.865325	valid_1's auc: 0.858028
[136]	training's auc: 0.865456	valid_1's auc: 0.8581
[137]	training's auc: 0.865551	valid_1's auc: 0.858152
[138]	training's auc: 0.865677	valid_1's auc: 0.858213
[139]	training's auc: 0.865804	valid_1's auc: 0.858283
[140]	training's auc: 0.865924	valid_1's auc: 0.858333
[141]	training's auc: 0.866037	valid_1's auc: 0.85839
[142]	training's auc: 0.866126	valid_1's auc: 0.858427
[143]	training's auc: 0.866174	valid_1's auc: 0.858408
[144]	training's auc: 0.866232	valid_1's auc: 0.858475
[145]	training's auc: 0.866316	valid_1's auc: 0.858559
[146]	training's auc: 0.866411	valid_1's auc: 0.858597
[147]	training's auc: 0.866469	valid_1's auc: 0.858608
[148]	training's auc: 0.866537	valid_1's auc: 0.85863
[149]	training's auc: 0.866622	valid_1's auc: 0.858656
[150]	training's auc: 0.866688	valid_1's auc: 0.858706
[151]	training's auc: 0.866736	valid_1's auc: 0.85874
[152]	training's auc: 0.866782	valid_1's auc: 0.858735
[153]	training's auc: 0.866876	valid_1's auc: 0.858749
[154]	training's auc: 0.866939	valid_1's auc: 0.858738
[155]	training's auc: 0.866993	valid_1's auc: 0.858738
[156]	training's auc: 0.867035	valid_1's auc: 0.858735
[157]	training's auc: 0.86706	valid_1's auc: 0.858735
[158]	training's auc: 0.867136	valid_1's auc: 0.858756
[159]	training's auc: 0.86717	valid_1's auc: 0.858802
[160]	training's auc: 0.867256	valid_1's auc: 0.858848
[161]	training's auc: 0.867351	valid_1's auc: 0.858878
[162]	training's auc: 0.867484	valid_1's auc: 0.858942
[163]	training's auc: 0.867554	valid_1's auc: 0.858947
[164]	training's auc: 0.867608	valid_1's auc: 0.858945
[165]	training's auc: 0.867656	valid_1's auc: 0.858931
[166]	training's auc: 0.867735	valid_1's auc: 0.85891
[167]	training's auc: 0.867786	valid_1's auc: 0.85892
[168]	training's auc: 0.867865	valid_1's auc: 0.858965
[169]	training's auc: 0.867896	valid_1's auc: 0.858959
[170]	training's auc: 0.867938	valid_1's auc: 0.858965
[171]	training's auc: 0.867997	valid_1's auc: 0.858957
[172]	training's auc: 0.868009	valid_1's auc: 0.858968
[173]	training's auc: 0.868085	valid_1's auc: 0.85902
[174]	training's auc: 0.868132	valid_1's auc: 0.859014
[175]	training's auc: 0.868167	valid_1's auc: 0.859043
[176]	training's auc: 0.868226	valid_1's auc: 0.859057
[177]	training's auc: 0.868253	valid_1's auc: 0.85907
[178]	training's auc: 0.86828	valid_1's auc: 0.859066
[179]	training's auc: 0.868359	valid_1's auc: 0.859082
[180]	training's auc: 0.868438	valid_1's auc: 0.8591
[181]	training's auc: 0.868503	valid_1's auc: 0.859079
[182]	training's auc: 0.868563	valid_1's auc: 0.859104
[183]	training's auc: 0.868661	valid_1's auc: 0.859145
[184]	training's auc: 0.868701	valid_1's auc: 0.859145
[185]	training's auc: 0.868725	valid_1's auc: 0.859161
[186]	training's auc: 0.868856	valid_1's auc: 0.85923
[187]	training's auc: 0.868917	valid_1's auc: 0.859266
[188]	training's auc: 0.868989	valid_1's auc: 0.85929
[189]	training's auc: 0.869069	valid_1's auc: 0.859321
[190]	training's auc: 0.869142	valid_1's auc: 0.859333
[191]	training's auc: 0.869217	valid_1's auc: 0.85934
[192]	training's auc: 0.869296	valid_1's auc: 0.859377
[193]	training's auc: 0.869387	valid_1's auc: 0.859403
[194]	training's auc: 0.869478	valid_1's auc: 0.85947
[195]	training's auc: 0.869545	valid_1's auc: 0.859472
[196]	training's auc: 0.869648	valid_1's auc: 0.859547
[197]	training's auc: 0.869698	valid_1's auc: 0.859563
[198]	training's auc: 0.869763	valid_1's auc: 0.859598
[199]	training's auc: 0.869815	valid_1's auc: 0.859592
[200]	training's auc: 0.869858	valid_1's auc: 0.859593
[201]	training's auc: 0.869908	valid_1's auc: 0.859583
[202]	training's auc: 0.870008	valid_1's auc: 0.85962
[203]	training's auc: 0.870081	valid_1's auc: 0.859659
[204]	training's auc: 0.8701	valid_1's auc: 0.859664
[205]	training's auc: 0.870183	valid_1's auc: 0.859714
[206]	training's auc: 0.870223	valid_1's auc: 0.85976
[207]	training's auc: 0.870314	valid_1's auc: 0.859791
[208]	training's auc: 0.870346	valid_1's auc: 0.859821
[209]	training's auc: 0.870387	valid_1's auc: 0.859822
[210]	training's auc: 0.870459	valid_1's auc: 0.859865
[211]	training's auc: 0.870505	valid_1's auc: 0.859867
[212]	training's auc: 0.870571	valid_1's auc: 0.859866
[213]	training's auc: 0.870596	valid_1's auc: 0.859891
[214]	training's auc: 0.870699	valid_1's auc: 0.859922
[215]	training's auc: 0.870762	valid_1's auc: 0.859941
[216]	training's auc: 0.870802	valid_1's auc: 0.859948
[217]	training's auc: 0.870882	valid_1's auc: 0.859988
[218]	training's auc: 0.87095	valid_1's auc: 0.859986
[219]	training's auc: 0.870982	valid_1's auc: 0.860011
[220]	training's auc: 0.871035	valid_1's auc: 0.860018
[221]	training's auc: 0.871065	valid_1's auc: 0.860034
[222]	training's auc: 0.871082	valid_1's auc: 0.860041
[223]	training's auc: 0.871152	valid_1's auc: 0.860068
[224]	training's auc: 0.871208	valid_1's auc: 0.860055
[225]	training's auc: 0.871242	valid_1's auc: 0.86009
[226]	training's auc: 0.871304	valid_1's auc: 0.860093
[227]	training's auc: 0.871344	valid_1's auc: 0.86013
[228]	training's auc: 0.871404	valid_1's auc: 0.86015
[229]	training's auc: 0.871446	valid_1's auc: 0.860165
[230]	training's auc: 0.871472	valid_1's auc: 0.860177
[231]	training's auc: 0.871541	valid_1's auc: 0.860204
[232]	training's auc: 0.871562	valid_1's auc: 0.86021
[233]	training's auc: 0.871603	valid_1's auc: 0.860214
[234]	training's auc: 0.871675	valid_1's auc: 0.86025
[235]	training's auc: 0.871709	valid_1's auc: 0.860261
[236]	training's auc: 0.871751	valid_1's auc: 0.860241
[237]	training's auc: 0.871774	valid_1's auc: 0.860263
[238]	training's auc: 0.871819	valid_1's auc: 0.860282
[239]	training's auc: 0.871857	valid_1's auc: 0.860257
[240]	training's auc: 0.87194	valid_1's auc: 0.86026
[241]	training's auc: 0.871958	valid_1's auc: 0.860263
[242]	training's auc: 0.871994	valid_1's auc: 0.860274
[243]	training's auc: 0.872035	valid_1's auc: 0.860263
[244]	training's auc: 0.872074	valid_1's auc: 0.860253
[245]	training's auc: 0.872084	valid_1's auc: 0.860249
[246]	training's auc: 0.872131	valid_1's auc: 0.860267
[247]	training's auc: 0.872177	valid_1's auc: 0.860262
[248]	training's auc: 0.872249	valid_1's auc: 0.860261
[249]	training's auc: 0.872293	valid_1's auc: 0.860243
[250]	training's auc: 0.872329	valid_1's auc: 0.860248
[251]	training's auc: 0.872371	valid_1's auc: 0.86024
[252]	training's auc: 0.872406	valid_1's auc: 0.860233
[253]	training's auc: 0.87244	valid_1's auc: 0.860239
[254]	training's auc: 0.872457	valid_1's auc: 0.860237
[255]	training's auc: 0.872484	valid_1's auc: 0.860257
[256]	training's auc: 0.87254	valid_1's auc: 0.860266
[257]	training's auc: 0.87258	valid_1's auc: 0.860261
[258]	training's auc: 0.872609	valid_1's auc: 0.860289
[259]	training's auc: 0.872661	valid_1's auc: 0.860299
[260]	training's auc: 0.872681	valid_1's auc: 0.860318
[261]	training's auc: 0.872727	valid_1's auc: 0.860329
[262]	training's auc: 0.872774	valid_1's auc: 0.860358
[263]	training's auc: 0.872824	valid_1's auc: 0.86034
[264]	training's auc: 0.872877	valid_1's auc: 0.860357
[265]	training's auc: 0.872892	valid_1's auc: 0.860373
[266]	training's auc: 0.872925	valid_1's auc: 0.860377
[267]	training's auc: 0.872974	valid_1's auc: 0.860376
[268]	training's auc: 0.873017	valid_1's auc: 0.860384
[269]	training's auc: 0.873063	valid_1's auc: 0.860354
[270]	training's auc: 0.873101	valid_1's auc: 0.860365
[271]	training's auc: 0.873142	valid_1's auc: 0.860366
[272]	training's auc: 0.873193	valid_1's auc: 0.8604
[273]	training's auc: 0.873213	valid_1's auc: 0.860436
[274]	training's auc: 0.87324	valid_1's auc: 0.860434
[275]	training's auc: 0.87328	valid_1's auc: 0.860436
[276]	training's auc: 0.873295	valid_1's auc: 0.860445
[277]	training's auc: 0.873318	valid_1's auc: 0.860458
