[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.858679	valid_1's auc: 0.854081
[94]	training's auc: 0.858789	valid_1's auc: 0.854133
[95]	training's auc: 0.858871	valid_1's auc: 0.85417
[96]	training's auc: 0.85896	valid_1's auc: 0.854202
[97]	training's auc: 0.859065	valid_1's auc: 0.85425
[98]	training's auc: 0.859149	valid_1's auc: 0.854287
[99]	training's auc: 0.859298	valid_1's auc: 0.854378
[100]	training's auc: 0.859413	valid_1's auc: 0.85444
[101]	training's auc: 0.859485	valid_1's auc: 0.854452
[102]	training's auc: 0.859626	valid_1's auc: 0.854544
[103]	training's auc: 0.859712	valid_1's auc: 0.854572
[104]	training's auc: 0.85984	valid_1's auc: 0.854639
[105]	training's auc: 0.859935	valid_1's auc: 0.854682
[106]	training's auc: 0.859993	valid_1's auc: 0.854689
[107]	training's auc: 0.860101	valid_1's auc: 0.854739
[108]	training's auc: 0.86022	valid_1's auc: 0.854819
[109]	training's auc: 0.860343	valid_1's auc: 0.854875
[110]	training's auc: 0.86045	valid_1's auc: 0.854929
[111]	training's auc: 0.860536	valid_1's auc: 0.854974
[112]	training's auc: 0.860657	valid_1's auc: 0.855063
[113]	training's auc: 0.860738	valid_1's auc: 0.855078
[114]	training's auc: 0.860817	valid_1's auc: 0.855102
[115]	training's auc: 0.860942	valid_1's auc: 0.855196
[116]	training's auc: 0.861026	valid_1's auc: 0.855258
[117]	training's auc: 0.861078	valid_1's auc: 0.855264
[118]	training's auc: 0.861157	valid_1's auc: 0.855289
[119]	training's auc: 0.861214	valid_1's auc: 0.855295
[120]	training's auc: 0.861351	valid_1's auc: 0.855385
[121]	training's auc: 0.861431	valid_1's auc: 0.855406
[122]	training's auc: 0.861548	valid_1's auc: 0.855454
[123]	training's auc: 0.861595	valid_1's auc: 0.855465
[124]	training's auc: 0.861644	valid_1's auc: 0.855476
[125]	training's auc: 0.861823	valid_1's auc: 0.855587
[126]	training's auc: 0.861883	valid_1's auc: 0.855608
[127]	training's auc: 0.861942	valid_1's auc: 0.855619
[128]	training's auc: 0.862038	valid_1's auc: 0.855673
[129]	training's auc: 0.862136	valid_1's auc: 0.855701
[130]	training's auc: 0.862225	valid_1's auc: 0.855709
[131]	training's auc: 0.86228	valid_1's auc: 0.855721
[132]	training's auc: 0.862332	valid_1's auc: 0.855736
[133]	training's auc: 0.862399	valid_1's auc: 0.855747
[134]	training's auc: 0.862466	valid_1's auc: 0.855754
[135]	training's auc: 0.862551	valid_1's auc: 0.855801
[136]	training's auc: 0.862661	valid_1's auc: 0.855873
[137]	training's auc: 0.862698	valid_1's auc: 0.855881
[138]	training's auc: 0.862849	valid_1's auc: 0.855952
[139]	training's auc: 0.862922	valid_1's auc: 0.855975
[140]	training's auc: 0.862981	valid_1's auc: 0.855996
[141]	training's auc: 0.863091	valid_1's auc: 0.856032
[142]	training's auc: 0.863176	valid_1's auc: 0.856089
[143]	training's auc: 0.863278	valid_1's auc: 0.856126
[144]	training's auc: 0.863336	valid_1's auc: 0.856156
[145]	training's auc: 0.863431	valid_1's auc: 0.856195
[146]	training's auc: 0.863484	valid_1's auc: 0.85621
[147]	training's auc: 0.863545	valid_1's auc: 0.856223
[148]	training's auc: 0.863678	valid_1's auc: 0.856286
[149]	training's auc: 0.863791	valid_1's auc: 0.856321
[150]	training's auc: 0.863872	valid_1's auc: 0.856347
[151]	training's auc: 0.863913	valid_1's auc: 0.856346
[152]	training's auc: 0.863952	valid_1's auc: 0.856345
[153]	training's auc: 0.864068	valid_1's auc: 0.856394
[154]	training's auc: 0.864134	valid_1's auc: 0.856436
[155]	training's auc: 0.864245	valid_1's auc: 0.856472
[156]	training's auc: 0.864304	valid_1's auc: 0.856479
[157]	training's auc: 0.864385	valid_1's auc: 0.856519
[158]	training's auc: 0.864442	valid_1's auc: 0.856559
[159]	training's auc: 0.864504	valid_1's auc: 0.856584
[160]	training's auc: 0.864601	valid_1's auc: 0.856637
[161]	training's auc: 0.864639	valid_1's auc: 0.856643
[162]	training's auc: 0.864676	valid_1's auc: 0.85664
[163]	training's auc: 0.864732	valid_1's auc: 0.856644
[164]	training's auc: 0.864847	valid_1's auc: 0.856679
[165]	training's auc: 0.864961	valid_1's auc: 0.856725
[166]	training's auc: 0.865067	valid_1's auc: 0.856768
[167]	training's auc: 0.865125	valid_1's auc: 0.856773
[168]	training's auc: 0.865164	valid_1's auc: 0.856788
[169]	training's auc: 0.865249	valid_1's auc: 0.856847
[170]	training's auc: 0.865296	valid_1's auc: 0.856856
[171]	training's auc: 0.865335	valid_1's auc: 0.856866
[172]	training's auc: 0.865372	valid_1's auc: 0.856864
[173]	training's auc: 0.865471	valid_1's auc: 0.856897
[174]	training's auc: 0.865562	valid_1's auc: 0.856928
[175]	training's auc: 0.865665	valid_1's auc: 0.856964
[176]	training's auc: 0.865765	valid_1's auc: 0.857029
[177]	training's auc: 0.865846	valid_1's auc: 0.857064
[178]	training's auc: 0.865963	valid_1's auc: 0.857122
[179]	training's auc: 0.866046	valid_1's auc: 0.857146
[180]	training's auc: 0.866097	valid_1's auc: 0.857148
[181]	training's auc: 0.866137	valid_1's auc: 0.857156
[182]	training's auc: 0.866169	valid_1's auc: 0.857155
[183]	training's auc: 0.866212	valid_1's auc: 0.857156
[184]	training's auc: 0.866269	valid_1's auc: 0.857177
[185]	training's auc: 0.866309	valid_1's auc: 0.857178
[186]	training's auc: 0.866437	valid_1's auc: 0.857236
[187]	training's auc: 0.866537	valid_1's auc: 0.857286
[188]	training's auc: 0.866675	valid_1's auc: 0.857368
[189]	training's auc: 0.866744	valid_1's auc: 0.857382
