[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[115]	training's auc: 0.868959	valid_1's auc: 0.856629
[116]	training's auc: 0.869033	valid_1's auc: 0.856698
[117]	training's auc: 0.869106	valid_1's auc: 0.856697
[118]	training's auc: 0.869215	valid_1's auc: 0.856741
[119]	training's auc: 0.869286	valid_1's auc: 0.856764
[120]	training's auc: 0.869357	valid_1's auc: 0.856767
[121]	training's auc: 0.869379	valid_1's auc: 0.856745
[122]	training's auc: 0.869421	valid_1's auc: 0.856734
[123]	training's auc: 0.869526	valid_1's auc: 0.856743
[124]	training's auc: 0.869629	valid_1's auc: 0.856705
[125]	training's auc: 0.869768	valid_1's auc: 0.856769
[126]	training's auc: 0.869862	valid_1's auc: 0.85679
[127]	training's auc: 0.869909	valid_1's auc: 0.85678
[128]	training's auc: 0.870002	valid_1's auc: 0.856796
[129]	training's auc: 0.870036	valid_1's auc: 0.856832
[130]	training's auc: 0.870101	valid_1's auc: 0.856846
[131]	training's auc: 0.870165	valid_1's auc: 0.85686
[132]	training's auc: 0.870177	valid_1's auc: 0.856834
[133]	training's auc: 0.870254	valid_1's auc: 0.856859
[134]	training's auc: 0.870324	valid_1's auc: 0.85686
[135]	training's auc: 0.870393	valid_1's auc: 0.856842
[136]	training's auc: 0.870475	valid_1's auc: 0.856841
[137]	training's auc: 0.870551	valid_1's auc: 0.856825
[138]	training's auc: 0.870633	valid_1's auc: 0.856805
[139]	training's auc: 0.870724	valid_1's auc: 0.856857
[140]	training's auc: 0.870786	valid_1's auc: 0.856854
[141]	training's auc: 0.870827	valid_1's auc: 0.856917
[142]	training's auc: 0.870879	valid_1's auc: 0.856911
[143]	training's auc: 0.870896	valid_1's auc: 0.856902
[144]	training's auc: 0.871017	valid_1's auc: 0.856893
[145]	training's auc: 0.871064	valid_1's auc: 0.856959
[146]	training's auc: 0.871082	valid_1's auc: 0.856957
[147]	training's auc: 0.87115	valid_1's auc: 0.856979
[148]	training's auc: 0.87123	valid_1's auc: 0.856991
[149]	training's auc: 0.871309	valid_1's auc: 0.856983
[150]	training's auc: 0.871382	valid_1's auc: 0.856998
[151]	training's auc: 0.87138	valid_1's auc: 0.856977
[152]	training's auc: 0.871428	valid_1's auc: 0.856967
[153]	training's auc: 0.871537	valid_1's auc: 0.856961
[154]	training's auc: 0.871587	valid_1's auc: 0.856945
[155]	training's auc: 0.871633	valid_1's auc: 0.856976
[156]	training's auc: 0.871687	valid_1's auc: 0.856977
[157]	training's auc: 0.871727	valid_1's auc: 0.856963
[158]	training's auc: 0.871785	valid_1's auc: 0.856951
[159]	training's auc: 0.871846	valid_1's auc: 0.856948
[160]	training's auc: 0.871906	valid_1's auc: 0.856949
[161]	training's auc: 0.871959	valid_1's auc: 0.85694
[162]	training's auc: 0.872068	valid_1's auc: 0.856943
[163]	training's auc: 0.872101	valid_1's auc: 0.856969
[164]	training's auc: 0.872117	valid_1's auc: 0.856965
[165]	training's auc: 0.872143	valid_1's auc: 0.856997
[166]	training's auc: 0.872179	valid_1's auc: 0.857034
[167]	training's auc: 0.872264	valid_1's auc: 0.857031
[168]	training's auc: 0.872303	valid_1's auc: 0.85707
[169]	training's auc: 0.872308	valid_1's auc: 0.857057
[170]	training's auc: 0.872397	valid_1's auc: 0.857091
[171]	training's auc: 0.872469	valid_1's auc: 0.8571
[172]	training's auc: 0.872513	valid_1's auc: 0.857149
[173]	training's auc: 0.872523	valid_1's auc: 0.85715
[174]	training's auc: 0.872572	valid_1's auc: 0.857154
[175]	training's auc: 0.872598	valid_1's auc: 0.857175
[176]	training's auc: 0.872628	valid_1's auc: 0.857162
[177]	training's auc: 0.872626	valid_1's auc: 0.857143
[178]	training's auc: 0.87268	valid_1's auc: 0.857148
[179]	training's auc: 0.87272	valid_1's auc: 0.857152
[180]	training's auc: 0.872711	valid_1's auc: 0.85713
[181]	training's auc: 0.872798	valid_1's auc: 0.857158
[182]	training's auc: 0.872878	valid_1's auc: 0.857162
[183]	training's auc: 0.872948	valid_1's auc: 0.857154
[184]	training's auc: 0.873022	valid_1's auc: 0.857142
[185]	training's auc: 0.873087	valid_1's auc: 0.857151
[186]	training's auc: 0.873124	valid_1's auc: 0.857188
[187]	training's auc: 0.873163	valid_1's auc: 0.857225
[188]	training's auc: 0.873219	valid_1's auc: 0.857231
[189]	training's auc: 0.873229	valid_1's auc: 0.857235
[190]	training's auc: 0.873262	valid_1's auc: 0.85724
[191]	training's auc: 0.873333	valid_1's auc: 0.85724
[192]	training's auc: 0.873331	valid_1's auc: 0.857232
[193]	training's auc: 0.873384	valid_1's auc: 0.857229
[194]	training's auc: 0.873422	valid_1's auc: 0.857226
[195]	training's auc: 0.873458	valid_1's auc: 0.857223
[196]	training's auc: 0.87354	valid_1's auc: 0.85722
[197]	training's auc: 0.873588	valid_1's auc: 0.85723
[198]	training's auc: 0.873665	valid_1's auc: 0.857243
[199]	training's auc: 0.873678	valid_1's auc: 0.857228
[200]	training's auc: 0.873714	valid_1's auc: 0.857255
[201]	training's auc: 0.873761	valid_1's auc: 0.857261
[202]	training's auc: 0.87384	valid_1's auc: 0.857281
[203]	training's auc: 0.873872	valid_1's auc: 0.85731
[204]	training's auc: 0.873873	valid_1's auc: 0.857288
[205]	training's auc: 0.87389	valid_1's auc: 0.85731
[206]	training's auc: 0.873918	valid_1's auc: 0.857332
[207]	training's auc: 0.873913	valid_1's auc: 0.857311
[208]	training's auc: 0.873924	valid_1's auc: 0.857314
[209]	training's auc: 0.873978	valid_1's auc: 0.857313
[210]	training's auc: 0.873983	valid_1's auc: 0.857299
[211]	training's auc: 0.87403	valid_1's auc: 0.8573
[212]	training's auc: 0.874061	valid_1's auc: 0.857288
[213]	training's auc: 0.874116	valid_1's auc: 0.857288
[214]	training's auc: 0.874199	valid_1's auc: 0.857297
[215]	training's auc: 0.874249	valid_1's auc: 0.857316
[216]	training's auc: 0.874314	valid_1's auc: 0.857311
[217]	training's auc: 0.874364	valid_1's auc: 0.857318
[218]	training's auc: 0.874416	valid_1's auc: 0.857322
[219]	training's auc: 0.874423	valid_1's auc: 0.857314
[220]	training's auc: 0.874462	valid_1's auc: 0.857311
[221]	training's auc: 0.874461	valid_1's auc: 0.857303
[222]	training's auc: 0.874525	valid_1's auc: 0.857287
[223]	training's auc: 0.874567	valid_1's auc: 0.857296
[224]	training's auc: 0.874612	valid_1's auc: 0.857295
[225]	training's auc: 0.87467	valid_1's auc: 0.857297
[226]	training's auc: 0.874694	valid_1's auc: 0.857306
[227]	training's auc: 0.874763	valid_1's auc: 0.857314
[228]	training's auc: 0.874789	valid_1's auc: 0.857326
[229]	training's auc: 0.874841	valid_1's auc: 0.857318
[230]	training's auc: 0.874869	valid_1's auc: 0.857312
[231]	training's auc: 0.874925	valid_1's auc: 0.857299
[232]	training's auc: 0.874933	valid_1's auc: 0.857291
[233]	training's auc: 0.874991	valid_1's auc: 0.857271
[234]	training's auc: 0.875026	valid_1's auc: 0.857279
[235]	training's auc: 0.875041	valid_1's auc: 0.857293
[236]	training's auc: 0.875109	valid_1's auc: 0.8573
[237]	training's auc: 0.87514	valid_1's auc: 0.857308
[238]	training's auc: 0.875148	valid_1's auc: 0.857317
[239]	training's auc: 0.875159	valid_1's auc: 0.857323
[240]	training's auc: 0.875169	valid_1's auc: 0.857324
[241]	training's auc: 0.875214	valid_1's auc: 0.857325
[242]	training's auc: 0.875208	valid_1's auc: 0.857325
[243]	training's auc: 0.875252	valid_1's auc: 0.857341
[244]	training's auc: 0.875279	valid_1's auc: 0.857332
[245]	training's auc: 0.875337	valid_1's auc: 0.85734
[246]	training's auc: 0.875362	valid_1's auc: 0.857358
[247]	training's auc: 0.875385	valid_1's auc: 0.857374
[248]	training's auc: 0.87541	valid_1's auc: 0.857395
[249]	training's auc: 0.875416	valid_1's auc: 0.857381
[250]	training's auc: 0.875415	valid_1's auc: 0.857377
[251]	training's auc: 0.875407	valid_1's auc: 0.857371
[252]	training's auc: 0.875431	valid_1's auc: 0.857359
[253]	training's auc: 0.875462	valid_1's auc: 0.857382
[254]	training's auc: 0.875551	valid_1's auc: 0.857393
[255]	training's auc: 0.875565	valid_1's auc: 0.857402
[256]	training's auc: 0.875575	valid_1's auc: 0.857415
[257]	training's auc: 0.87558	valid_1's auc: 0.857426
[258]	training's auc: 0.875579	valid_1's auc: 0.857425
[259]	training's auc: 0.87562	valid_1's auc: 0.857422
[260]	training's auc: 0.875686	valid_1's auc: 0.85743
[261]	training's auc: 0.875711	valid_1's auc: 0.857426
[262]	training's auc: 0.875718	valid_1's auc: 0.857423
[263]	training's auc: 0.875747	valid_1's auc: 0.857416
[264]	training's auc: 0.875773	valid_1's auc: 0.85741
[265]	training's auc: 0.875834	valid_1's auc: 0.857418
[266]	training's auc: 0.875885	valid_1's auc: 0.857414
[267]	training's auc: 0.875978	valid_1's auc: 0.857424
[268]	training's auc: 0.876025	valid_1's auc: 0.857428
[269]	training's auc: 0.876064	valid_1's auc: 0.857419
[270]	training's auc: 0.87606	valid_1's auc: 0.857414
[271]	training's auc: 0.876096	valid_1's auc: 0.857416
[272]	training's auc: 0.876118	valid_1's auc: 0.857433
[273]	training's auc: 0.876128	valid_1's auc: 0.85744
[274]	training's auc: 0.876165	valid_1's auc: 0.857438
[275]	training's auc: 0.876209	valid_1's auc: 0.857438
[276]	training's auc: 0.876258	valid_1's auc: 0.857442
[277]	training's auc: 0.876256	valid_1's auc: 0.857442
