[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[133]	training's auc: 0.867926	valid_1's auc: 0.855691
[134]	training's auc: 0.868078	valid_1's auc: 0.855776
[135]	training's auc: 0.868173	valid_1's auc: 0.855798
[136]	training's auc: 0.868257	valid_1's auc: 0.855807
[137]	training's auc: 0.868398	valid_1's auc: 0.855893
[138]	training's auc: 0.86846	valid_1's auc: 0.855897
[139]	training's auc: 0.868527	valid_1's auc: 0.855898
[140]	training's auc: 0.868625	valid_1's auc: 0.85593
[141]	training's auc: 0.868694	valid_1's auc: 0.855937
[142]	training's auc: 0.868773	valid_1's auc: 0.855966
[143]	training's auc: 0.868849	valid_1's auc: 0.855991
[144]	training's auc: 0.868961	valid_1's auc: 0.856004
[145]	training's auc: 0.869017	valid_1's auc: 0.856005
[146]	training's auc: 0.869086	valid_1's auc: 0.855997
[147]	training's auc: 0.86922	valid_1's auc: 0.856047
[148]	training's auc: 0.86934	valid_1's auc: 0.856071
[149]	training's auc: 0.869433	valid_1's auc: 0.856061
[150]	training's auc: 0.869592	valid_1's auc: 0.856144
[151]	training's auc: 0.869653	valid_1's auc: 0.856141
[152]	training's auc: 0.869762	valid_1's auc: 0.856162
[153]	training's auc: 0.869825	valid_1's auc: 0.856172
[154]	training's auc: 0.869923	valid_1's auc: 0.856192
[155]	training's auc: 0.87001	valid_1's auc: 0.856182
[156]	training's auc: 0.870145	valid_1's auc: 0.856251
[157]	training's auc: 0.870196	valid_1's auc: 0.856246
[158]	training's auc: 0.87027	valid_1's auc: 0.856236
[159]	training's auc: 0.870386	valid_1's auc: 0.856263
[160]	training's auc: 0.870436	valid_1's auc: 0.856265
[161]	training's auc: 0.870548	valid_1's auc: 0.856306
[162]	training's auc: 0.870606	valid_1's auc: 0.856313
[163]	training's auc: 0.870644	valid_1's auc: 0.856302
[164]	training's auc: 0.870725	valid_1's auc: 0.8563
[165]	training's auc: 0.870846	valid_1's auc: 0.856364
[166]	training's auc: 0.87094	valid_1's auc: 0.856373
[167]	training's auc: 0.871032	valid_1's auc: 0.856379
[168]	training's auc: 0.871079	valid_1's auc: 0.856372
[169]	training's auc: 0.871147	valid_1's auc: 0.856388
[170]	training's auc: 0.871262	valid_1's auc: 0.856432
[171]	training's auc: 0.871357	valid_1's auc: 0.856479
[172]	training's auc: 0.871434	valid_1's auc: 0.856474
[173]	training's auc: 0.871489	valid_1's auc: 0.856496
[174]	training's auc: 0.871572	valid_1's auc: 0.856505
[175]	training's auc: 0.871641	valid_1's auc: 0.856509
[176]	training's auc: 0.871754	valid_1's auc: 0.856567
[177]	training's auc: 0.871799	valid_1's auc: 0.856563
[178]	training's auc: 0.871882	valid_1's auc: 0.856568
[179]	training's auc: 0.872002	valid_1's auc: 0.856636
[180]	training's auc: 0.872098	valid_1's auc: 0.856674
[181]	training's auc: 0.872139	valid_1's auc: 0.856672
[182]	training's auc: 0.872216	valid_1's auc: 0.856649
[183]	training's auc: 0.872321	valid_1's auc: 0.856669
[184]	training's auc: 0.872398	valid_1's auc: 0.856681
[185]	training's auc: 0.872463	valid_1's auc: 0.856694
[186]	training's auc: 0.872536	valid_1's auc: 0.856694
[187]	training's auc: 0.87259	valid_1's auc: 0.856705
[188]	training's auc: 0.872654	valid_1's auc: 0.856717
[189]	training's auc: 0.872765	valid_1's auc: 0.856732
[190]	training's auc: 0.872873	valid_1's auc: 0.856754
[191]	training's auc: 0.872963	valid_1's auc: 0.85679
[192]	training's auc: 0.873043	valid_1's auc: 0.85681
[193]	training's auc: 0.873082	valid_1's auc: 0.856806
[194]	training's auc: 0.873167	valid_1's auc: 0.856821
[195]	training's auc: 0.873293	valid_1's auc: 0.85687
[196]	training's auc: 0.873385	valid_1's auc: 0.856892
[197]	training's auc: 0.87347	valid_1's auc: 0.856893
[198]	training's auc: 0.873556	valid_1's auc: 0.85689
[199]	training's auc: 0.87365	valid_1's auc: 0.856898
[200]	training's auc: 0.873727	valid_1's auc: 0.856896
[201]	training's auc: 0.873835	valid_1's auc: 0.856918
[202]	training's auc: 0.873921	valid_1's auc: 0.856917
[203]	training's auc: 0.874005	valid_1's auc: 0.856944
[204]	training's auc: 0.874064	valid_1's auc: 0.856948
[205]	training's auc: 0.874159	valid_1's auc: 0.856981
[206]	training's auc: 0.874217	valid_1's auc: 0.856989
[207]	training's auc: 0.874307	valid_1's auc: 0.857004
[208]	training's auc: 0.874407	valid_1's auc: 0.857037
[209]	training's auc: 0.874484	valid_1's auc: 0.857051
[210]	training's auc: 0.874544	valid_1's auc: 0.857056
[211]	training's auc: 0.874622	valid_1's auc: 0.857063
[212]	training's auc: 0.874736	valid_1's auc: 0.857105
[213]	training's auc: 0.874811	valid_1's auc: 0.857107
[214]	training's auc: 0.874905	valid_1's auc: 0.857102
[215]	training's auc: 0.875021	valid_1's auc: 0.857153
[216]	training's auc: 0.875104	valid_1's auc: 0.85715
[217]	training's auc: 0.875186	valid_1's auc: 0.857161
[218]	training's auc: 0.875223	valid_1's auc: 0.857162
[219]	training's auc: 0.875294	valid_1's auc: 0.857162
[220]	training's auc: 0.875382	valid_1's auc: 0.857204
[221]	training's auc: 0.875442	valid_1's auc: 0.857204
[222]	training's auc: 0.875549	valid_1's auc: 0.857226
[223]	training's auc: 0.875613	valid_1's auc: 0.857247
[224]	training's auc: 0.875662	valid_1's auc: 0.857255
[225]	training's auc: 0.875715	valid_1's auc: 0.857248
[226]	training's auc: 0.875784	valid_1's auc: 0.857259
[227]	training's auc: 0.875873	valid_1's auc: 0.857271
[228]	training's auc: 0.875949	valid_1's auc: 0.857262
[229]	training's auc: 0.875989	valid_1's auc: 0.857271
[230]	training's auc: 0.87603	valid_1's auc: 0.857273
[231]	training's auc: 0.876104	valid_1's auc: 0.857288
[232]	training's auc: 0.876199	valid_1's auc: 0.857298
[233]	training's auc: 0.876338	valid_1's auc: 0.85734
[234]	training's auc: 0.876408	valid_1's auc: 0.857336
[235]	training's auc: 0.876452	valid_1's auc: 0.857332
[236]	training's auc: 0.876563	valid_1's auc: 0.85735
[237]	training's auc: 0.87661	valid_1's auc: 0.857354
[238]	training's auc: 0.876689	valid_1's auc: 0.857353
[239]	training's auc: 0.876754	valid_1's auc: 0.857352
[240]	training's auc: 0.876802	valid_1's auc: 0.857352
[241]	training's auc: 0.876874	valid_1's auc: 0.85736
[242]	training's auc: 0.876952	valid_1's auc: 0.85739
[243]	training's auc: 0.877016	valid_1's auc: 0.857389
[244]	training's auc: 0.877094	valid_1's auc: 0.857395
[245]	training's auc: 0.877163	valid_1's auc: 0.857406
[246]	training's auc: 0.87723	valid_1's auc: 0.857396
[247]	training's auc: 0.877311	valid_1's auc: 0.857401
[248]	training's auc: 0.877383	valid_1's auc: 0.857403
[249]	training's auc: 0.877449	valid_1's auc: 0.857398
[250]	training's auc: 0.877513	valid_1's auc: 0.857392
[251]	training's auc: 0.877573	valid_1's auc: 0.85739
[252]	training's auc: 0.877647	valid_1's auc: 0.857393
[253]	training's auc: 0.877692	valid_1's auc: 0.857414
[254]	training's auc: 0.877725	valid_1's auc: 0.857409
[255]	training's auc: 0.877782	valid_1's auc: 0.857412
[256]	training's auc: 0.877837	valid_1's auc: 0.857415
[257]	training's auc: 0.877907	valid_1's auc: 0.857413
[258]	training's auc: 0.877992	valid_1's auc: 0.857421
[259]	training's auc: 0.878036	valid_1's auc: 0.857417
[260]	training's auc: 0.878111	valid_1's auc: 0.857422
[261]	training's auc: 0.878174	valid_1's auc: 0.857424
[262]	training's auc: 0.878237	valid_1's auc: 0.857422
[263]	training's auc: 0.878278	valid_1's auc: 0.857422
[264]	training's auc: 0.87836	valid_1's auc: 0.857421
[265]	training's auc: 0.878422	valid_1's auc: 0.857424
[266]	training's auc: 0.878459	valid_1's auc: 0.857419
[267]	training's auc: 0.878546	valid_1's auc: 0.857434
[268]	training's auc: 0.878639	valid_1's auc: 0.857463
[269]	training's auc: 0.8787	valid_1's auc: 0.85746
[270]	training's auc: 0.878744	valid_1's auc: 0.85746
