[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[166]	training's auc: 0.860475	valid_1's auc: 0.852985
[167]	training's auc: 0.860566	valid_1's auc: 0.853031
[168]	training's auc: 0.860654	valid_1's auc: 0.853084
[169]	training's auc: 0.860726	valid_1's auc: 0.853123
[170]	training's auc: 0.86081	valid_1's auc: 0.853172
[171]	training's auc: 0.860906	valid_1's auc: 0.85323
[172]	training's auc: 0.861	valid_1's auc: 0.853287
[173]	training's auc: 0.861085	valid_1's auc: 0.853327
[174]	training's auc: 0.861162	valid_1's auc: 0.853358
[175]	training's auc: 0.861243	valid_1's auc: 0.85341
[176]	training's auc: 0.861335	valid_1's auc: 0.853464
[177]	training's auc: 0.86142	valid_1's auc: 0.853502
[178]	training's auc: 0.86151	valid_1's auc: 0.853555
[179]	training's auc: 0.861597	valid_1's auc: 0.853607
[180]	training's auc: 0.861675	valid_1's auc: 0.853641
[181]	training's auc: 0.861755	valid_1's auc: 0.853672
[182]	training's auc: 0.861833	valid_1's auc: 0.853695
[183]	training's auc: 0.861917	valid_1's auc: 0.853743
[184]	training's auc: 0.861996	valid_1's auc: 0.853775
[185]	training's auc: 0.862075	valid_1's auc: 0.853823
[186]	training's auc: 0.862152	valid_1's auc: 0.853874
[187]	training's auc: 0.862232	valid_1's auc: 0.853908
[188]	training's auc: 0.862322	valid_1's auc: 0.85396
[189]	training's auc: 0.862392	valid_1's auc: 0.85399
[190]	training's auc: 0.862471	valid_1's auc: 0.854038
[191]	training's auc: 0.862567	valid_1's auc: 0.854087
[192]	training's auc: 0.862638	valid_1's auc: 0.854129
[193]	training's auc: 0.862704	valid_1's auc: 0.854162
[194]	training's auc: 0.86276	valid_1's auc: 0.854185
[195]	training's auc: 0.862832	valid_1's auc: 0.854222
[196]	training's auc: 0.862904	valid_1's auc: 0.85426
[197]	training's auc: 0.862987	valid_1's auc: 0.854306
[198]	training's auc: 0.863066	valid_1's auc: 0.854347
[199]	training's auc: 0.863137	valid_1's auc: 0.854378
[200]	training's auc: 0.863203	valid_1's auc: 0.854404
[201]	training's auc: 0.863264	valid_1's auc: 0.854425
[202]	training's auc: 0.863351	valid_1's auc: 0.854473
[203]	training's auc: 0.86342	valid_1's auc: 0.854506
[204]	training's auc: 0.863483	valid_1's auc: 0.854528
[205]	training's auc: 0.86355	valid_1's auc: 0.854562
[206]	training's auc: 0.8636	valid_1's auc: 0.854595
[207]	training's auc: 0.863664	valid_1's auc: 0.854622
[208]	training's auc: 0.863725	valid_1's auc: 0.854642
[209]	training's auc: 0.863789	valid_1's auc: 0.854672
[210]	training's auc: 0.863864	valid_1's auc: 0.854718
[211]	training's auc: 0.863945	valid_1's auc: 0.854765
[212]	training's auc: 0.864026	valid_1's auc: 0.854815
[213]	training's auc: 0.864097	valid_1's auc: 0.854847
[214]	training's auc: 0.864167	valid_1's auc: 0.854879
[215]	training's auc: 0.864254	valid_1's auc: 0.854927
[216]	training's auc: 0.864323	valid_1's auc: 0.854958
[217]	training's auc: 0.864399	valid_1's auc: 0.854999
[218]	training's auc: 0.864463	valid_1's auc: 0.855028
[219]	training's auc: 0.864526	valid_1's auc: 0.855053
[220]	training's auc: 0.864587	valid_1's auc: 0.855077
[221]	training's auc: 0.864644	valid_1's auc: 0.855106
[222]	training's auc: 0.864717	valid_1's auc: 0.85514
[223]	training's auc: 0.864777	valid_1's auc: 0.855172
[224]	training's auc: 0.864835	valid_1's auc: 0.8552
[225]	training's auc: 0.864885	valid_1's auc: 0.855218
[226]	training's auc: 0.864934	valid_1's auc: 0.855231
[227]	training's auc: 0.865003	valid_1's auc: 0.855269
[228]	training's auc: 0.86505	valid_1's auc: 0.855283
[229]	training's auc: 0.865096	valid_1's auc: 0.855297
[230]	training's auc: 0.865139	valid_1's auc: 0.855313
[231]	training's auc: 0.865216	valid_1's auc: 0.855357
[232]	training's auc: 0.865284	valid_1's auc: 0.855392
[233]	training's auc: 0.865344	valid_1's auc: 0.855415
[234]	training's auc: 0.865408	valid_1's auc: 0.855432
[235]	training's auc: 0.865464	valid_1's auc: 0.85545
[236]	training's auc: 0.865513	valid_1's auc: 0.855464
[237]	training's auc: 0.865576	valid_1's auc: 0.855497
[238]	training's auc: 0.865637	valid_1's auc: 0.855518
[239]	training's auc: 0.865694	valid_1's auc: 0.855554
[240]	training's auc: 0.865757	valid_1's auc: 0.855591
[241]	training's auc: 0.865799	valid_1's auc: 0.855604
[242]	training's auc: 0.865849	valid_1's auc: 0.855617
[243]	training's auc: 0.86589	valid_1's auc: 0.855626
[244]	training's auc: 0.865944	valid_1's auc: 0.855652
[245]	training's auc: 0.865991	valid_1's auc: 0.855665
[246]	training's auc: 0.866044	valid_1's auc: 0.855687
[247]	training's auc: 0.86609	valid_1's auc: 0.855705
[248]	training's auc: 0.866126	valid_1's auc: 0.855716
[249]	training's auc: 0.866174	valid_1's auc: 0.855729
