[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[160]	training's auc: 0.855038	valid_1's auc: 0.852305
[161]	training's auc: 0.855118	valid_1's auc: 0.852356
[162]	training's auc: 0.855225	valid_1's auc: 0.852432
[163]	training's auc: 0.85531	valid_1's auc: 0.852478
[164]	training's auc: 0.855429	valid_1's auc: 0.852575
[165]	training's auc: 0.8555	valid_1's auc: 0.852623
[166]	training's auc: 0.855567	valid_1's auc: 0.852648
[167]	training's auc: 0.855627	valid_1's auc: 0.852702
[168]	training's auc: 0.855728	valid_1's auc: 0.852778
[169]	training's auc: 0.855779	valid_1's auc: 0.852828
[170]	training's auc: 0.855831	valid_1's auc: 0.852863
[171]	training's auc: 0.855926	valid_1's auc: 0.852935
[172]	training's auc: 0.85596	valid_1's auc: 0.852987
[173]	training's auc: 0.856033	valid_1's auc: 0.853052
[174]	training's auc: 0.856105	valid_1's auc: 0.853095
[175]	training's auc: 0.856199	valid_1's auc: 0.853155
[176]	training's auc: 0.856293	valid_1's auc: 0.853217
[177]	training's auc: 0.85632	valid_1's auc: 0.85324
[178]	training's auc: 0.856411	valid_1's auc: 0.853301
[179]	training's auc: 0.856489	valid_1's auc: 0.853347
[180]	training's auc: 0.856564	valid_1's auc: 0.85339
[181]	training's auc: 0.856613	valid_1's auc: 0.853421
[182]	training's auc: 0.856651	valid_1's auc: 0.853457
[183]	training's auc: 0.856755	valid_1's auc: 0.853541
[184]	training's auc: 0.856847	valid_1's auc: 0.8536
[185]	training's auc: 0.856871	valid_1's auc: 0.853617
[186]	training's auc: 0.856957	valid_1's auc: 0.853674
[187]	training's auc: 0.857026	valid_1's auc: 0.853718
[188]	training's auc: 0.857068	valid_1's auc: 0.853743
[189]	training's auc: 0.857132	valid_1's auc: 0.853777
[190]	training's auc: 0.857205	valid_1's auc: 0.853809
[191]	training's auc: 0.857287	valid_1's auc: 0.853865
[192]	training's auc: 0.857341	valid_1's auc: 0.853908
[193]	training's auc: 0.857403	valid_1's auc: 0.853922
[194]	training's auc: 0.857482	valid_1's auc: 0.853971
[195]	training's auc: 0.857555	valid_1's auc: 0.854019
[196]	training's auc: 0.857616	valid_1's auc: 0.854071
[197]	training's auc: 0.857706	valid_1's auc: 0.854112
[198]	training's auc: 0.857743	valid_1's auc: 0.85413
[199]	training's auc: 0.85779	valid_1's auc: 0.854143
[200]	training's auc: 0.857836	valid_1's auc: 0.854172
[201]	training's auc: 0.857902	valid_1's auc: 0.854215
[202]	training's auc: 0.857996	valid_1's auc: 0.854286
[203]	training's auc: 0.858081	valid_1's auc: 0.854338
[204]	training's auc: 0.858147	valid_1's auc: 0.854375
[205]	training's auc: 0.858238	valid_1's auc: 0.854436
[206]	training's auc: 0.858268	valid_1's auc: 0.854461
[207]	training's auc: 0.858321	valid_1's auc: 0.854468
[208]	training's auc: 0.858375	valid_1's auc: 0.85453
[209]	training's auc: 0.858419	valid_1's auc: 0.854557
[210]	training's auc: 0.858474	valid_1's auc: 0.854594
[211]	training's auc: 0.858561	valid_1's auc: 0.854652
[212]	training's auc: 0.858615	valid_1's auc: 0.854672
[213]	training's auc: 0.858634	valid_1's auc: 0.85469
[214]	training's auc: 0.858696	valid_1's auc: 0.854726
[215]	training's auc: 0.858747	valid_1's auc: 0.854748
[216]	training's auc: 0.858817	valid_1's auc: 0.854796
[217]	training's auc: 0.85888	valid_1's auc: 0.854842
[218]	training's auc: 0.858921	valid_1's auc: 0.854859
[219]	training's auc: 0.858952	valid_1's auc: 0.85489
[220]	training's auc: 0.859025	valid_1's auc: 0.854936
[221]	training's auc: 0.859101	valid_1's auc: 0.854985
[222]	training's auc: 0.859174	valid_1's auc: 0.855027
[223]	training's auc: 0.859232	valid_1's auc: 0.855069
[224]	training's auc: 0.859279	valid_1's auc: 0.855092
[225]	training's auc: 0.859309	valid_1's auc: 0.855123
[226]	training's auc: 0.859375	valid_1's auc: 0.855155
[227]	training's auc: 0.859418	valid_1's auc: 0.855206
[228]	training's auc: 0.859474	valid_1's auc: 0.855248
[229]	training's auc: 0.859525	valid_1's auc: 0.855278
[230]	training's auc: 0.859537	valid_1's auc: 0.855294
[231]	training's auc: 0.859595	valid_1's auc: 0.855325
[232]	training's auc: 0.859629	valid_1's auc: 0.855358
[233]	training's auc: 0.859681	valid_1's auc: 0.855385
[234]	training's auc: 0.859734	valid_1's auc: 0.855429
[235]	training's auc: 0.859765	valid_1's auc: 0.855441
[236]	training's auc: 0.85981	valid_1's auc: 0.855449
[237]	training's auc: 0.85984	valid_1's auc: 0.855478
[238]	training's auc: 0.859875	valid_1's auc: 0.85551
[239]	training's auc: 0.85992	valid_1's auc: 0.855514
[240]	training's auc: 0.85999	valid_1's auc: 0.855563
[241]	training's auc: 0.860028	valid_1's auc: 0.855582
[242]	training's auc: 0.86007	valid_1's auc: 0.855598
[243]	training's auc: 0.86011	valid_1's auc: 0.855605
[244]	training's auc: 0.860162	valid_1's auc: 0.855639
[245]	training's auc: 0.860212	valid_1's auc: 0.855659
[246]	training's auc: 0.860258	valid_1's auc: 0.855691
[247]	training's auc: 0.860303	valid_1's auc: 0.855696
[248]	training's auc: 0.860341	valid_1's auc: 0.855697
[249]	training's auc: 0.86041	valid_1's auc: 0.855739
[250]	training's auc: 0.860435	valid_1's auc: 0.855755
[251]	training's auc: 0.8605	valid_1's auc: 0.855789
[252]	training's auc: 0.860544	valid_1's auc: 0.855807
[253]	training's auc: 0.86059	valid_1's auc: 0.855828
[254]	training's auc: 0.86064	valid_1's auc: 0.855853
[255]	training's auc: 0.860651	valid_1's auc: 0.855867
[256]	training's auc: 0.860693	valid_1's auc: 0.85588
[257]	training's auc: 0.860735	valid_1's auc: 0.855904
[258]	training's auc: 0.860755	valid_1's auc: 0.855927
[259]	training's auc: 0.860803	valid_1's auc: 0.855968
[260]	training's auc: 0.860823	valid_1's auc: 0.855987
[261]	training's auc: 0.86085	valid_1's auc: 0.855996
[262]	training's auc: 0.860888	valid_1's auc: 0.856024
[263]	training's auc: 0.860923	valid_1's auc: 0.856022
[264]	training's auc: 0.860952	valid_1's auc: 0.856042
[265]	training's auc: 0.860958	valid_1's auc: 0.856053
[266]	training's auc: 0.860986	valid_1's auc: 0.856074
[267]	training's auc: 0.86102	valid_1's auc: 0.856094
[268]	training's auc: 0.861064	valid_1's auc: 0.85611
[269]	training's auc: 0.861101	valid_1's auc: 0.856115
[270]	training's auc: 0.861114	valid_1's auc: 0.856127
[271]	training's auc: 0.86115	valid_1's auc: 0.85613
[272]	training's auc: 0.861197	valid_1's auc: 0.856162
[273]	training's auc: 0.861212	valid_1's auc: 0.85618
[274]	training's auc: 0.86125	valid_1's auc: 0.856186
[275]	training's auc: 0.861281	valid_1's auc: 0.856204
[276]	training's auc: 0.861337	valid_1's auc: 0.856251
