[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.860567	valid_1's auc: 0.855068
[94]	training's auc: 0.860675	valid_1's auc: 0.85512
[95]	training's auc: 0.86079	valid_1's auc: 0.855135
[96]	training's auc: 0.860932	valid_1's auc: 0.855209
[97]	training's auc: 0.860976	valid_1's auc: 0.855249
[98]	training's auc: 0.861075	valid_1's auc: 0.855291
[99]	training's auc: 0.861221	valid_1's auc: 0.855388
[100]	training's auc: 0.861353	valid_1's auc: 0.855445
[101]	training's auc: 0.861441	valid_1's auc: 0.855478
[102]	training's auc: 0.861536	valid_1's auc: 0.855546
[103]	training's auc: 0.86165	valid_1's auc: 0.855563
[104]	training's auc: 0.86177	valid_1's auc: 0.855571
[105]	training's auc: 0.861902	valid_1's auc: 0.855664
[106]	training's auc: 0.862032	valid_1's auc: 0.855741
[107]	training's auc: 0.862124	valid_1's auc: 0.855781
[108]	training's auc: 0.862202	valid_1's auc: 0.855806
[109]	training's auc: 0.86231	valid_1's auc: 0.855844
[110]	training's auc: 0.862427	valid_1's auc: 0.855853
[111]	training's auc: 0.86255	valid_1's auc: 0.855888
[112]	training's auc: 0.862675	valid_1's auc: 0.855917
[113]	training's auc: 0.862722	valid_1's auc: 0.85596
[114]	training's auc: 0.862832	valid_1's auc: 0.856013
[115]	training's auc: 0.862909	valid_1's auc: 0.856037
[116]	training's auc: 0.863003	valid_1's auc: 0.856046
[117]	training's auc: 0.863135	valid_1's auc: 0.856088
[118]	training's auc: 0.863253	valid_1's auc: 0.856103
[119]	training's auc: 0.863378	valid_1's auc: 0.856185
[120]	training's auc: 0.863482	valid_1's auc: 0.85621
[121]	training's auc: 0.863569	valid_1's auc: 0.85622
[122]	training's auc: 0.863661	valid_1's auc: 0.856246
[123]	training's auc: 0.863742	valid_1's auc: 0.856262
[124]	training's auc: 0.863809	valid_1's auc: 0.856289
[125]	training's auc: 0.863894	valid_1's auc: 0.856335
[126]	training's auc: 0.863988	valid_1's auc: 0.856352
[127]	training's auc: 0.864072	valid_1's auc: 0.856422
[128]	training's auc: 0.864125	valid_1's auc: 0.856417
[129]	training's auc: 0.864196	valid_1's auc: 0.856441
[130]	training's auc: 0.864296	valid_1's auc: 0.856459
[131]	training's auc: 0.864365	valid_1's auc: 0.856476
[132]	training's auc: 0.864493	valid_1's auc: 0.856525
[133]	training's auc: 0.864607	valid_1's auc: 0.856588
[134]	training's auc: 0.864687	valid_1's auc: 0.856618
[135]	training's auc: 0.864805	valid_1's auc: 0.856701
[136]	training's auc: 0.864893	valid_1's auc: 0.856739
[137]	training's auc: 0.864996	valid_1's auc: 0.856785
[138]	training's auc: 0.865079	valid_1's auc: 0.856838
[139]	training's auc: 0.865219	valid_1's auc: 0.856896
[140]	training's auc: 0.865287	valid_1's auc: 0.856924
[141]	training's auc: 0.865344	valid_1's auc: 0.85693
[142]	training's auc: 0.865432	valid_1's auc: 0.856924
[143]	training's auc: 0.865498	valid_1's auc: 0.856936
[144]	training's auc: 0.865572	valid_1's auc: 0.856945
[145]	training's auc: 0.865662	valid_1's auc: 0.856971
[146]	training's auc: 0.865731	valid_1's auc: 0.856993
[147]	training's auc: 0.865801	valid_1's auc: 0.856999
[148]	training's auc: 0.865958	valid_1's auc: 0.857091
[149]	training's auc: 0.866036	valid_1's auc: 0.857104
[150]	training's auc: 0.866099	valid_1's auc: 0.857116
[151]	training's auc: 0.866153	valid_1's auc: 0.857114
[152]	training's auc: 0.866242	valid_1's auc: 0.85712
[153]	training's auc: 0.866324	valid_1's auc: 0.857176
[154]	training's auc: 0.866399	valid_1's auc: 0.857214
[155]	training's auc: 0.866446	valid_1's auc: 0.857233
[156]	training's auc: 0.866606	valid_1's auc: 0.857315
[157]	training's auc: 0.866733	valid_1's auc: 0.857375
[158]	training's auc: 0.866854	valid_1's auc: 0.857442
[159]	training's auc: 0.866926	valid_1's auc: 0.857432
[160]	training's auc: 0.867013	valid_1's auc: 0.857422
[161]	training's auc: 0.867055	valid_1's auc: 0.857414
[162]	training's auc: 0.867109	valid_1's auc: 0.85743
[163]	training's auc: 0.867191	valid_1's auc: 0.857466
[164]	training's auc: 0.86728	valid_1's auc: 0.857519
[165]	training's auc: 0.867336	valid_1's auc: 0.857498
[166]	training's auc: 0.867383	valid_1's auc: 0.857499
[167]	training's auc: 0.867451	valid_1's auc: 0.857507
[168]	training's auc: 0.867516	valid_1's auc: 0.857511
[169]	training's auc: 0.867564	valid_1's auc: 0.85753
[170]	training's auc: 0.86766	valid_1's auc: 0.857578
[171]	training's auc: 0.8677	valid_1's auc: 0.857597
[172]	training's auc: 0.867735	valid_1's auc: 0.857591
[173]	training's auc: 0.867771	valid_1's auc: 0.8576
[174]	training's auc: 0.867832	valid_1's auc: 0.857605
[175]	training's auc: 0.867888	valid_1's auc: 0.857598
[176]	training's auc: 0.86796	valid_1's auc: 0.857581
[177]	training's auc: 0.868054	valid_1's auc: 0.857597
[178]	training's auc: 0.868141	valid_1's auc: 0.857611
[179]	training's auc: 0.868252	valid_1's auc: 0.857689
[180]	training's auc: 0.86833	valid_1's auc: 0.857705
[181]	training's auc: 0.868376	valid_1's auc: 0.857699
[182]	training's auc: 0.868431	valid_1's auc: 0.857719
[183]	training's auc: 0.868499	valid_1's auc: 0.857715
[184]	training's auc: 0.868587	valid_1's auc: 0.857764
[185]	training's auc: 0.868655	valid_1's auc: 0.857775
[186]	training's auc: 0.868758	valid_1's auc: 0.857827
[187]	training's auc: 0.868833	valid_1's auc: 0.857848
[188]	training's auc: 0.868934	valid_1's auc: 0.857875
[189]	training's auc: 0.868988	valid_1's auc: 0.857884
[190]	training's auc: 0.869081	valid_1's auc: 0.857902
[191]	training's auc: 0.869119	valid_1's auc: 0.857916
[192]	training's auc: 0.869151	valid_1's auc: 0.857915
[193]	training's auc: 0.869238	valid_1's auc: 0.857959
[194]	training's auc: 0.869313	valid_1's auc: 0.857976
[195]	training's auc: 0.869376	valid_1's auc: 0.858002
[196]	training's auc: 0.869428	valid_1's auc: 0.858009
[197]	training's auc: 0.869473	valid_1's auc: 0.858004
[198]	training's auc: 0.869571	valid_1's auc: 0.858016
[199]	training's auc: 0.869683	valid_1's auc: 0.858074
[200]	training's auc: 0.869746	valid_1's auc: 0.858081
[201]	training's auc: 0.869835	valid_1's auc: 0.858091
[202]	training's auc: 0.869886	valid_1's auc: 0.858116
[203]	training's auc: 0.869954	valid_1's auc: 0.858109
[204]	training's auc: 0.870016	valid_1's auc: 0.858094
[205]	training's auc: 0.870061	valid_1's auc: 0.858091
[206]	training's auc: 0.87014	valid_1's auc: 0.858099
[207]	training's auc: 0.870213	valid_1's auc: 0.858143
[208]	training's auc: 0.870255	valid_1's auc: 0.858139
[209]	training's auc: 0.870351	valid_1's auc: 0.858156
[210]	training's auc: 0.870385	valid_1's auc: 0.858154
[211]	training's auc: 0.870455	valid_1's auc: 0.858202
[212]	training's auc: 0.8705	valid_1's auc: 0.858209
[213]	training's auc: 0.870538	valid_1's auc: 0.858204
[214]	training's auc: 0.870586	valid_1's auc: 0.858211
[215]	training's auc: 0.870638	valid_1's auc: 0.858185
[216]	training's auc: 0.870707	valid_1's auc: 0.858211
[217]	training's auc: 0.870765	valid_1's auc: 0.858231
[218]	training's auc: 0.870848	valid_1's auc: 0.858256
[219]	training's auc: 0.870878	valid_1's auc: 0.858244
[220]	training's auc: 0.870946	valid_1's auc: 0.858261
[221]	training's auc: 0.870978	valid_1's auc: 0.858241
[222]	training's auc: 0.871029	valid_1's auc: 0.858248
[223]	training's auc: 0.871102	valid_1's auc: 0.858276
[224]	training's auc: 0.871182	valid_1's auc: 0.858329
[225]	training's auc: 0.871233	valid_1's auc: 0.858348
[226]	training's auc: 0.871288	valid_1's auc: 0.858353
[227]	training's auc: 0.871363	valid_1's auc: 0.858395
[228]	training's auc: 0.871413	valid_1's auc: 0.858387
[229]	training's auc: 0.871462	valid_1's auc: 0.858401
[230]	training's auc: 0.871546	valid_1's auc: 0.85841
[231]	training's auc: 0.871628	valid_1's auc: 0.858421
[232]	training's auc: 0.871675	valid_1's auc: 0.85842
[233]	training's auc: 0.871723	valid_1's auc: 0.858415
[234]	training's auc: 0.871754	valid_1's auc: 0.858406
[235]	training's auc: 0.871828	valid_1's auc: 0.858434
[236]	training's auc: 0.871919	valid_1's auc: 0.858494
[237]	training's auc: 0.871951	valid_1's auc: 0.858492
[238]	training's auc: 0.872001	valid_1's auc: 0.858523
[239]	training's auc: 0.872084	valid_1's auc: 0.858573
[240]	training's auc: 0.87214	valid_1's auc: 0.858577
[241]	training's auc: 0.872209	valid_1's auc: 0.858615
[242]	training's auc: 0.872259	valid_1's auc: 0.858626
[243]	training's auc: 0.872298	valid_1's auc: 0.858625
[244]	training's auc: 0.872341	valid_1's auc: 0.85862
[245]	training's auc: 0.872422	valid_1's auc: 0.858616
[246]	training's auc: 0.872491	valid_1's auc: 0.858622
[247]	training's auc: 0.87254	valid_1's auc: 0.858609
[248]	training's auc: 0.872593	valid_1's auc: 0.858616
[249]	training's auc: 0.872682	valid_1's auc: 0.858661
[250]	training's auc: 0.872749	valid_1's auc: 0.858698
[251]	training's auc: 0.872797	valid_1's auc: 0.858694
[252]	training's auc: 0.872851	valid_1's auc: 0.858697
[253]	training's auc: 0.872902	valid_1's auc: 0.858693
[254]	training's auc: 0.872941	valid_1's auc: 0.858693
[255]	training's auc: 0.873015	valid_1's auc: 0.858722
[256]	training's auc: 0.873041	valid_1's auc: 0.858705
[257]	training's auc: 0.873092	valid_1's auc: 0.858727
[258]	training's auc: 0.873148	valid_1's auc: 0.858716
[259]	training's auc: 0.873194	valid_1's auc: 0.858717
[260]	training's auc: 0.87328	valid_1's auc: 0.858736
[261]	training's auc: 0.873331	valid_1's auc: 0.858738
[262]	training's auc: 0.873388	valid_1's auc: 0.858756
[263]	training's auc: 0.873413	valid_1's auc: 0.858752
[264]	training's auc: 0.873481	valid_1's auc: 0.858776
[265]	training's auc: 0.873517	valid_1's auc: 0.858781
[266]	training's auc: 0.873583	valid_1's auc: 0.858816
[267]	training's auc: 0.87363	valid_1's auc: 0.858841
[268]	training's auc: 0.873708	valid_1's auc: 0.85887
[269]	training's auc: 0.873754	valid_1's auc: 0.858877
[270]	training's auc: 0.87378	valid_1's auc: 0.858873
[271]	training's auc: 0.873823	valid_1's auc: 0.858885
[272]	training's auc: 0.873877	valid_1's auc: 0.858871
[273]	training's auc: 0.873956	valid_1's auc: 0.858894
[274]	training's auc: 0.874015	valid_1's auc: 0.85889
[275]	training's auc: 0.874066	valid_1's auc: 0.858898
[276]	training's auc: 0.874112	valid_1's auc: 0.858897
[277]	training's auc: 0.874174	valid_1's auc: 0.858922
[278]	training's auc: 0.874229	valid_1's auc: 0.858948
[279]	training's auc: 0.874261	valid_1's auc: 0.858953
[280]	training's auc: 0.874298	valid_1's auc: 0.858975
[281]	training's auc: 0.874347	valid_1's auc: 0.858969
[282]	training's auc: 0.87439	valid_1's auc: 0.858968
[283]	training's auc: 0.874416	valid_1's auc: 0.858959
[284]	training's auc: 0.874427	valid_1's auc: 0.858951
[285]	training's auc: 0.874477	valid_1's auc: 0.858951
[286]	training's auc: 0.874527	valid_1's auc: 0.858961
[287]	training's auc: 0.874576	valid_1's auc: 0.858978
