[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[150]	training's auc: 0.868851	valid_1's auc: 0.85736
[151]	training's auc: 0.868928	valid_1's auc: 0.857379
[152]	training's auc: 0.869071	valid_1's auc: 0.857404
[153]	training's auc: 0.869142	valid_1's auc: 0.85743
[154]	training's auc: 0.869182	valid_1's auc: 0.85742
[155]	training's auc: 0.869235	valid_1's auc: 0.857417
[156]	training's auc: 0.869266	valid_1's auc: 0.857411
[157]	training's auc: 0.869324	valid_1's auc: 0.85741
[158]	training's auc: 0.869425	valid_1's auc: 0.85746
[159]	training's auc: 0.869466	valid_1's auc: 0.857507
[160]	training's auc: 0.869536	valid_1's auc: 0.857522
[161]	training's auc: 0.869574	valid_1's auc: 0.85751
[162]	training's auc: 0.869629	valid_1's auc: 0.85751
[163]	training's auc: 0.869694	valid_1's auc: 0.857503
[164]	training's auc: 0.869751	valid_1's auc: 0.8575
[165]	training's auc: 0.869848	valid_1's auc: 0.857511
[166]	training's auc: 0.869868	valid_1's auc: 0.857512
[167]	training's auc: 0.869973	valid_1's auc: 0.857547
[168]	training's auc: 0.869993	valid_1's auc: 0.857543
[169]	training's auc: 0.870046	valid_1's auc: 0.857555
[170]	training's auc: 0.870135	valid_1's auc: 0.85759
[171]	training's auc: 0.870194	valid_1's auc: 0.857599
[172]	training's auc: 0.870264	valid_1's auc: 0.857628
[173]	training's auc: 0.870337	valid_1's auc: 0.857669
[174]	training's auc: 0.870379	valid_1's auc: 0.857668
[175]	training's auc: 0.87052	valid_1's auc: 0.857752
[176]	training's auc: 0.870667	valid_1's auc: 0.857785
[177]	training's auc: 0.870695	valid_1's auc: 0.857797
[178]	training's auc: 0.87074	valid_1's auc: 0.857816
[179]	training's auc: 0.870781	valid_1's auc: 0.857815
[180]	training's auc: 0.87086	valid_1's auc: 0.857828
[181]	training's auc: 0.87092	valid_1's auc: 0.857834
[182]	training's auc: 0.870995	valid_1's auc: 0.857854
[183]	training's auc: 0.87103	valid_1's auc: 0.857873
[184]	training's auc: 0.871045	valid_1's auc: 0.857862
[185]	training's auc: 0.871075	valid_1's auc: 0.857887
[186]	training's auc: 0.871136	valid_1's auc: 0.857897
[187]	training's auc: 0.871213	valid_1's auc: 0.857906
[188]	training's auc: 0.871262	valid_1's auc: 0.857919
[189]	training's auc: 0.871326	valid_1's auc: 0.85793
[190]	training's auc: 0.871364	valid_1's auc: 0.857921
[191]	training's auc: 0.871413	valid_1's auc: 0.857942
[192]	training's auc: 0.871482	valid_1's auc: 0.857958
[193]	training's auc: 0.871533	valid_1's auc: 0.857949
[194]	training's auc: 0.871603	valid_1's auc: 0.857979
[195]	training's auc: 0.871733	valid_1's auc: 0.858009
[196]	training's auc: 0.871821	valid_1's auc: 0.858045
[197]	training's auc: 0.871874	valid_1's auc: 0.858048
[198]	training's auc: 0.871948	valid_1's auc: 0.858053
[199]	training's auc: 0.872006	valid_1's auc: 0.858071
[200]	training's auc: 0.87207	valid_1's auc: 0.858062
[201]	training's auc: 0.872147	valid_1's auc: 0.858078
[202]	training's auc: 0.872186	valid_1's auc: 0.858087
[203]	training's auc: 0.872234	valid_1's auc: 0.858092
[204]	training's auc: 0.872248	valid_1's auc: 0.858092
[205]	training's auc: 0.87231	valid_1's auc: 0.858095
[206]	training's auc: 0.872357	valid_1's auc: 0.858139
[207]	training's auc: 0.872397	valid_1's auc: 0.858128
[208]	training's auc: 0.872444	valid_1's auc: 0.858136
[209]	training's auc: 0.872495	valid_1's auc: 0.858142
[210]	training's auc: 0.872592	valid_1's auc: 0.858153
[211]	training's auc: 0.872632	valid_1's auc: 0.858143
[212]	training's auc: 0.872652	valid_1's auc: 0.85814
[213]	training's auc: 0.872695	valid_1's auc: 0.85812
[214]	training's auc: 0.87281	valid_1's auc: 0.858137
[215]	training's auc: 0.872899	valid_1's auc: 0.858135
[216]	training's auc: 0.872946	valid_1's auc: 0.858125
[217]	training's auc: 0.87298	valid_1's auc: 0.858104
[218]	training's auc: 0.873029	valid_1's auc: 0.858095
[219]	training's auc: 0.873062	valid_1's auc: 0.858125
[220]	training's auc: 0.873115	valid_1's auc: 0.858114
[221]	training's auc: 0.873131	valid_1's auc: 0.858114
[222]	training's auc: 0.873144	valid_1's auc: 0.858107
[223]	training's auc: 0.87322	valid_1's auc: 0.858152
[224]	training's auc: 0.873279	valid_1's auc: 0.85816
[225]	training's auc: 0.873312	valid_1's auc: 0.858181
[226]	training's auc: 0.87338	valid_1's auc: 0.858169
[227]	training's auc: 0.873413	valid_1's auc: 0.858198
[228]	training's auc: 0.873477	valid_1's auc: 0.8582
[229]	training's auc: 0.873523	valid_1's auc: 0.8582
[230]	training's auc: 0.87356	valid_1's auc: 0.858234
[231]	training's auc: 0.873629	valid_1's auc: 0.858234
[232]	training's auc: 0.873655	valid_1's auc: 0.858252
[233]	training's auc: 0.873729	valid_1's auc: 0.858263
[234]	training's auc: 0.873798	valid_1's auc: 0.85829
[235]	training's auc: 0.873849	valid_1's auc: 0.858288
[236]	training's auc: 0.873891	valid_1's auc: 0.85828
[237]	training's auc: 0.873918	valid_1's auc: 0.858309
[238]	training's auc: 0.873972	valid_1's auc: 0.858323
[239]	training's auc: 0.873979	valid_1's auc: 0.858316
[240]	training's auc: 0.874011	valid_1's auc: 0.858328
[241]	training's auc: 0.874026	valid_1's auc: 0.858329
[242]	training's auc: 0.874067	valid_1's auc: 0.858316
[243]	training's auc: 0.874102	valid_1's auc: 0.858303
[244]	training's auc: 0.874139	valid_1's auc: 0.858298
[245]	training's auc: 0.874155	valid_1's auc: 0.858286
[246]	training's auc: 0.874214	valid_1's auc: 0.858301
[247]	training's auc: 0.874262	valid_1's auc: 0.858303
[248]	training's auc: 0.874315	valid_1's auc: 0.858303
[249]	training's auc: 0.874366	valid_1's auc: 0.858306
[250]	training's auc: 0.874405	valid_1's auc: 0.858304
[251]	training's auc: 0.874452	valid_1's auc: 0.858302
[252]	training's auc: 0.874499	valid_1's auc: 0.858297
[253]	training's auc: 0.874596	valid_1's auc: 0.858301
[254]	training's auc: 0.874607	valid_1's auc: 0.858294
[255]	training's auc: 0.874634	valid_1's auc: 0.858322
[256]	training's auc: 0.874689	valid_1's auc: 0.858328
[257]	training's auc: 0.874738	valid_1's auc: 0.858328
[258]	training's auc: 0.874762	valid_1's auc: 0.858351
[259]	training's auc: 0.874826	valid_1's auc: 0.858376
[260]	training's auc: 0.874844	valid_1's auc: 0.858381
[261]	training's auc: 0.874897	valid_1's auc: 0.858396
[262]	training's auc: 0.874956	valid_1's auc: 0.858428
[263]	training's auc: 0.874985	valid_1's auc: 0.858421
[264]	training's auc: 0.875016	valid_1's auc: 0.858427
[265]	training's auc: 0.875034	valid_1's auc: 0.858449
[266]	training's auc: 0.875105	valid_1's auc: 0.858479
[267]	training's auc: 0.875157	valid_1's auc: 0.858484
[268]	training's auc: 0.875197	valid_1's auc: 0.85849
[269]	training's auc: 0.875232	valid_1's auc: 0.858506
[270]	training's auc: 0.875264	valid_1's auc: 0.858514
[271]	training's auc: 0.875307	valid_1's auc: 0.858518
[272]	training's auc: 0.875359	valid_1's auc: 0.858529
[273]	training's auc: 0.875385	valid_1's auc: 0.858555
[274]	training's auc: 0.87539	valid_1's auc: 0.858546
[275]	training's auc: 0.875419	valid_1's auc: 0.858541
[276]	training's auc: 0.87543	valid_1's auc: 0.858537
[277]	training's auc: 0.875457	valid_1's auc: 0.858552
[278]	training's auc: 0.875493	valid_1's auc: 0.858543
[279]	training's auc: 0.87553	valid_1's auc: 0.858544
[280]	training's auc: 0.875536	valid_1's auc: 0.858537
[281]	training's auc: 0.875578	valid_1's auc: 0.858541
[282]	training's auc: 0.875626	valid_1's auc: 0.858533
[283]	training's auc: 0.875674	valid_1's auc: 0.858542
[284]	training's auc: 0.875685	valid_1's auc: 0.85854
[285]	training's auc: 0.875738	valid_1's auc: 0.858574
[286]	training's auc: 0.875781	valid_1's auc: 0.8586
[287]	training's auc: 0.875795	valid_1's auc: 0.858608
[288]	training's auc: 0.875849	valid_1's auc: 0.858619
[289]	training's auc: 0.875854	valid_1's auc: 0.858612
[290]	training's auc: 0.875857	valid_1's auc: 0.858608
[291]	training's auc: 0.8759	valid_1's auc: 0.858604
[292]	training's auc: 0.875909	valid_1's auc: 0.8586
[293]	training's auc: 0.875928	valid_1's auc: 0.858613
[294]	training's auc: 0.875938	valid_1's auc: 0.858613
[295]	training's auc: 0.875969	valid_1's auc: 0.858614
[296]	training's auc: 0.876015	valid_1's auc: 0.858605
[297]	training's auc: 0.87606	valid_1's auc: 0.85861
[298]	training's auc: 0.876075	valid_1's auc: 0.858617
[299]	training's auc: 0.876107	valid_1's auc: 0.858607
[300]	training's auc: 0.87613	valid_1's auc: 0.858619
[301]	training's auc: 0.876172	valid_1's auc: 0.858613
[302]	training's auc: 0.87625	valid_1's auc: 0.858616
[303]	training's auc: 0.876265	valid_1's auc: 0.858634
[304]	training's auc: 0.876286	valid_1's auc: 0.858651
[305]	training's auc: 0.876291	valid_1's auc: 0.85865
[306]	training's auc: 0.876342	valid_1's auc: 0.858653
[307]	training's auc: 0.876351	valid_1's auc: 0.858657
[308]	training's auc: 0.876428	valid_1's auc: 0.858664
[309]	training's auc: 0.876432	valid_1's auc: 0.858661
[310]	training's auc: 0.876483	valid_1's auc: 0.858666
[311]	training's auc: 0.876489	valid_1's auc: 0.858663
[312]	training's auc: 0.876527	valid_1's auc: 0.858663
[313]	training's auc: 0.876566	valid_1's auc: 0.85868
[314]	training's auc: 0.87661	valid_1's auc: 0.858671
[315]	training's auc: 0.876629	valid_1's auc: 0.858684
[316]	training's auc: 0.876637	valid_1's auc: 0.858686
[317]	training's auc: 0.876711	valid_1's auc: 0.858698
[318]	training's auc: 0.87677	valid_1's auc: 0.858697
[319]	training's auc: 0.876827	valid_1's auc: 0.85871
[320]	training's auc: 0.876871	valid_1's auc: 0.85874
[321]	training's auc: 0.876905	valid_1's auc: 0.858737
[322]	training's auc: 0.87695	valid_1's auc: 0.858738
[323]	training's auc: 0.876959	valid_1's auc: 0.858735
[324]	training's auc: 0.876981	valid_1's auc: 0.858748
[325]	training's auc: 0.877053	valid_1's auc: 0.858774
[326]	training's auc: 0.87706	valid_1's auc: 0.858769
[327]	training's auc: 0.877112	valid_1's auc: 0.858784
[328]	training's auc: 0.877151	valid_1's auc: 0.858784
[329]	training's auc: 0.877199	valid_1's auc: 0.858782
[330]	training's auc: 0.87723	valid_1's auc: 0.858799
[331]	training's auc: 0.877264	valid_1's auc: 0.858817
[332]	training's auc: 0.877267	valid_1's auc: 0.85881
[333]	training's auc: 0.877315	valid_1's auc: 0.85881
[334]	training's auc: 0.877356	valid_1's auc: 0.858808
[335]	training's auc: 0.877358	valid_1's auc: 0.858802
[336]	training's auc: 0.877388	valid_1's auc: 0.85881
[337]	training's auc: 0.877393	valid_1's auc: 0.858803
[338]	training's auc: 0.877434	valid_1's auc: 0.858799
[339]	training's auc: 0.877473	valid_1's auc: 0.858802
[340]	training's auc: 0.877515	valid_1's auc: 0.858809
[341]	training's auc: 0.877543	valid_1's auc: 0.858814
[342]	training's auc: 0.877552	valid_1's auc: 0.858812
[343]	training's auc: 0.877589	valid_1's auc: 0.858813
[344]	training's auc: 0.877596	valid_1's auc: 0.858806
[345]	training's auc: 0.877645	valid_1's auc: 0.858809
[346]	training's auc: 0.877679	valid_1's auc: 0.858814
[347]	training's auc: 0.877706	valid_1's auc: 0.858846
[348]	training's auc: 0.877716	valid_1's auc: 0.858835
[349]	training's auc: 0.877755	valid_1's auc: 0.858838
[350]	training's auc: 0.87776	valid_1's auc: 0.858834
[351]	training's auc: 0.877788	valid_1's auc: 0.858835
[352]	training's auc: 0.877827	valid_1's auc: 0.858832
[353]	training's auc: 0.877834	valid_1's auc: 0.858827
[354]	training's auc: 0.877851	valid_1's auc: 0.858838
[355]	training's auc: 0.877864	valid_1's auc: 0.858835
[356]	training's auc: 0.877881	valid_1's auc: 0.858861
[357]	training's auc: 0.877884	valid_1's auc: 0.858855
[358]	training's auc: 0.877921	valid_1's auc: 0.85885
[359]	training's auc: 0.877966	valid_1's auc: 0.858865
[360]	training's auc: 0.878007	valid_1's auc: 0.858873
[361]	training's auc: 0.878044	valid_1's auc: 0.858876
[362]	training's auc: 0.878059	valid_1's auc: 0.858885
[363]	training's auc: 0.878062	valid_1's auc: 0.858878
[364]	training's auc: 0.878091	valid_1's auc: 0.858885
[365]	training's auc: 0.878099	valid_1's auc: 0.858884
[366]	training's auc: 0.878123	valid_1's auc: 0.858891
[367]	training's auc: 0.878177	valid_1's auc: 0.858895
[368]	training's auc: 0.878216	valid_1's auc: 0.858906
[369]	training's auc: 0.87824	valid_1's auc: 0.858903
[370]	training's auc: 0.878249	valid_1's auc: 0.858902
[371]	training's auc: 0.878253	valid_1's auc: 0.858899
[372]	training's auc: 0.878255	valid_1's auc: 0.858898
[373]	training's auc: 0.878284	valid_1's auc: 0.858892
[374]	training's auc: 0.878308	valid_1's auc: 0.858912
[375]	training's auc: 0.87834	valid_1's auc: 0.858909
[376]	training's auc: 0.878379	valid_1's auc: 0.858908
[377]	training's auc: 0.878427	valid_1's auc: 0.858916
[378]	training's auc: 0.878456	valid_1's auc: 0.858916
[379]	training's auc: 0.878471	valid_1's auc: 0.85891
[380]	training's auc: 0.878501	valid_1's auc: 0.858911
[381]	training's auc: 0.87853	valid_1's auc: 0.858911
[382]	training's auc: 0.87857	valid_1's auc: 0.858911
[383]	training's auc: 0.878604	valid_1's auc: 0.85891
[384]	training's auc: 0.878639	valid_1's auc: 0.858913
[385]	training's auc: 0.878648	valid_1's auc: 0.858911
[386]	training's auc: 0.878672	valid_1's auc: 0.85893
[387]	training's auc: 0.878673	valid_1's auc: 0.858929
[388]	training's auc: 0.878696	valid_1's auc: 0.85895
[389]	training's auc: 0.878723	valid_1's auc: 0.858949
[390]	training's auc: 0.878768	valid_1's auc: 0.858964
[391]	training's auc: 0.878796	valid_1's auc: 0.858966
[392]	training's auc: 0.878802	valid_1's auc: 0.858962
[393]	training's auc: 0.87881	valid_1's auc: 0.858964
[394]	training's auc: 0.878847	valid_1's auc: 0.858969
[395]	training's auc: 0.878882	valid_1's auc: 0.85897
[396]	training's auc: 0.878887	valid_1's auc: 0.858973
[397]	training's auc: 0.878915	valid_1's auc: 0.858991
[398]	training's auc: 0.878942	valid_1's auc: 0.858998
[399]	training's auc: 0.878975	valid_1's auc: 0.858991
[400]	training's auc: 0.878982	valid_1's auc: 0.85899
