[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[225]	training's auc: 0.873494	valid_1's auc: 0.860785
[226]	training's auc: 0.87357	valid_1's auc: 0.860803
[227]	training's auc: 0.873613	valid_1's auc: 0.860839
[228]	training's auc: 0.873666	valid_1's auc: 0.860865
[229]	training's auc: 0.87371	valid_1's auc: 0.860879
[230]	training's auc: 0.87375	valid_1's auc: 0.860932
[231]	training's auc: 0.873806	valid_1's auc: 0.860941
[232]	training's auc: 0.87385	valid_1's auc: 0.860947
[233]	training's auc: 0.873888	valid_1's auc: 0.860946
[234]	training's auc: 0.873942	valid_1's auc: 0.860969
[235]	training's auc: 0.874043	valid_1's auc: 0.861023
[236]	training's auc: 0.874108	valid_1's auc: 0.861021
[237]	training's auc: 0.87414	valid_1's auc: 0.861054
[238]	training's auc: 0.874204	valid_1's auc: 0.86106
[239]	training's auc: 0.874261	valid_1's auc: 0.861065
[240]	training's auc: 0.874333	valid_1's auc: 0.861107
[241]	training's auc: 0.874349	valid_1's auc: 0.861111
[242]	training's auc: 0.874385	valid_1's auc: 0.861103
[243]	training's auc: 0.874422	valid_1's auc: 0.861092
[244]	training's auc: 0.874456	valid_1's auc: 0.861079
[245]	training's auc: 0.874525	valid_1's auc: 0.861094
[246]	training's auc: 0.874583	valid_1's auc: 0.861135
[247]	training's auc: 0.874659	valid_1's auc: 0.861131
[248]	training's auc: 0.874696	valid_1's auc: 0.861135
[249]	training's auc: 0.87479	valid_1's auc: 0.861167
[250]	training's auc: 0.874843	valid_1's auc: 0.861179
[251]	training's auc: 0.874933	valid_1's auc: 0.861199
[252]	training's auc: 0.875023	valid_1's auc: 0.861228
[253]	training's auc: 0.875101	valid_1's auc: 0.861224
[254]	training's auc: 0.875195	valid_1's auc: 0.861241
[255]	training's auc: 0.875255	valid_1's auc: 0.861251
[256]	training's auc: 0.875304	valid_1's auc: 0.861255
[257]	training's auc: 0.875345	valid_1's auc: 0.861258
[258]	training's auc: 0.875377	valid_1's auc: 0.861296
[259]	training's auc: 0.875454	valid_1's auc: 0.861321
[260]	training's auc: 0.87548	valid_1's auc: 0.861358
[261]	training's auc: 0.875514	valid_1's auc: 0.861373
[262]	training's auc: 0.875553	valid_1's auc: 0.86138
[263]	training's auc: 0.875621	valid_1's auc: 0.861415
[264]	training's auc: 0.875673	valid_1's auc: 0.861428
[265]	training's auc: 0.875724	valid_1's auc: 0.861437
[266]	training's auc: 0.875823	valid_1's auc: 0.861479
[267]	training's auc: 0.875885	valid_1's auc: 0.861482
[268]	training's auc: 0.875934	valid_1's auc: 0.861491
[269]	training's auc: 0.876008	valid_1's auc: 0.861507
[270]	training's auc: 0.876044	valid_1's auc: 0.861522
[271]	training's auc: 0.876075	valid_1's auc: 0.861523
[272]	training's auc: 0.876122	valid_1's auc: 0.861531
[273]	training's auc: 0.876152	valid_1's auc: 0.861536
[274]	training's auc: 0.876189	valid_1's auc: 0.861538
[275]	training's auc: 0.876232	valid_1's auc: 0.861553
[276]	training's auc: 0.876245	valid_1's auc: 0.861546
[277]	training's auc: 0.876281	valid_1's auc: 0.86154
[278]	training's auc: 0.876311	valid_1's auc: 0.861532
[279]	training's auc: 0.87635	valid_1's auc: 0.861534
[280]	training's auc: 0.876418	valid_1's auc: 0.861545
[281]	training's auc: 0.876474	valid_1's auc: 0.861545
[282]	training's auc: 0.876528	valid_1's auc: 0.86156
[283]	training's auc: 0.876583	valid_1's auc: 0.861578
[284]	training's auc: 0.87663	valid_1's auc: 0.861583
[285]	training's auc: 0.876695	valid_1's auc: 0.861566
[286]	training's auc: 0.876768	valid_1's auc: 0.861608
[287]	training's auc: 0.876781	valid_1's auc: 0.861608
[288]	training's auc: 0.876846	valid_1's auc: 0.861633
[289]	training's auc: 0.876894	valid_1's auc: 0.861633
[290]	training's auc: 0.876926	valid_1's auc: 0.861633
[291]	training's auc: 0.876982	valid_1's auc: 0.86164
[292]	training's auc: 0.877049	valid_1's auc: 0.861643
[293]	training's auc: 0.877114	valid_1's auc: 0.861682
[294]	training's auc: 0.87719	valid_1's auc: 0.861706
[295]	training's auc: 0.877246	valid_1's auc: 0.861717
[296]	training's auc: 0.877325	valid_1's auc: 0.861742
[297]	training's auc: 0.877389	valid_1's auc: 0.861758
[298]	training's auc: 0.877431	valid_1's auc: 0.86176
[299]	training's auc: 0.877464	valid_1's auc: 0.861739
[300]	training's auc: 0.877484	valid_1's auc: 0.861772
[301]	training's auc: 0.877562	valid_1's auc: 0.861778
[302]	training's auc: 0.877621	valid_1's auc: 0.861771
[303]	training's auc: 0.877645	valid_1's auc: 0.861801
[304]	training's auc: 0.877665	valid_1's auc: 0.861837
[305]	training's auc: 0.877707	valid_1's auc: 0.861831
[306]	training's auc: 0.877745	valid_1's auc: 0.861829
[307]	training's auc: 0.877786	valid_1's auc: 0.861848
[308]	training's auc: 0.877849	valid_1's auc: 0.861853
[309]	training's auc: 0.877881	valid_1's auc: 0.861851
[310]	training's auc: 0.877943	valid_1's auc: 0.861836
[311]	training's auc: 0.878041	valid_1's auc: 0.861862
[312]	training's auc: 0.878075	valid_1's auc: 0.86185
[313]	training's auc: 0.878131	valid_1's auc: 0.861845
[314]	training's auc: 0.878187	valid_1's auc: 0.861868
[315]	training's auc: 0.87821	valid_1's auc: 0.861899
[316]	training's auc: 0.878281	valid_1's auc: 0.861905
[317]	training's auc: 0.878331	valid_1's auc: 0.861908
[318]	training's auc: 0.878385	valid_1's auc: 0.861903
[319]	training's auc: 0.87841	valid_1's auc: 0.861906
[320]	training's auc: 0.878466	valid_1's auc: 0.861898
[321]	training's auc: 0.878501	valid_1's auc: 0.861902
[322]	training's auc: 0.878551	valid_1's auc: 0.8619
[323]	training's auc: 0.878583	valid_1's auc: 0.861891
[324]	training's auc: 0.878618	valid_1's auc: 0.861905
[325]	training's auc: 0.878684	valid_1's auc: 0.861923
[326]	training's auc: 0.878712	valid_1's auc: 0.861908
[327]	training's auc: 0.878756	valid_1's auc: 0.861916
[328]	training's auc: 0.878807	valid_1's auc: 0.861904
[329]	training's auc: 0.878839	valid_1's auc: 0.861899
[330]	training's auc: 0.878866	valid_1's auc: 0.861903
[331]	training's auc: 0.878928	valid_1's auc: 0.861925
[332]	training's auc: 0.878979	valid_1's auc: 0.861912
[333]	training's auc: 0.879044	valid_1's auc: 0.861925
[334]	training's auc: 0.879103	valid_1's auc: 0.861928
[335]	training's auc: 0.87915	valid_1's auc: 0.86192
[336]	training's auc: 0.87919	valid_1's auc: 0.86194
[337]	training's auc: 0.879236	valid_1's auc: 0.861961
[338]	training's auc: 0.879269	valid_1's auc: 0.861964
[339]	training's auc: 0.879313	valid_1's auc: 0.861998
[340]	training's auc: 0.879346	valid_1's auc: 0.862008
[341]	training's auc: 0.87939	valid_1's auc: 0.862021
[342]	training's auc: 0.879423	valid_1's auc: 0.862018
[343]	training's auc: 0.879469	valid_1's auc: 0.862026
[344]	training's auc: 0.879477	valid_1's auc: 0.862022
[345]	training's auc: 0.879556	valid_1's auc: 0.862035
[346]	training's auc: 0.879596	valid_1's auc: 0.862041
[347]	training's auc: 0.879619	valid_1's auc: 0.862063
[348]	training's auc: 0.879648	valid_1's auc: 0.862065
[349]	training's auc: 0.879697	valid_1's auc: 0.86207
[350]	training's auc: 0.879759	valid_1's auc: 0.862064
[351]	training's auc: 0.87979	valid_1's auc: 0.862051
[352]	training's auc: 0.879825	valid_1's auc: 0.862065
[353]	training's auc: 0.879854	valid_1's auc: 0.862075
[354]	training's auc: 0.879919	valid_1's auc: 0.862083
[355]	training's auc: 0.879952	valid_1's auc: 0.862076
[356]	training's auc: 0.879968	valid_1's auc: 0.862102
[357]	training's auc: 0.880007	valid_1's auc: 0.86209
[358]	training's auc: 0.880043	valid_1's auc: 0.862092
[359]	training's auc: 0.880088	valid_1's auc: 0.862114
[360]	training's auc: 0.88012	valid_1's auc: 0.862113
[361]	training's auc: 0.880148	valid_1's auc: 0.86211
[362]	training's auc: 0.88019	valid_1's auc: 0.862125
[363]	training's auc: 0.880235	valid_1's auc: 0.862137
[364]	training's auc: 0.880274	valid_1's auc: 0.862148
[365]	training's auc: 0.880313	valid_1's auc: 0.862152
[366]	training's auc: 0.88034	valid_1's auc: 0.86215
[367]	training's auc: 0.880379	valid_1's auc: 0.862157
[368]	training's auc: 0.880421	valid_1's auc: 0.862161
[369]	training's auc: 0.88046	valid_1's auc: 0.862166
[370]	training's auc: 0.880491	valid_1's auc: 0.862162
[371]	training's auc: 0.880535	valid_1's auc: 0.862152
[372]	training's auc: 0.880579	valid_1's auc: 0.862147
[373]	training's auc: 0.880608	valid_1's auc: 0.862147
[374]	training's auc: 0.880642	valid_1's auc: 0.862195
[375]	training's auc: 0.880689	valid_1's auc: 0.862204
[376]	training's auc: 0.880731	valid_1's auc: 0.862202
[377]	training's auc: 0.880759	valid_1's auc: 0.862204
[378]	training's auc: 0.880782	valid_1's auc: 0.862203
[379]	training's auc: 0.880836	valid_1's auc: 0.862205
[380]	training's auc: 0.880881	valid_1's auc: 0.862224
[381]	training's auc: 0.880907	valid_1's auc: 0.862229
[382]	training's auc: 0.880956	valid_1's auc: 0.862244
[383]	training's auc: 0.880995	valid_1's auc: 0.862239
[384]	training's auc: 0.881046	valid_1's auc: 0.862259
[385]	training's auc: 0.881088	valid_1's auc: 0.862254
[386]	training's auc: 0.881107	valid_1's auc: 0.862267
[387]	training's auc: 0.881115	valid_1's auc: 0.862259
[388]	training's auc: 0.881144	valid_1's auc: 0.862283
[389]	training's auc: 0.881192	valid_1's auc: 0.862277
[390]	training's auc: 0.881241	valid_1's auc: 0.862306
[391]	training's auc: 0.881278	valid_1's auc: 0.862315
[392]	training's auc: 0.881307	valid_1's auc: 0.862308
[393]	training's auc: 0.881346	valid_1's auc: 0.862311
[394]	training's auc: 0.881382	valid_1's auc: 0.862319
[395]	training's auc: 0.881435	valid_1's auc: 0.862323
[396]	training's auc: 0.881454	valid_1's auc: 0.862314
[397]	training's auc: 0.881486	valid_1's auc: 0.862326
[398]	training's auc: 0.881544	valid_1's auc: 0.862329
[399]	training's auc: 0.881604	valid_1's auc: 0.86234
[400]	training's auc: 0.881619	valid_1's auc: 0.862335
[401]	training's auc: 0.881656	valid_1's auc: 0.862327
[402]	training's auc: 0.881662	valid_1's auc: 0.862328
[403]	training's auc: 0.881705	valid_1's auc: 0.862344
[404]	training's auc: 0.881724	valid_1's auc: 0.86235
[405]	training's auc: 0.881759	valid_1's auc: 0.862355
[406]	training's auc: 0.881791	valid_1's auc: 0.862353
[407]	training's auc: 0.881819	valid_1's auc: 0.86235
[408]	training's auc: 0.881857	valid_1's auc: 0.862357
[409]	training's auc: 0.881896	valid_1's auc: 0.862362
[410]	training's auc: 0.88193	valid_1's auc: 0.862357
[411]	training's auc: 0.881939	valid_1's auc: 0.862356
[412]	training's auc: 0.882005	valid_1's auc: 0.862371
[413]	training's auc: 0.882041	valid_1's auc: 0.862376
