[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[249]	training's auc: 0.867241	valid_1's auc: 0.858061
[250]	training's auc: 0.867297	valid_1's auc: 0.858094
[251]	training's auc: 0.867352	valid_1's auc: 0.85812
[252]	training's auc: 0.867402	valid_1's auc: 0.858129
[253]	training's auc: 0.867446	valid_1's auc: 0.858141
[254]	training's auc: 0.867469	valid_1's auc: 0.858146
[255]	training's auc: 0.867493	valid_1's auc: 0.858169
[256]	training's auc: 0.867532	valid_1's auc: 0.858184
[257]	training's auc: 0.867573	valid_1's auc: 0.858195
[258]	training's auc: 0.867593	valid_1's auc: 0.858213
[259]	training's auc: 0.867647	valid_1's auc: 0.858241
[260]	training's auc: 0.867664	valid_1's auc: 0.858258
[261]	training's auc: 0.867688	valid_1's auc: 0.85827
[262]	training's auc: 0.867748	valid_1's auc: 0.8583
[263]	training's auc: 0.8678	valid_1's auc: 0.858308
[264]	training's auc: 0.867849	valid_1's auc: 0.858323
[265]	training's auc: 0.867877	valid_1's auc: 0.85833
[266]	training's auc: 0.867947	valid_1's auc: 0.858373
[267]	training's auc: 0.867982	valid_1's auc: 0.858379
[268]	training's auc: 0.868002	valid_1's auc: 0.858383
[269]	training's auc: 0.868057	valid_1's auc: 0.858409
[270]	training's auc: 0.868086	valid_1's auc: 0.858414
[271]	training's auc: 0.868122	valid_1's auc: 0.858413
[272]	training's auc: 0.868168	valid_1's auc: 0.858433
[273]	training's auc: 0.868185	valid_1's auc: 0.858461
[274]	training's auc: 0.86823	valid_1's auc: 0.858461
[275]	training's auc: 0.868267	valid_1's auc: 0.858465
[276]	training's auc: 0.868308	valid_1's auc: 0.858475
[277]	training's auc: 0.868373	valid_1's auc: 0.858495
[278]	training's auc: 0.868396	valid_1's auc: 0.858489
[279]	training's auc: 0.868434	valid_1's auc: 0.858495
[280]	training's auc: 0.868474	valid_1's auc: 0.858509
[281]	training's auc: 0.868509	valid_1's auc: 0.858518
[282]	training's auc: 0.86856	valid_1's auc: 0.858535
[283]	training's auc: 0.868603	valid_1's auc: 0.858567
[284]	training's auc: 0.868638	valid_1's auc: 0.858578
[285]	training's auc: 0.868674	valid_1's auc: 0.858564
[286]	training's auc: 0.868734	valid_1's auc: 0.858596
[287]	training's auc: 0.868751	valid_1's auc: 0.858594
[288]	training's auc: 0.868801	valid_1's auc: 0.858625
[289]	training's auc: 0.868845	valid_1's auc: 0.858654
[290]	training's auc: 0.868876	valid_1's auc: 0.858644
[291]	training's auc: 0.868911	valid_1's auc: 0.858654
[292]	training's auc: 0.868966	valid_1's auc: 0.858671
[293]	training's auc: 0.869013	valid_1's auc: 0.858685
[294]	training's auc: 0.869072	valid_1's auc: 0.858717
[295]	training's auc: 0.869116	valid_1's auc: 0.858724
[296]	training's auc: 0.869157	valid_1's auc: 0.858737
[297]	training's auc: 0.869207	valid_1's auc: 0.858762
[298]	training's auc: 0.869242	valid_1's auc: 0.858775
[299]	training's auc: 0.869266	valid_1's auc: 0.858774
[300]	training's auc: 0.869288	valid_1's auc: 0.858804
[301]	training's auc: 0.869311	valid_1's auc: 0.858799
[302]	training's auc: 0.869348	valid_1's auc: 0.858795
[303]	training's auc: 0.869371	valid_1's auc: 0.858816
[304]	training's auc: 0.869399	valid_1's auc: 0.858844
[305]	training's auc: 0.869425	valid_1's auc: 0.858838
[306]	training's auc: 0.869459	valid_1's auc: 0.858848
[307]	training's auc: 0.869516	valid_1's auc: 0.858868
[308]	training's auc: 0.869529	valid_1's auc: 0.858863
[309]	training's auc: 0.869554	valid_1's auc: 0.858857
[310]	training's auc: 0.869569	valid_1's auc: 0.858855
[311]	training's auc: 0.869591	valid_1's auc: 0.858851
[312]	training's auc: 0.869621	valid_1's auc: 0.858849
[313]	training's auc: 0.869659	valid_1's auc: 0.85884
[314]	training's auc: 0.869691	valid_1's auc: 0.858826
[315]	training's auc: 0.869711	valid_1's auc: 0.858842
[316]	training's auc: 0.86977	valid_1's auc: 0.858862
[317]	training's auc: 0.869818	valid_1's auc: 0.858879
[318]	training's auc: 0.869862	valid_1's auc: 0.858901
[319]	training's auc: 0.869887	valid_1's auc: 0.858898
[320]	training's auc: 0.869927	valid_1's auc: 0.858892
[321]	training's auc: 0.869974	valid_1's auc: 0.858913
[322]	training's auc: 0.87002	valid_1's auc: 0.858924
[323]	training's auc: 0.870061	valid_1's auc: 0.858937
[324]	training's auc: 0.870099	valid_1's auc: 0.858954
[325]	training's auc: 0.870158	valid_1's auc: 0.858987
[326]	training's auc: 0.870183	valid_1's auc: 0.85899
[327]	training's auc: 0.870216	valid_1's auc: 0.858996
[328]	training's auc: 0.870263	valid_1's auc: 0.859009
[329]	training's auc: 0.870295	valid_1's auc: 0.859014
[330]	training's auc: 0.87032	valid_1's auc: 0.859022
[331]	training's auc: 0.870372	valid_1's auc: 0.859045
[332]	training's auc: 0.870405	valid_1's auc: 0.859043
[333]	training's auc: 0.87044	valid_1's auc: 0.859063
[334]	training's auc: 0.870479	valid_1's auc: 0.859073
[335]	training's auc: 0.870522	valid_1's auc: 0.859079
[336]	training's auc: 0.870555	valid_1's auc: 0.859105
[337]	training's auc: 0.870591	valid_1's auc: 0.859104
[338]	training's auc: 0.870637	valid_1's auc: 0.859114
[339]	training's auc: 0.870675	valid_1's auc: 0.859139
[340]	training's auc: 0.870697	valid_1's auc: 0.859146
[341]	training's auc: 0.87073	valid_1's auc: 0.859165
[342]	training's auc: 0.870777	valid_1's auc: 0.859186
[343]	training's auc: 0.870807	valid_1's auc: 0.859185
[344]	training's auc: 0.870819	valid_1's auc: 0.859182
[345]	training's auc: 0.870846	valid_1's auc: 0.859184
[346]	training's auc: 0.870881	valid_1's auc: 0.859186
[347]	training's auc: 0.870902	valid_1's auc: 0.85921
[348]	training's auc: 0.870945	valid_1's auc: 0.859216
[349]	training's auc: 0.871002	valid_1's auc: 0.859241
[350]	training's auc: 0.871028	valid_1's auc: 0.859237
[351]	training's auc: 0.871065	valid_1's auc: 0.85924
[352]	training's auc: 0.871107	valid_1's auc: 0.859255
[353]	training's auc: 0.871148	valid_1's auc: 0.859269
[354]	training's auc: 0.871166	valid_1's auc: 0.859283
[355]	training's auc: 0.871198	valid_1's auc: 0.859295
[356]	training's auc: 0.871213	valid_1's auc: 0.859317
[357]	training's auc: 0.871247	valid_1's auc: 0.859317
[358]	training's auc: 0.871269	valid_1's auc: 0.859322
[359]	training's auc: 0.871317	valid_1's auc: 0.859346
[360]	training's auc: 0.871346	valid_1's auc: 0.859361
[361]	training's auc: 0.871365	valid_1's auc: 0.859361
[362]	training's auc: 0.871383	valid_1's auc: 0.859382
[363]	training's auc: 0.871415	valid_1's auc: 0.859387
[364]	training's auc: 0.871443	valid_1's auc: 0.859403
[365]	training's auc: 0.871455	valid_1's auc: 0.859405
[366]	training's auc: 0.871484	valid_1's auc: 0.859421
[367]	training's auc: 0.871515	valid_1's auc: 0.859426
[368]	training's auc: 0.871545	valid_1's auc: 0.85943
[369]	training's auc: 0.871561	valid_1's auc: 0.859429
[370]	training's auc: 0.871597	valid_1's auc: 0.859451
[371]	training's auc: 0.871631	valid_1's auc: 0.859437
[372]	training's auc: 0.871669	valid_1's auc: 0.859444
[373]	training's auc: 0.871687	valid_1's auc: 0.859453
[374]	training's auc: 0.871709	valid_1's auc: 0.859477
[375]	training's auc: 0.87174	valid_1's auc: 0.85949
[376]	training's auc: 0.871772	valid_1's auc: 0.859492
[377]	training's auc: 0.871802	valid_1's auc: 0.859504
[378]	training's auc: 0.871835	valid_1's auc: 0.859511
[379]	training's auc: 0.871889	valid_1's auc: 0.859545
[380]	training's auc: 0.871934	valid_1's auc: 0.859568
[381]	training's auc: 0.871964	valid_1's auc: 0.859579
[382]	training's auc: 0.872005	valid_1's auc: 0.859599
[383]	training's auc: 0.87203	valid_1's auc: 0.859606
[384]	training's auc: 0.872081	valid_1's auc: 0.859634
[385]	training's auc: 0.872116	valid_1's auc: 0.859648
[386]	training's auc: 0.872132	valid_1's auc: 0.859665
[387]	training's auc: 0.872141	valid_1's auc: 0.859662
[388]	training's auc: 0.872171	valid_1's auc: 0.859664
[389]	training's auc: 0.872185	valid_1's auc: 0.859656
[390]	training's auc: 0.872229	valid_1's auc: 0.859681
[391]	training's auc: 0.872256	valid_1's auc: 0.859687
[392]	training's auc: 0.872286	valid_1's auc: 0.859678
[393]	training's auc: 0.872335	valid_1's auc: 0.859697
[394]	training's auc: 0.872364	valid_1's auc: 0.859704
[395]	training's auc: 0.872389	valid_1's auc: 0.859703
[396]	training's auc: 0.872419	valid_1's auc: 0.859701
