[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[93]	training's auc: 0.863412	valid_1's auc: 0.826907
[94]	training's auc: 0.863502	valid_1's auc: 0.826916
[95]	training's auc: 0.863687	valid_1's auc: 0.827084
[96]	training's auc: 0.863782	valid_1's auc: 0.827092
[97]	training's auc: 0.863883	valid_1's auc: 0.827153
[98]	training's auc: 0.86407	valid_1's auc: 0.827238
[99]	training's auc: 0.864139	valid_1's auc: 0.827153
[100]	training's auc: 0.864217	valid_1's auc: 0.827191
[101]	training's auc: 0.864324	valid_1's auc: 0.82731
[102]	training's auc: 0.864417	valid_1's auc: 0.827276
[103]	training's auc: 0.864512	valid_1's auc: 0.82733
[104]	training's auc: 0.864602	valid_1's auc: 0.827291
[105]	training's auc: 0.864675	valid_1's auc: 0.827296
[106]	training's auc: 0.864738	valid_1's auc: 0.827287
[107]	training's auc: 0.864831	valid_1's auc: 0.827478
[108]	training's auc: 0.864862	valid_1's auc: 0.827448
[109]	training's auc: 0.864962	valid_1's auc: 0.82747
[110]	training's auc: 0.865013	valid_1's auc: 0.827451
[111]	training's auc: 0.865096	valid_1's auc: 0.827501
[112]	training's auc: 0.865158	valid_1's auc: 0.827511
[113]	training's auc: 0.865206	valid_1's auc: 0.827459
[114]	training's auc: 0.865261	valid_1's auc: 0.827453
[115]	training's auc: 0.865357	valid_1's auc: 0.827431
[116]	training's auc: 0.865425	valid_1's auc: 0.827495
[117]	training's auc: 0.865504	valid_1's auc: 0.82754
[118]	training's auc: 0.865626	valid_1's auc: 0.827729
[119]	training's auc: 0.865698	valid_1's auc: 0.827725
[120]	training's auc: 0.865753	valid_1's auc: 0.82774
[121]	training's auc: 0.865819	valid_1's auc: 0.827786
[122]	training's auc: 0.865868	valid_1's auc: 0.827812
[123]	training's auc: 0.865995	valid_1's auc: 0.827965
[124]	training's auc: 0.866087	valid_1's auc: 0.82797
[125]	training's auc: 0.866191	valid_1's auc: 0.828041
[126]	training's auc: 0.866264	valid_1's auc: 0.828061
[127]	training's auc: 0.86632	valid_1's auc: 0.828102
[128]	training's auc: 0.86642	valid_1's auc: 0.82808
[129]	training's auc: 0.86649	valid_1's auc: 0.82821
[130]	training's auc: 0.866545	valid_1's auc: 0.828224
[131]	training's auc: 0.866641	valid_1's auc: 0.828255
[132]	training's auc: 0.866685	valid_1's auc: 0.828239
[133]	training's auc: 0.866715	valid_1's auc: 0.828186
[134]	training's auc: 0.866784	valid_1's auc: 0.828122
[135]	training's auc: 0.866873	valid_1's auc: 0.828115
[136]	training's auc: 0.866948	valid_1's auc: 0.828168
[137]	training's auc: 0.867014	valid_1's auc: 0.828218
[138]	training's auc: 0.867102	valid_1's auc: 0.82825
[139]	training's auc: 0.867211	valid_1's auc: 0.828421
[140]	training's auc: 0.867281	valid_1's auc: 0.82841
[141]	training's auc: 0.867334	valid_1's auc: 0.828453
[142]	training's auc: 0.867382	valid_1's auc: 0.828399
[143]	training's auc: 0.867399	valid_1's auc: 0.82834
[144]	training's auc: 0.867536	valid_1's auc: 0.828332
[145]	training's auc: 0.86765	valid_1's auc: 0.828507
[146]	training's auc: 0.867704	valid_1's auc: 0.828569
[147]	training's auc: 0.867789	valid_1's auc: 0.828702
[148]	training's auc: 0.867847	valid_1's auc: 0.828807
[149]	training's auc: 0.867904	valid_1's auc: 0.82873
[150]	training's auc: 0.86792	valid_1's auc: 0.828704
[151]	training's auc: 0.867949	valid_1's auc: 0.828744
[152]	training's auc: 0.867997	valid_1's auc: 0.828677
[153]	training's auc: 0.868072	valid_1's auc: 0.828695
[154]	training's auc: 0.868116	valid_1's auc: 0.828652
[155]	training's auc: 0.868217	valid_1's auc: 0.828707
[156]	training's auc: 0.868297	valid_1's auc: 0.828858
[157]	training's auc: 0.868346	valid_1's auc: 0.828847
[158]	training's auc: 0.86841	valid_1's auc: 0.828785
[159]	training's auc: 0.868479	valid_1's auc: 0.828799
[160]	training's auc: 0.868532	valid_1's auc: 0.828783
[161]	training's auc: 0.868615	valid_1's auc: 0.828884
[162]	training's auc: 0.868733	valid_1's auc: 0.828918
[163]	training's auc: 0.868807	valid_1's auc: 0.828885
[164]	training's auc: 0.868866	valid_1's auc: 0.8289
[165]	training's auc: 0.868909	valid_1's auc: 0.828948
[166]	training's auc: 0.868958	valid_1's auc: 0.82895
[167]	training's auc: 0.869	valid_1's auc: 0.828917
[168]	training's auc: 0.869041	valid_1's auc: 0.82893
[169]	training's auc: 0.869083	valid_1's auc: 0.828965
[170]	training's auc: 0.869208	valid_1's auc: 0.829029
[171]	training's auc: 0.869269	valid_1's auc: 0.829063
[172]	training's auc: 0.869333	valid_1's auc: 0.829176
[173]	training's auc: 0.869443	valid_1's auc: 0.829137
[174]	training's auc: 0.869496	valid_1's auc: 0.829167
[175]	training's auc: 0.86956	valid_1's auc: 0.829151
[176]	training's auc: 0.86959	valid_1's auc: 0.829071
[177]	training's auc: 0.869591	valid_1's auc: 0.829053
[178]	training's auc: 0.869637	valid_1's auc: 0.829005
[179]	training's auc: 0.869675	valid_1's auc: 0.828971
[180]	training's auc: 0.869731	valid_1's auc: 0.828964
[181]	training's auc: 0.869789	valid_1's auc: 0.828961
[182]	training's auc: 0.869871	valid_1's auc: 0.828925
[183]	training's auc: 0.869927	valid_1's auc: 0.82885
[184]	training's auc: 0.869985	valid_1's auc: 0.828876
[185]	training's auc: 0.870048	valid_1's auc: 0.828843
[186]	training's auc: 0.870102	valid_1's auc: 0.828825
[187]	training's auc: 0.870147	valid_1's auc: 0.828896
[188]	training's auc: 0.870225	valid_1's auc: 0.828904
[189]	training's auc: 0.870234	valid_1's auc: 0.8289
[190]	training's auc: 0.870275	valid_1's auc: 0.828936
[191]	training's auc: 0.870331	valid_1's auc: 0.828917
[192]	training's auc: 0.870336	valid_1's auc: 0.828908
[193]	training's auc: 0.870391	valid_1's auc: 0.828878
[194]	training's auc: 0.870424	valid_1's auc: 0.828865
[195]	training's auc: 0.87047	valid_1's auc: 0.828846
[196]	training's auc: 0.870476	valid_1's auc: 0.828819
[197]	training's auc: 0.870565	valid_1's auc: 0.828777
[198]	training's auc: 0.870616	valid_1's auc: 0.828727
[199]	training's auc: 0.870621	valid_1's auc: 0.828739
[200]	training's auc: 0.870687	valid_1's auc: 0.828879
[201]	training's auc: 0.870761	valid_1's auc: 0.828934
[202]	training's auc: 0.870841	valid_1's auc: 0.828943
[203]	training's auc: 0.870881	valid_1's auc: 0.829034
[204]	training's auc: 0.870897	valid_1's auc: 0.829
[205]	training's auc: 0.870952	valid_1's auc: 0.829012
[206]	training's auc: 0.87096	valid_1's auc: 0.828974
[207]	training's auc: 0.870965	valid_1's auc: 0.828944
[208]	training's auc: 0.870997	valid_1's auc: 0.82892
[209]	training's auc: 0.871048	valid_1's auc: 0.828869
[210]	training's auc: 0.871139	valid_1's auc: 0.828963
[211]	training's auc: 0.871186	valid_1's auc: 0.828975
[212]	training's auc: 0.871213	valid_1's auc: 0.828996
[213]	training's auc: 0.871285	valid_1's auc: 0.829041
[214]	training's auc: 0.871292	valid_1's auc: 0.829056
[215]	training's auc: 0.871339	valid_1's auc: 0.82907
[216]	training's auc: 0.871343	valid_1's auc: 0.829051
[217]	training's auc: 0.871405	valid_1's auc: 0.829056
[218]	training's auc: 0.871439	valid_1's auc: 0.829083
[219]	training's auc: 0.871446	valid_1's auc: 0.82913
[220]	training's auc: 0.871471	valid_1's auc: 0.829103
[221]	training's auc: 0.871503	valid_1's auc: 0.829108
[222]	training's auc: 0.871599	valid_1's auc: 0.829181
[223]	training's auc: 0.871655	valid_1's auc: 0.829293
[224]	training's auc: 0.871712	valid_1's auc: 0.829285
[225]	training's auc: 0.871748	valid_1's auc: 0.829325
[226]	training's auc: 0.871817	valid_1's auc: 0.829376
[227]	training's auc: 0.871889	valid_1's auc: 0.829353
[228]	training's auc: 0.871941	valid_1's auc: 0.82949
