[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[141]	training's auc: 0.876682	valid_1's auc: 0.859071
[142]	training's auc: 0.876783	valid_1's auc: 0.859077
[143]	training's auc: 0.876882	valid_1's auc: 0.859105
[144]	training's auc: 0.877017	valid_1's auc: 0.859134
[145]	training's auc: 0.877117	valid_1's auc: 0.859119
[146]	training's auc: 0.877233	valid_1's auc: 0.859137
[147]	training's auc: 0.877297	valid_1's auc: 0.859132
[148]	training's auc: 0.87748	valid_1's auc: 0.859237
[149]	training's auc: 0.877595	valid_1's auc: 0.859236
[150]	training's auc: 0.877708	valid_1's auc: 0.859226
[151]	training's auc: 0.877754	valid_1's auc: 0.859224
[152]	training's auc: 0.877795	valid_1's auc: 0.859205
[153]	training's auc: 0.877846	valid_1's auc: 0.859198
[154]	training's auc: 0.877893	valid_1's auc: 0.859179
[155]	training's auc: 0.87799	valid_1's auc: 0.859178
[156]	training's auc: 0.878035	valid_1's auc: 0.859174
[157]	training's auc: 0.878134	valid_1's auc: 0.859184
[158]	training's auc: 0.878246	valid_1's auc: 0.85919
[159]	training's auc: 0.87836	valid_1's auc: 0.85922
[160]	training's auc: 0.878484	valid_1's auc: 0.859243
[161]	training's auc: 0.878575	valid_1's auc: 0.859279
[162]	training's auc: 0.878702	valid_1's auc: 0.859285
[163]	training's auc: 0.878738	valid_1's auc: 0.859267
[164]	training's auc: 0.87884	valid_1's auc: 0.859262
[165]	training's auc: 0.878947	valid_1's auc: 0.859273
[166]	training's auc: 0.878976	valid_1's auc: 0.859282
[167]	training's auc: 0.879034	valid_1's auc: 0.859282
[168]	training's auc: 0.879093	valid_1's auc: 0.859285
[169]	training's auc: 0.879128	valid_1's auc: 0.859286
[170]	training's auc: 0.879178	valid_1's auc: 0.859302
[171]	training's auc: 0.87927	valid_1's auc: 0.859293
[172]	training's auc: 0.879306	valid_1's auc: 0.859295
[173]	training's auc: 0.879444	valid_1's auc: 0.859335
[174]	training's auc: 0.879552	valid_1's auc: 0.85935
[175]	training's auc: 0.879657	valid_1's auc: 0.859422
[176]	training's auc: 0.879845	valid_1's auc: 0.859494
[177]	training's auc: 0.879943	valid_1's auc: 0.859474
[178]	training's auc: 0.880046	valid_1's auc: 0.859482
[179]	training's auc: 0.880154	valid_1's auc: 0.85949
[180]	training's auc: 0.880237	valid_1's auc: 0.859462
[181]	training's auc: 0.880295	valid_1's auc: 0.85946
[182]	training's auc: 0.880345	valid_1's auc: 0.859445
[183]	training's auc: 0.880463	valid_1's auc: 0.859464
[184]	training's auc: 0.8805	valid_1's auc: 0.859453
[185]	training's auc: 0.880595	valid_1's auc: 0.859468
[186]	training's auc: 0.880708	valid_1's auc: 0.8595
[187]	training's auc: 0.880788	valid_1's auc: 0.859515
[188]	training's auc: 0.880868	valid_1's auc: 0.859519
[189]	training's auc: 0.881022	valid_1's auc: 0.859537
[190]	training's auc: 0.881105	valid_1's auc: 0.859552
[191]	training's auc: 0.881178	valid_1's auc: 0.859536
[192]	training's auc: 0.881285	valid_1's auc: 0.859545
[193]	training's auc: 0.881347	valid_1's auc: 0.859538
[194]	training's auc: 0.881465	valid_1's auc: 0.85955
[195]	training's auc: 0.881516	valid_1's auc: 0.85955
[196]	training's auc: 0.881546	valid_1's auc: 0.85955
[197]	training's auc: 0.881602	valid_1's auc: 0.859548
[198]	training's auc: 0.881625	valid_1's auc: 0.859548
[199]	training's auc: 0.881675	valid_1's auc: 0.859549
[200]	training's auc: 0.881732	valid_1's auc: 0.859551
[201]	training's auc: 0.881881	valid_1's auc: 0.859604
[202]	training's auc: 0.881945	valid_1's auc: 0.85959
[203]	training's auc: 0.881987	valid_1's auc: 0.8596
[204]	training's auc: 0.882029	valid_1's auc: 0.859595
[205]	training's auc: 0.882089	valid_1's auc: 0.859586
[206]	training's auc: 0.882164	valid_1's auc: 0.85963
[207]	training's auc: 0.882275	valid_1's auc: 0.859654
[208]	training's auc: 0.882325	valid_1's auc: 0.859653
[209]	training's auc: 0.882434	valid_1's auc: 0.859666
[210]	training's auc: 0.88256	valid_1's auc: 0.85967
[211]	training's auc: 0.882601	valid_1's auc: 0.859678
[212]	training's auc: 0.882643	valid_1's auc: 0.859694
[213]	training's auc: 0.882677	valid_1's auc: 0.859692
[214]	training's auc: 0.882715	valid_1's auc: 0.859686
[215]	training's auc: 0.882783	valid_1's auc: 0.859682
[216]	training's auc: 0.882816	valid_1's auc: 0.859689
[217]	training's auc: 0.882921	valid_1's auc: 0.859704
[218]	training's auc: 0.882997	valid_1's auc: 0.859745
[219]	training's auc: 0.88309	valid_1's auc: 0.859754
[220]	training's auc: 0.883171	valid_1's auc: 0.859762
[221]	training's auc: 0.883223	valid_1's auc: 0.859753
[222]	training's auc: 0.88329	valid_1's auc: 0.859785
[223]	training's auc: 0.883426	valid_1's auc: 0.859829
[224]	training's auc: 0.883489	valid_1's auc: 0.859833
[225]	training's auc: 0.883563	valid_1's auc: 0.85984
[226]	training's auc: 0.883595	valid_1's auc: 0.859832
[227]	training's auc: 0.88364	valid_1's auc: 0.859826
[228]	training's auc: 0.883681	valid_1's auc: 0.859819
[229]	training's auc: 0.883722	valid_1's auc: 0.859819
[230]	training's auc: 0.883758	valid_1's auc: 0.859818
[231]	training's auc: 0.883847	valid_1's auc: 0.859849
[232]	training's auc: 0.883916	valid_1's auc: 0.859854
[233]	training's auc: 0.883948	valid_1's auc: 0.859854
[234]	training's auc: 0.884041	valid_1's auc: 0.859837
[235]	training's auc: 0.884103	valid_1's auc: 0.859859
[236]	training's auc: 0.884198	valid_1's auc: 0.859856
[237]	training's auc: 0.884328	valid_1's auc: 0.859881
[238]	training's auc: 0.884378	valid_1's auc: 0.859883
[239]	training's auc: 0.884446	valid_1's auc: 0.859887
[240]	training's auc: 0.884513	valid_1's auc: 0.85989
[241]	training's auc: 0.884547	valid_1's auc: 0.859887
[242]	training's auc: 0.884579	valid_1's auc: 0.859883
[243]	training's auc: 0.884621	valid_1's auc: 0.859887
[244]	training's auc: 0.884667	valid_1's auc: 0.859881
[245]	training's auc: 0.884734	valid_1's auc: 0.859865
[246]	training's auc: 0.884764	valid_1's auc: 0.859867
[247]	training's auc: 0.884802	valid_1's auc: 0.859873
[248]	training's auc: 0.884901	valid_1's auc: 0.859886
[249]	training's auc: 0.884984	valid_1's auc: 0.859872
[250]	training's auc: 0.885007	valid_1's auc: 0.859876
[251]	training's auc: 0.885093	valid_1's auc: 0.859872
[252]	training's auc: 0.885219	valid_1's auc: 0.859882
[253]	training's auc: 0.885345	valid_1's auc: 0.859902
[254]	training's auc: 0.885421	valid_1's auc: 0.859903
[255]	training's auc: 0.885518	valid_1's auc: 0.859937
[256]	training's auc: 0.885568	valid_1's auc: 0.859931
[257]	training's auc: 0.885596	valid_1's auc: 0.859917
[258]	training's auc: 0.885612	valid_1's auc: 0.859922
[259]	training's auc: 0.885658	valid_1's auc: 0.859911
[260]	training's auc: 0.885694	valid_1's auc: 0.859887
[261]	training's auc: 0.88572	valid_1's auc: 0.859886
[262]	training's auc: 0.885778	valid_1's auc: 0.85988
[263]	training's auc: 0.885877	valid_1's auc: 0.859877
[264]	training's auc: 0.885914	valid_1's auc: 0.859866
[265]	training's auc: 0.885959	valid_1's auc: 0.859853
[266]	training's auc: 0.886035	valid_1's auc: 0.859883
[267]	training's auc: 0.886149	valid_1's auc: 0.859896
[268]	training's auc: 0.886246	valid_1's auc: 0.859892
[269]	training's auc: 0.886368	valid_1's auc: 0.859902
[270]	training's auc: 0.886461	valid_1's auc: 0.859906
[271]	training's auc: 0.886493	valid_1's auc: 0.859926
[272]	training's auc: 0.886552	valid_1's auc: 0.859934
[273]	training's auc: 0.886591	valid_1's auc: 0.859942
[274]	training's auc: 0.886628	valid_1's auc: 0.859954
[275]	training's auc: 0.886681	valid_1's auc: 0.859947
[276]	training's auc: 0.886726	valid_1's auc: 0.859949
[277]	training's auc: 0.886766	valid_1's auc: 0.859959
[278]	training's auc: 0.886863	valid_1's auc: 0.859997
[279]	training's auc: 0.886944	valid_1's auc: 0.859997
[280]	training's auc: 0.886989	valid_1's auc: 0.859977
[281]	training's auc: 0.887073	valid_1's auc: 0.859966
[282]	training's auc: 0.887154	valid_1's auc: 0.859986
[283]	training's auc: 0.887172	valid_1's auc: 0.859975
[284]	training's auc: 0.887308	valid_1's auc: 0.859988
[285]	training's auc: 0.887358	valid_1's auc: 0.860014
[286]	training's auc: 0.887383	valid_1's auc: 0.860026
[287]	training's auc: 0.887409	valid_1's auc: 0.860024
[288]	training's auc: 0.887447	valid_1's auc: 0.860027
[289]	training's auc: 0.887483	valid_1's auc: 0.860012
[290]	training's auc: 0.887533	valid_1's auc: 0.860015
[291]	training's auc: 0.887575	valid_1's auc: 0.860012
[292]	training's auc: 0.887622	valid_1's auc: 0.860011
[293]	training's auc: 0.887715	valid_1's auc: 0.860008
[294]	training's auc: 0.887777	valid_1's auc: 0.860042
[295]	training's auc: 0.887862	valid_1's auc: 0.860051
[296]	training's auc: 0.88788	valid_1's auc: 0.860047
[297]	training's auc: 0.887952	valid_1's auc: 0.860055
[298]	training's auc: 0.887988	valid_1's auc: 0.860046
[299]	training's auc: 0.888085	valid_1's auc: 0.860046
[300]	training's auc: 0.888151	valid_1's auc: 0.860046
[301]	training's auc: 0.8882	valid_1's auc: 0.86005
[302]	training's auc: 0.888243	valid_1's auc: 0.860053
[303]	training's auc: 0.888302	valid_1's auc: 0.860037
[304]	training's auc: 0.888356	valid_1's auc: 0.86003
[305]	training's auc: 0.888406	valid_1's auc: 0.860025
[306]	training's auc: 0.888439	valid_1's auc: 0.860013
[307]	training's auc: 0.888521	valid_1's auc: 0.859992
[308]	training's auc: 0.888552	valid_1's auc: 0.859982
[309]	training's auc: 0.888599	valid_1's auc: 0.859974
[310]	training's auc: 0.888673	valid_1's auc: 0.859941
[311]	training's auc: 0.88876	valid_1's auc: 0.859969
[312]	training's auc: 0.888828	valid_1's auc: 0.859942
[313]	training's auc: 0.888908	valid_1's auc: 0.859961
[314]	training's auc: 0.888992	valid_1's auc: 0.859978
[315]	training's auc: 0.88909	valid_1's auc: 0.859974
[316]	training's auc: 0.889135	valid_1's auc: 0.859991
[317]	training's auc: 0.889182	valid_1's auc: 0.859984
[318]	training's auc: 0.889216	valid_1's auc: 0.859991
[319]	training's auc: 0.88926	valid_1's auc: 0.859996
[320]	training's auc: 0.889294	valid_1's auc: 0.860002
[321]	training's auc: 0.889351	valid_1's auc: 0.859997
[322]	training's auc: 0.889389	valid_1's auc: 0.860008
[323]	training's auc: 0.889431	valid_1's auc: 0.860004
[324]	training's auc: 0.889489	valid_1's auc: 0.860007
[325]	training's auc: 0.889534	valid_1's auc: 0.860011
[326]	training's auc: 0.889565	valid_1's auc: 0.860004
[327]	training's auc: 0.889647	valid_1's auc: 0.860007
[328]	training's auc: 0.889738	valid_1's auc: 0.860046
[329]	training's auc: 0.889758	valid_1's auc: 0.860055
[330]	training's auc: 0.889797	valid_1's auc: 0.860042
[331]	training's auc: 0.889876	valid_1's auc: 0.860039
[332]	training's auc: 0.889895	valid_1's auc: 0.86005
[333]	training's auc: 0.889935	valid_1's auc: 0.860061
[334]	training's auc: 0.889996	valid_1's auc: 0.860039
[335]	training's auc: 0.89002	valid_1's auc: 0.86004
[336]	training's auc: 0.890059	valid_1's auc: 0.860024
[337]	training's auc: 0.890093	valid_1's auc: 0.860033
[338]	training's auc: 0.890181	valid_1's auc: 0.860042
[339]	training's auc: 0.89025	valid_1's auc: 0.860042
[340]	training's auc: 0.890325	valid_1's auc: 0.860038
[341]	training's auc: 0.89037	valid_1's auc: 0.860045
[342]	training's auc: 0.89043	valid_1's auc: 0.860052
[343]	training's auc: 0.89048	valid_1's auc: 0.860045
[344]	training's auc: 0.890553	valid_1's auc: 0.860037
[345]	training's auc: 0.890604	valid_1's auc: 0.860016
[346]	training's auc: 0.89066	valid_1's auc: 0.860047
[347]	training's auc: 0.890692	valid_1's auc: 0.860066
[348]	training's auc: 0.890739	valid_1's auc: 0.860083
[349]	training's auc: 0.890773	valid_1's auc: 0.860076
[350]	training's auc: 0.890815	valid_1's auc: 0.860068
[351]	training's auc: 0.890852	valid_1's auc: 0.860077
[352]	training's auc: 0.890904	valid_1's auc: 0.860081
[353]	training's auc: 0.890973	valid_1's auc: 0.860063
[354]	training's auc: 0.891017	valid_1's auc: 0.860071
[355]	training's auc: 0.891099	valid_1's auc: 0.860112
[356]	training's auc: 0.891123	valid_1's auc: 0.860114
[357]	training's auc: 0.891191	valid_1's auc: 0.860104
[358]	training's auc: 0.891233	valid_1's auc: 0.860096
[359]	training's auc: 0.891324	valid_1's auc: 0.860104
[360]	training's auc: 0.891409	valid_1's auc: 0.860124
[361]	training's auc: 0.891451	valid_1's auc: 0.860127
[362]	training's auc: 0.89148	valid_1's auc: 0.860129
[363]	training's auc: 0.891512	valid_1's auc: 0.860122
[364]	training's auc: 0.891549	valid_1's auc: 0.860118
[365]	training's auc: 0.891566	valid_1's auc: 0.860122
[366]	training's auc: 0.891612	valid_1's auc: 0.860129
[367]	training's auc: 0.891646	valid_1's auc: 0.860115
[368]	training's auc: 0.891743	valid_1's auc: 0.860135
[369]	training's auc: 0.891806	valid_1's auc: 0.860135
